cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	1	-46,6455650	-23,5547500	3290	0,0304	0,0909	5696	3792	1904
L00010	1	-46,6355899	-23,5623979	2996	0,0334	0,0909	5666	3638	2028
L00012	1	-46,6461964	-23,5700830	3252	0,0308	0,0909	6283	3656	2627
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,0909	18525	11583	6942
L00050	1	-46,6531096	-23,5391595	3449	0,029	0,0909	6577	4007	2570
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,0909	4093	2814	1279
L00065	1	-46,6385252	-23,5376549	2229	0,0449	0,0909	4267	2744	1523
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,0909	5785	3615	2170
L00077	6	-46,6228821	-23,5238878	3089	0,1942	0,5455	5985	3756	2229
L00080	4	-46,5869070	-23,5756756	3323	0,1204	0,3636	5823	3854	1969
L00082	5	-46,5746890	-23,5568730	2818	0,1774	0,4545	4581	3379	1202
L00083	1	-46,5997287	-23,5410220	3324	0,0301	0,0909	6501	4011	2490
L00084	7	-46,5895134	-23,5593568	5301	0,1321	0,6364	8807	6387	2420
L00085	4	-46,5978907	-23,5552089	4372	0,0915	0,3636	8050	5269	2781
L00087	2	-46,5842762	-23,5514675	2993	0,0668	0,1818	5617	3662	1955
L00090	4	-46,5652413	-23,5675233	2503	0,1598	0,3636	4461	3203	1258
L00091	2	-46,5964833	-23,5637925	3169	0,0631	0,1818	6188	3786	2402
L00092	1	-46,5828225	-23,5542479	3888	0,0257	0,0909	7164	4714	2450
L00093	3	-46,5813248	-23,5619799	3706	0,0809	0,2727	6970	4489	2481
L00094	1	-46,6214361	-23,5534993	2393	0,0418	0,0909	4753	2932	1821
L00095	1	-46,5726610	-23,5574173	1814	0,0551	0,0909	3331	2227	1104
L00096	9	-46,5697601	-23,5636527	4049	0,2223	0,8182	7290	5070	2220
L00097	13	-46,5595868	-23,5719075	2559	0,508	1,1818	4560	3187	1373
L00098	1	-46,5984516	-23,5519192	955	0,1047	0,0909	1806	1145	661
L00099	2	-46,5683158	-23,5701115	2161	0,0925	0,1818	3989	2770	1219
L00100	7	-46,5637915	-23,5715671	2872	0,2437	0,6364	5130	3619	1511
L00101	4	-46,5902071	-23,5606910	4284	0,0934	0,3636	7988	5172	2816
L00102	4	-46,5979424	-23,5532296	4622	0,0865	0,3636	8563	5548	3015
L00103	6	-46,5812316	-23,5700009	4342	0,1382	0,5455	7905	5265	2640
L00107	1	-46,6116378	-23,5511180	2148	0,0466	0,0909	4565	2585	1980
L00108	5	-46,5976041	-23,5519593	6779	0,0738	0,4545	11883	7994	3889
L00115	1	-46,6759394	-23,5867575	1860	0,0538	0,0909	3357	2042	1315
L00128	1	-46,6769068	-23,6001070	3888	0,0257	0,0909	6994	4384	2610
L00129	1	-46,6486232	-23,5813704	3537	0,0283	0,0909	5654	3970	1684
L00556	1	-46,7765383	-23,6680796	2361	0,0424	0,0909	3983	2908	1075
L00559	1	-46,7951730	-23,6802102	2040	0,049	0,0909	3413	2489	924
L05550	1	-46,6945706	-23,6304883	5120	0,0195	0,0909	8978	5840	3138
L05585	1	-46,4451845	-23,5472188	2365	0,0423	0,0909	4123	3094	1029
L05586	1	-46,4459252	-23,5256810	2399	0,0417	0,0909	4163	3117	1046
L05589	1	-46,4544868	-23,5471412	2039	0,049	0,0909	3417	2606	811
L05591	1	-46,4544144	-23,5410443	3621	0,0276	0,0909	6839	4640	2199
L05596	2	-46,4536228	-23,5552304	3671	0,0545	0,1818	6672	4852	1820
L05600	1	-46,4589975	-23,5302914	3067	0,0326	0,0909	5494	3916	1578
L05610	1	-46,4554689	-23,5282555	6146	0,0163	0,0909	10609	7693	2916
L05613	1	-46,6310064	-23,5025938	1028	0,0973	0,0909	2041	1205	836
L05629	3	-46,6242804	-23,4770119	2556	0,1174	0,2727	4643	3161	1482
L05636	1	-46,6317593	-23,5028361	836	0,1196	0,0909	1410	975	435
L05643	1	-46,7520177	-23,5161535	657	0,1522	0,0909	1121	836	285
L05646	1	-46,7000457	-23,5224777	2592	0,0386	0,0909	4343	2970	1373
L05648	1	-46,7032968	-23,5283085	4170	0,024	0,0909	7531	4847	2684
L05658	1	-46,7052733	-23,5150700	2442	0,041	0,0909	4469	2893	1576
L05661	1	-46,7443554	-23,5048937	2325	0,043	0,0909	4192	2863	1329
L05665	1	-46,7497146	-23,5121473	1089	0,0918	0,0909	1945	1334	611
L05729	1	-46,5386362	-23,5224127	3595	0,0278	0,0909	7112	4601	2511
L05742	1	-46,5211173	-23,5214041	2853	0,0351	0,0909	5266	3603	1663
L05743	1	-46,5487021	-23,5239078	1983	0,0504	0,0909	3819	2477	1342
L05745	1	-46,5393250	-23,5309129	2457	0,0407	0,0909	4417	3008	1409
L05749	1	-46,5657556	-23,5447205	2552	0,0392	0,0909	4152	3034	1118
L05751	1	-46,5757522	-23,5380963	4097	0,0244	0,0909	6495	4845	1650
L05752	2	-46,5494401	-23,5441268	4128	0,0484	0,1818	7403	5019	2384
