cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00002	7	-46,6458082	-23,5644282	2271	0,3082	0,1536	3779	2548	1231
L00003	3	-46,6455650	-23,5547500	3290	0,0912	0,0658	5696	3792	1904
L00004	6	-46,6511260	-23,5652103	5298	0,1133	0,1316	9838	5921	3917
L00005	11	-46,6603762	-23,5406137	4082	0,2695	0,2413	8248	4503	3745
L00006	1	-46,6471893	-23,5496488	4359	0,0229	0,0219	8358	5061	3297
L00007	2	-46,6432717	-23,5529543	1958	0,1021	0,0439	3791	2317	1474
L00008	3	-46,6464095	-23,5560819	3643	0,0823	0,0658	6983	4278	2705
L00010	2	-46,6355899	-23,5623979	2996	0,0668	0,0439	5666	3638	2028
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,0219	7072	4407	2665
L00012	7	-46,6461964	-23,5700830	3252	0,2153	0,1536	6283	3656	2627
L00015	1	-46,6368132	-23,5574886	3591	0,0278	0,0219	7151	4273	2878
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,0219	5297	3132	2165
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,0219	7001	3906	3095
L00019	2	-46,6376429	-23,5607300	2664	0,0751	0,0439	5259	3125	2134
L00020	6	-46,6376429	-23,5607300	2293	0,2617	0,1316	5052	2698	2354
L00021	4	-46,6419109	-23,5592168	3437	0,1164	0,0878	6548	4013	2535
L00022	17	-46,6521240	-23,5458002	10350	0,1643	0,373	18525	11583	6942
L00023	4	-46,6498912	-23,5493645	2834	0,1411	0,0878	4909	3201	1708
L00024	2	-46,6497533	-23,5485991	1896	0,1055	0,0439	3234	2130	1104
L00026	2	-46,6351446	-23,5631017	1170	0,1709	0,0439	2088	1410	678
L00029	17	-46,6858903	-23,5271427	1846	0,9209	0,373	2661	2067	594
L00030	21	-46,6716846	-23,5278546	4168	0,5038	0,4607	8123	4653	3470
L00031	43	-46,6872489	-23,5323018	3785	1,1361	0,9434	5622	4272	1350
L00032	1	-46,6564979	-23,5376940	1668	0,06	0,0219	2471	1844	627
L00033	2	-46,6545420	-23,5418060	2940	0,068	0,0439	4562	3313	1249
L00034	9	-46,6605264	-23,5415277	5254	0,1713	0,1975	7993	5767	2226
L00035	29	-46,6800459	-23,5481021	3932	0,7375	0,6362	6405	4313	2092
L00036	6	-46,6671104	-23,5303076	1611	0,3724	0,1316	3037	1845	1192
L00037	1	-46,6566164	-23,5307137	3471	0,0288	0,0219	6463	3952	2511
L00038	70	-46,6844226	-23,5340373	3156	2,218	1,5358	5271	3545	1726
L00039	34	-46,6663954	-23,5361229	5419	0,6274	0,7459	8062	5901	2161
L00040	3	-46,6597606	-23,5452831	1062	0,2825	0,0658	1577	1160	417
L00041	20	-46,6798996	-23,5306990	2132	0,9381	0,4388	3296	2395	901
L00043	26	-46,6853794	-23,5386780	2698	0,9637	0,5704	4613	3033	1580
L00044	1	-46,6566305	-23,5207777	1534	0,0652	0,0219	2722	1815	907
L00045	1	-46,6523017	-23,5318175	2128	0,047	0,0219	3940	2485	1455
L00046	2	-46,6555734	-23,5283610	2335	0,0857	0,0439	4656	2795	1861
L00047	1	-46,6419486	-23,5325337	1033	0,0968	0,0219	1992	1229	763
L00048	15	-46,6841353	-23,5370181	2501	0,5998	0,3291	3771	2812	959
L00049	39	-46,6806583	-23,5307166	4578	0,8519	0,8556	8065	5186	2879
L00050	3	-46,6531096	-23,5391595	3449	0,087	0,0658	6577	4007	2570
L00051	17	-46,6946005	-23,5421890	3052	0,557	0,373	5602	3572	2030
L00052	62	-46,6832663	-23,5289919	4888	1,2684	1,3602	8677	5629	3048
L00053	20	-46,6630845	-23,5450242	5945	0,3364	0,4388	9970	6457	3513
L00054	6	-46,6650200	-23,5361422	1083	0,554	0,1316	1605	1172	433
L00055	11	-46,6566164	-23,5307137	5271	0,2087	0,2413	9323	6035	3288
L00056	2	-46,6508278	-23,5375343	2409	0,083	0,0439	4853	2751	2102
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,0219	4093	2814	1279
L00058	3	-46,6432297	-23,5320752	3161	0,0949	0,0658	6470	3731	2739
