cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	1	-46,6455650	-23,5547500	3290	0,0304	0,0695	5696	3792	1904
L00008	2	-46,6464095	-23,5560819	3643	0,0549	0,1391	6983	4278	2705
L00012	1	-46,6461964	-23,5700830	3252	0,0308	0,0695	6283	3656	2627
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,0695	5416	3426	1990
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,0695	5259	3125	2134
L00021	1	-46,6419109	-23,5592168	3437	0,0291	0,0695	6548	4013	2535
L00022	3	-46,6521240	-23,5458002	10350	0,029	0,2086	18525	11583	6942
L00023	1	-46,6498912	-23,5493645	2834	0,0353	0,0695	4909	3201	1708
L00025	1	-46,6380154	-23,5642161	2151	0,0465	0,0695	3803	2547	1256
L00026	2	-46,6351446	-23,5631017	1170	0,1709	0,1391	2088	1410	678
L00028	1	-46,6528053	-23,5234860	651	0,1536	0,0695	1201	806	395
L00030	4	-46,6716846	-23,5278546	4168	0,096	0,2782	8123	4653	3470
L00033	1	-46,6545420	-23,5418060	2940	0,034	0,0695	4562	3313	1249
L00034	2	-46,6605264	-23,5415277	5254	0,0381	0,1391	7993	5767	2226
L00035	1	-46,6800459	-23,5481021	3932	0,0254	0,0695	6405	4313	2092
L00038	4	-46,6844226	-23,5340373	3156	0,1267	0,2782	5271	3545	1726
L00039	9	-46,6663954	-23,5361229	5419	0,1661	0,6259	8062	5901	2161
L00043	1	-46,6853794	-23,5386780	2698	0,0371	0,0695	4613	3033	1580
L00045	2	-46,6523017	-23,5318175	2128	0,094	0,1391	3940	2485	1455
L00047	1	-46,6419486	-23,5325337	1033	0,0968	0,0695	1992	1229	763
L00048	3	-46,6841353	-23,5370181	2501	0,12	0,2086	3771	2812	959
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,0695	8065	5186	2879
L00052	3	-46,6832663	-23,5289919	4888	0,0614	0,2086	8677	5629	3048
L00053	2	-46,6630845	-23,5450242	5945	0,0336	0,1391	9970	6457	3513
L00054	2	-46,6650200	-23,5361422	1083	0,1847	0,1391	1605	1172	433
