cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00002	1	-46,6458082	-23,5644282	2271	0,044	0,5376	3779	2548	1231
L00014	1	-46,6289218	-23,5548030	2700	0,037	0,5376	5182	3459	1723
L00048	1	-46,6841353	-23,5370181	2501	0,04	0,5376	3771	2812	959
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,5376	8065	5186	2879
L00070	1	-46,6134834	-23,5400667	2964	0,0337	0,5376	5594	3588	2006
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,5376	5785	3615	2170
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,5376	8045	4955	3090
L00095	1	-46,5726610	-23,5574173	1814	0,0551	0,5376	3331	2227	1104
L00096	1	-46,5697601	-23,5636527	4049	0,0247	0,5376	7290	5070	2220
L00108	1	-46,5976041	-23,5519593	6779	0,0148	0,5376	11883	7994	3889
L00118	1	-46,6768341	-23,5885769	2860	0,035	0,5376	5240	3249	1991
L00128	1	-46,6769068	-23,6001070	3888	0,0257	0,5376	6994	4384	2610
L00129	1	-46,6486232	-23,5813704	3537	0,0283	0,5376	5654	3970	1684
L00131	1	-46,6442337	-23,5847251	4116	0,0243	0,5376	7035	4617	2418
L00137	1	-46,6125927	-23,5728431	3033	0,033	0,5376	4908	3570	1338
L00143	1	-46,6414511	-23,5858080	2718	0,0368	0,5376	4786	3093	1693
L00536	1	-46,7920187	-23,6867819	3212	0,0311	0,5376	5561	4120	1441
L05534	1	-46,6930410	-23,6638790	5787	0,0173	0,5376	9716	6724	2992
L05551	3	-46,7022860	-23,6510126	4767	0,0629	1,6129	8841	5514	3327
L05552	1	-46,4488381	-23,4906612	2090	0,0478	0,5376	3620	2620	1000
L05596	2	-46,4536228	-23,5552304	3671	0,0545	1,0753	6672	4852	1820
L05601	1	-46,4359061	-23,5226454	2327	0,043	0,5376	4159	3108	1051
L05610	1	-46,4554689	-23,5282555	6146	0,0163	0,5376	10609	7693	2916
L05649	1	-46,7178181	-23,5361638	1874	0,0534	0,5376	2784	2102	682
L05654	1	-46,7056393	-23,5213772	2148	0,0466	0,5376	4003	2538	1465
L05659	1	-46,7518718	-23,5135808	2141	0,0467	0,5376	4040	2770	1270
L05678	1	-46,7498669	-23,4969079	2593	0,0386	0,5376	4758	3251	1507
L05722	1	-46,5000225	-23,5253888	2828	0,0354	0,5376	4665	3627	1038
L05734	3	-46,5478984	-23,5284411	2172	0,1381	1,6129	4014	2746	1268
L05736	1	-46,5179226	-23,5228086	3663	0,0273	0,5376	6711	4640	2071
L05741	1	-46,5356236	-23,5299143	915	0,1093	0,5376	1501	1148	353
L05764	1	-46,5738227	-23,5337115	1764	0,0567	0,5376	3163	2131	1032
L05775	3	-46,5662223	-23,5472777	2792	0,1074	1,6129	5162	3308	1854
L05777	1	-46,5636721	-23,5353692	1934	0,0517	0,5376	3252	2352	900
L05781	1	-46,5589094	-23,5412357	2005	0,0499	0,5376	3920	2483	1437
L05788	1	-46,5170255	-23,5575103	1578	0,0634	0,5376	3137	1967	1170
L05794	2	-46,5433831	-23,5503063	4135	0,0484	1,0753	6973	5037	1936
L05802	1	-46,6013419	-23,5076564	3312	0,0302	0,5376	6027	4063	1964
L05825	1	-46,6088452	-23,5120897	1543	0,0648	0,5376	2874	1903	971
L05838	2	-46,5930563	-23,5195686	3761	0,0532	1,0753	6624	4656	1968
L05844	1	-46,6552440	-23,4837840	4064	0,0246	0,5376	6975	5136	1839
L05846	1	-46,6811823	-23,4913790	3097	0,0323	0,5376	5454	4068	1386
L05860	1	-46,6806536	-23,4985927	2933	0,0341	0,5376	5335	3608	1727
L05908	1	-46,5774727	-23,4379629	2559	0,0391	0,5376	4721	3325	1396
L05910	1	-46,6108766	-23,4549274	2539	0,0394	0,5376	4480	2999	1481
L05930	1	-46,5620004	-23,5788819	2521	0,0397	0,5376	4889	3094	1795
L05944	1	-46,5421787	-23,5921449	3003	0,0333	0,5376	5738	3791	1947
L05949	2	-46,5838544	-23,5814914	2972	0,0673	1,0753	5338	3529	1809
L05974	1	-46,6641427	-23,6002288	6184	0,0162	0,5376	10325	6924	3401
