cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00002	6	-46,6458082	-23,5644282	2271	0,2642	0,1819	3779	2548	1231
L00003	4	-46,6455650	-23,5547500	3290	0,1216	0,1212	5696	3792	1904
L00004	19	-46,6511260	-23,5652103	5298	0,3586	0,5759	9838	5921	3917
L00005	10	-46,6603762	-23,5406137	4082	0,245	0,3031	8248	4503	3745
L00006	8	-46,6471893	-23,5496488	4359	0,1835	0,2425	8358	5061	3297
L00007	2	-46,6432717	-23,5529543	1958	0,1021	0,0606	3791	2317	1474
L00008	4	-46,6464095	-23,5560819	3643	0,1098	0,1212	6983	4278	2705
L00009	3	-46,6401698	-23,5538581	823	0,3645	0,0909	1409	943	466
L00010	3	-46,6355899	-23,5623979	2996	0,1001	0,0909	5666	3638	2028
L00011	14	-46,6535747	-23,5498948	3808	0,3676	0,4244	7072	4407	2665
L00012	9	-46,6461964	-23,5700830	3252	0,2768	0,2728	6283	3656	2627
L00013	4	-46,6421456	-23,5572933	2899	0,138	0,1212	5416	3426	1990
L00014	2	-46,6289218	-23,5548030	2700	0,0741	0,0606	5182	3459	1723
L00015	5	-46,6368132	-23,5574886	3591	0,1392	0,1516	7151	4273	2878
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,0303	5297	3132	2165
L00018	10	-46,6419109	-23,5592168	3389	0,2951	0,3031	7001	3906	3095
L00019	3	-46,6376429	-23,5607300	2664	0,1126	0,0909	5259	3125	2134
L00020	3	-46,6376429	-23,5607300	2293	0,1308	0,0909	5052	2698	2354
L00021	4	-46,6419109	-23,5592168	3437	0,1164	0,1212	6548	4013	2535
L00022	27	-46,6521240	-23,5458002	10350	0,2609	0,8184	18525	11583	6942
L00023	4	-46,6498912	-23,5493645	2834	0,1411	0,1212	4909	3201	1708
L00024	9	-46,6497533	-23,5485991	1896	0,4747	0,2728	3234	2130	1104
L00025	4	-46,6380154	-23,5642161	2151	0,186	0,1212	3803	2547	1256
L00027	2	-46,6368084	-23,5498480	2635	0,0759	0,0606	5430	3072	2358
L00028	1	-46,6528053	-23,5234860	651	0,1536	0,0303	1201	806	395
L00029	1	-46,6858903	-23,5271427	1846	0,0542	0,0303	2661	2067	594
