cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00015	1	-46,6368132	-23,5574886	3591	0,0278	1,0309	7151	4273	2878
L00021	1	-46,6419109	-23,5592168	3437	0,0291	1,0309	6548	4013	2535
L00022	1	-46,6521240	-23,5458002	10350	0,0097	1,0309	18525	11583	6942
L00028	1	-46,6528053	-23,5234860	651	0,1536	1,0309	1201	806	395
L00033	1	-46,6545420	-23,5418060	2940	0,034	1,0309	4562	3313	1249
L00034	1	-46,6605264	-23,5415277	5254	0,019	1,0309	7993	5767	2226
L00050	1	-46,6531096	-23,5391595	3449	0,029	1,0309	6577	4007	2570
L00068	1	-46,6432775	-23,5262231	2815	0,0355	1,0309	5403	3409	1994
L00083	1	-46,5997287	-23,5410220	3324	0,0301	1,0309	6501	4011	2490
L00109	1	-46,6685837	-23,5678112	2042	0,049	1,0309	3574	2207	1367
L00120	1	-46,6758302	-23,6004582	2006	0,0499	1,0309	3761	2276	1485
L00145	2	-46,6350220	-23,5881065	3012	0,0664	2,0619	5263	3410	1853
L00156	3	-46,6397771	-23,5727404	4608	0,0651	3,0928	8784	5242	3542
L00157	2	-46,6389836	-23,5697573	5176	0,0386	2,0619	8809	5934	2875
L05530	1	-46,7007739	-23,6497088	5044	0,0198	1,0309	8236	5638	2598
L05549	1	-46,7057350	-23,6332760	4550	0,022	1,0309	7718	5073	2645
L05561	2	-46,4389924	-23,5145862	3097	0,0646	2,0619	5489	4147	1342
L05613	1	-46,6310064	-23,5025938	1028	0,0973	1,0309	2041	1205	836
L05636	1	-46,6317593	-23,5028361	836	0,1196	1,0309	1410	975	435
L05734	1	-46,5478984	-23,5284411	2172	0,046	1,0309	4014	2746	1268
L05736	1	-46,5179226	-23,5228086	3663	0,0273	1,0309	6711	4640	2071
L05828	1	-46,6007196	-23,5005481	2697	0,0371	1,0309	4882	3315	1567
L05832	1	-46,5754788	-23,5000239	1037	0,0964	1,0309	1570	1248	322
L05854	1	-46,6559225	-23,4706050	3589	0,0279	1,0309	6533	4491	2042
L05862	1	-46,6805862	-23,5028507	5531	0,0181	1,0309	9763	6800	2963
L05871	1	-46,6689770	-23,4751050	1758	0,0569	1,0309	3076	2211	865
L05906	1	-46,6048700	-23,4811680	2460	0,0407	1,0309	4808	3065	1743
L05913	1	-46,6248203	-23,4576182	3097	0,0323	1,0309	5869	3776	2093
L05938	1	-46,5607547	-23,6059835	2674	0,0374	1,0309	5130	3444	1686
L05966	2	-46,6599239	-23,6127900	4523	0,0442	2,0619	8055	5113	2942
L05976	1	-46,6786792	-23,6169250	3059	0,0327	1,0309	4637	3422	1215
L05977	1	-46,6702545	-23,6470231	3091	0,0324	1,0309	4695	3516	1179
L05981	1	-46,6812703	-23,6263887	3816	0,0262	1,0309	6833	4360	2473
L05982	1	-46,6821455	-23,6155051	5201	0,0192	1,0309	8875	5878	2997
L05985	2	-46,6850791	-23,6183057	3742	0,0534	2,0619	6558	4258	2300
