cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,5587	9838	5921	3917
L00533	1	-46,7766842	-23,6810185	3832	0,0261	0,5587	6561	4847	1714
L00544	2	-46,7734160	-23,6802425	3538	0,0565	1,1173	6419	4341	2078
L00549	1	-46,7905836	-23,6983913	3552	0,0282	0,5587	6142	4535	1607
L05599	1	-46,4443340	-23,5321000	3793	0,0264	0,5587	6860	4712	2148
L05964	1	-46,6783620	-23,6167251	2994	0,0334	0,5587	5082	3353	1729
L05974	1	-46,6641427	-23,6002288	6184	0,0162	0,5587	10325	6924	3401
L05988	1	-46,6679674	-23,6420583	3208	0,0312	0,5587	5082	3709	1373
L06668	1	-46,7079679	-23,7294845	5089	0,0197	0,5587	8445	6409	2036
L06669	3	-46,6865884	-23,7095906	3707	0,0809	1,676	6138	4679	1459
L06673	2	-46,6853733	-23,7259814	3759	0,0532	1,1173	6283	4756	1527
L06674	1	-46,6793309	-23,7195684	3211	0,0311	0,5587	5467	4147	1320
L06675	2	-46,6881398	-23,7299942	3738	0,0535	1,1173	6186	4796	1390
L06676	2	-46,6947263	-23,7122284	3026	0,0661	1,1173	5161	3620	1541
L06677	1	-46,7023442	-23,7336887	3497	0,0286	0,5587	6166	4530	1636
L06681	1	-46,6810487	-23,7212278	1316	0,076	0,5587	2471	1778	693
L06683	1	-46,6987338	-23,7098273	2586	0,0387	0,5587	4747	3089	1658
L06684	1	-46,6863422	-23,7040675	2925	0,0342	0,5587	5005	3592	1413
L07585	2	-46,6489412	-23,6630793	4484	0,0446	1,1173	7661	5544	2117
L07598	1	-46,6392154	-23,6408466	3709	0,027	0,5587	6533	4338	2195
L08195	1	-46,7277361	-23,6045363	3437	0,0291	0,5587	5923	4007	1916
L08363	1	-46,6578420	-23,6700605	2290	0,0437	0,5587	3858	2871	987
L08364	3	-46,6666281	-23,6643337	2350	0,1277	1,676	4231	2884	1347
L08371	1	-46,6452777	-23,6816754	2288	0,0437	0,5587	4435	3097	1338
L08432	2	-46,4189254	-23,5384808	3214	0,0622	1,1173	5635	4179	1456
L08846	1	-46,6604530	-23,7438933	5276	0,019	0,5587	8555	6524	2031
L08848	1	-46,6708362	-23,7427238	3254	0,0307	0,5587	5197	4056	1141
L08850	2	-46,6964318	-23,7396716	3205	0,0624	1,1173	5411	4075	1336
L08851	2	-46,7029441	-23,7482829	3251	0,0615	1,1173	5688	4114	1574
L08852	1	-46,7044580	-23,7593862	2527	0,0396	0,5587	4290	3181	1109
L08857	1	-46,6632244	-23,7341199	4646	0,0215	0,5587	7764	5913	1851
L08860	2	-46,6895040	-23,7350676	2726	0,0734	1,1173	4411	3424	987
L08863	1	-46,6886063	-23,7505995	3166	0,0316	0,5587	5819	4112	1707
L08865	1	-46,6897118	-23,7494669	2152	0,0465	0,5587	3650	2758	892
L08867	1	-46,6470260	-23,7040291	3006	0,0333	0,5587	4976	3854	1122
L08869	1	-46,6976128	-23,7478250	3454	0,029	0,5587	5909	4430	1479
L08870	2	-46,6818898	-23,7403681	3700	0,0541	1,1173	6280	4769	1511
L08965	1	-46,7675970	-23,6617050	4014	0,0249	0,5587	7021	5104	1917
L09324	3	-46,6807410	-23,7669661	7735	0,0388	1,676	13259	9980	3279
L09325	9	-46,7263218	-23,8274592	6787	0,1326	5,0279	12142	8727	3415
L09328	1	-46,7141076	-23,7756410	2776	0,036	0,5587	4851	3566	1285
L09329	2	-46,7322899	-23,8269933	2869	0,0697	1,1173	5349	3686	1663
L09331	4	-46,7035072	-23,7651387	3604	0,111	2,2346	6158	4583	1575
L09332	4	-46,6902192	-23,7830774	3543	0,1129	2,2346	5840	4560	1280
L09334	1	-46,7177616	-23,7331948	2616	0,0382	0,5587	4208	3249	959
L09335	3	-46,6948722	-23,7705062	2172	0,1381	1,676	3674	2724	950
L09336	5	-46,7167371	-23,7695068	4256	0,1175	2,7933	7217	5340	1877
L09341	2	-46,6962116	-23,7633829	3630	0,0551	1,1173	5815	4452	1363
L09342	2	-46,6978953	-23,8459940	2662	0,0751	1,1173	4306	3337	969
L09343	2	-46,6900236	-23,7830902	3546	0,0564	1,1173	5915	4466	1449
L09344	1	-46,6923854	-23,7664548	2534	0,0395	0,5587	4216	3211	1005
L09345	6	-46,7226984	-23,7765320	3746	0,1602	3,352	6480	4713	1767
L09346	3	-46,6969438	-23,7768204	4723	0,0635	1,676	7671	5863	1808
L09347	2	-46,7059302	-23,7403363	3101	0,0645	1,1173	5690	3864	1826
L09356	2	-46,7319307	-23,7919749	4689	0,0427	1,1173	8175	6073	2102
L09357	1	-46,6847035	-23,7863114	4077	0,0245	0,5587	6645	5160	1485
L09359	29	-46,7146448	-23,8112468	946	3,0655	16,2011	1579	1184	395
L09360	1	-46,7119437	-23,7376852	1979	0,0505	0,5587	3356	2393	963
L09362	25	-46,7145555	-23,7851162	4313	0,5796	13,9665	7001	5315	1686
L09363	4	-46,6948722	-23,7705062	3781	0,1058	2,2346	6218	4781	1437
L09365	2	-46,7247768	-23,8302856	2009	0,0996	1,1173	3395	2519	876
L09366	1	-46,7131152	-23,7598945	1723	0,058	0,5587	2791	2164	627
L09368	1	-46,7095920	-23,7408252	1645	0,0608	0,5587	2849	2040	809
