cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00015	1	-46,6368132	-23,5574886	3591	0,0278	0,149	7151	4273	2878
L00047	1	-46,6419486	-23,5325337	1033	0,0968	0,149	1992	1229	763
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,149	6470	3731	2739
L00062	2	-46,6375237	-23,5287430	2256	0,0887	0,2981	4421	2765	1656
L00078	2	-46,6212238	-23,5429654	2774	0,0721	0,2981	5496	3398	2098
L00094	1	-46,6214361	-23,5534993	2393	0,0418	0,149	4753	2932	1821
L00534	1	-46,7872371	-23,6773522	3311	0,0302	0,149	5703	4173	1530
L05554	1	-46,4441795	-23,4982353	3546	0,0282	0,149	6065	4260	1805
L05556	1	-46,4403512	-23,4942325	2553	0,0392	0,149	4433	3067	1366
L05558	4	-46,4234630	-23,5085168	3758	0,1064	0,5961	6529	4735	1794
L05559	4	-46,4198222	-23,5098866	1943	0,2059	0,5961	3330	2529	801
L05560	1	-46,4200805	-23,5177469	783	0,1277	0,149	1422	1053	369
L05561	1	-46,4389924	-23,5145862	3097	0,0323	0,149	5489	4147	1342
L05564	1	-46,4259779	-23,5162635	4083	0,0245	0,149	6687	5009	1678
L05565	2	-46,4195668	-23,5172129	2191	0,0913	0,2981	3749	2826	923
L05566	1	-46,4352447	-23,5020281	2851	0,0351	0,149	4735	3521	1214
L05567	2	-46,4215117	-23,5013996	3622	0,0552	0,2981	6083	4594	1489
L05570	3	-46,4345329	-23,5094734	3688	0,0813	0,4471	6309	4565	1744
L05571	7	-46,4218866	-23,5204965	2679	0,2613	1,0432	4440	3324	1116
L05572	28	-46,4193422	-23,5228558	2139	1,309	4,1729	3993	2664	1329
L05573	6	-46,4192720	-23,4963124	2328	0,2577	0,8942	4347	2982	1365
L05574	1	-46,4424219	-23,4946443	1702	0,0588	0,149	3011	2169	842
L05580	2	-46,4367093	-23,5286893	3428	0,0583	0,2981	6257	4314	1943
L05583	2	-46,4325849	-23,5321585	3488	0,0573	0,2981	6128	4395	1733
L05587	1	-46,4443497	-23,5387667	3161	0,0316	0,149	5471	4127	1344
L05591	1	-46,4544144	-23,5410443	3621	0,0276	0,149	6839	4640	2199
L05599	2	-46,4443340	-23,5321000	3793	0,0527	0,2981	6860	4712	2148
L05602	1	-46,4402958	-23,5148095	3394	0,0295	0,149	6298	4377	1921
L05605	1	-46,4587342	-23,5292643	947	0,1056	0,149	1607	1196	411
L05606	1	-46,4338955	-23,5321290	491	0,2037	0,149	859	653	206
L05610	1	-46,4554689	-23,5282555	6146	0,0163	0,149	10609	7693	2916
L05618	1	-46,6270210	-23,5057810	1824	0,0548	0,149	3578	2176	1402
L05740	1	-46,5095310	-23,5250203	3929	0,0255	0,149	7326	4889	2437
L05746	1	-46,5505175	-23,5250578	1516	0,066	0,149	2837	1855	982
L05747	1	-46,5214246	-23,5293125	1229	0,0814	0,149	2257	1504	753
L05751	1	-46,5757522	-23,5380963	4097	0,0244	0,149	6495	4845	1650
L05763	1	-46,5178296	-23,5802614	2728	0,0367	0,149	4620	3507	1113
L05780	1	-46,5072844	-23,5706991	5535	0,0181	0,149	10333	6962	3371
L05871	1	-46,6689770	-23,4751050	1758	0,0569	0,149	3076	2211	865
L07585	1	-46,6489412	-23,6630793	4484	0,0223	0,149	7661	5544	2117
L07588	1	-46,6585002	-23,6601214	4100	0,0244	0,149	7296	5008	2288
L07590	1	-46,6424477	-23,6679792	3909	0,0256	0,149	7206	5039	2167
L07601	1	-46,6355606	-23,6678098	1988	0,0503	0,149	3563	2572	991
L07690	2	-46,4825992	-23,5059494	1295	0,1544	0,2981	2134	1637	497
L07721	1	-46,7021950	-23,4842550	3320	0,0301	0,149	6150	4149	2001
L08242	1	-46,5020045	-23,5414163	2155	0,0464	0,149	4183	2801	1382
L08252	1	-46,4996257	-23,5474295	2491	0,0401	0,149	4201	3182	1019
L08378	2	-46,4008120	-23,4977007	1709	0,117	0,2981	3255	2338	917
L08381	2	-46,3943443	-23,5046166	3160	0,0633	0,2981	5695	4002	1693
L08383	2	-46,3769440	-23,4873573	2331	0,0858	0,2981	4327	3221	1106
L08386	1	-46,3879010	-23,5188440	3845	0,026	0,149	6696	5024	1672
L08387	2	-46,3754478	-23,4964448	3203	0,0624	0,2981	5688	4215	1473
L08389	1	-46,3884186	-23,5122760	2336	0,0428	0,149	4350	3214	1136
L08391	1	-46,3965404	-23,5176660	3624	0,0276	0,149	6265	4666	1599
L08398	2	-46,4040381	-23,5003398	2632	0,076	0,2981	4564	3375	1189
L08399	1	-46,3842236	-23,5203421	3359	0,0298	0,149	6149	4622	1527
L08400	1	-46,3850728	-23,5122978	3974	0,0252	0,149	7123	5016	2107
L08404	1	-46,3922999	-23,4852473	2625	0,0381	0,149	4589	3442	1147
L08414	1	-46,3950439	-23,4989421	2828	0,0354	0,149	5125	3485	1640
L08417	2	-46,3806444	-23,5150740	2751	0,0727	0,2981	4718	3665	1053
L08422	1	-46,4003582	-23,5441270	1520	0,0658	0,149	2178	1462	716
L08426	2	-46,4008912	-23,5381934	3356	0,0596	0,2981	6116	4546	1570
L08427	90	-46,4213722	-23,5297891	4764	1,8892	13,4128	7765	5959	1806
L08430	1	-46,4157806	-23,5492070	1808	0,0553	0,149	3393	2325	1068
L08431	3	-46,4023983	-23,5435780	3363	0,0892	0,4471	5917	4490	1427
L08432	32	-46,4189254	-23,5384808	3214	0,9956	4,769	5635	4179	1456
L08434	11	-46,4184068	-23,5376100	1088	1,011	1,6393	2100	1473	627
L08436	10	-46,4107031	-23,5355506	3955	0,2528	1,4903	7305	5186	2119
L08438	21	-46,4254538	-23,5250259	3705	0,5668	3,1297	6437	4786	1651
L08439	1	-46,4207673	-23,5460751	2866	0,0349	0,149	5637	3838	1799
L08440	14	-46,4091642	-23,5275663	2973	0,4709	2,0864	5298	3892	1406
L08441	5	-46,3973726	-23,5355326	2439	0,205	0,7452	4306	3101	1205
L08442	2	-46,3994934	-23,5325352	3824	0,0523	0,2981	7163	5062	2101
L08443	2	-46,4155334	-23,5455554	1247	0,1604	0,2981	2181	1603	578
L08444	2	-46,3977921	-23,5358129	2757	0,0725	0,2981	5165	3761	1404
L08445	4	-46,4037610	-23,5596980	3457	0,1157	0,5961	2665	1848	817
L08446	200	-46,4185555	-23,5307546	2258	8,8574	29,8063	4003	2970	1033
L08447	1	-46,4023822	-23,5509844	1988	0,0503	0,149	3479	2599	880
L08448	2	-46,4087514	-23,5527119	2094	0,0955	0,2981	4017	2779	1238
L08451	4	-46,3909828	-23,5442229	2400	0,1667	0,5961	4283	3241	1042
L08452	36	-46,4116268	-23,5278328	3591	1,0025	5,3651	6073	4598	1475
L08453	4	-46,4234233	-23,5381049	2084	0,1919	0,5961	3936	2769	1167
L08454	1	-46,4066295	-23,5366390	2713	0,0369	0,149	4822	3590	1232
L08455	2	-46,4007548	-23,5495498	2353	0,085	0,2981	4306	3004	1302
L08456	10	-46,4126165	-23,5416929	2557	0,3911	1,4903	4651	3173	1478
L08457	2	-46,3967810	-23,5545250	1819	0,11	0,2981	3404	2514	890
L08460	1	-46,4151119	-23,5465924	925	0,1081	0,149	1672	1159	513
L08461	8	-46,4228459	-23,5390975	2171	0,3685	1,1923	3128	2231	897
L08462	4	-46,4037610	-23,5596980	1122	0,3565	0,5961	954	745	209
L08927	1	-46,7602288	-23,6921984	3141	0,0318	0,149	5143	3919	1224
L08972	2	-46,7892721	-23,6004866	3302	0,0606	0,2981	5905	4260	1645
L09099	1	-46,6998285	-23,4605103	2820	0,0355	0,149	4930	3583	1347
L09751	1	-46,4808988	-23,5169363	764	0,1309	0,149	1285	982	303
L09753	1	-46,4717218	-23,5340019	1145	0,0873	0,149	1944	1432	512
L09757	2	-46,4799583	-23,5263781	2015	0,0993	0,2981	3665	2771	894
L09772	1	-46,4729202	-23,5342395	2773	0,0361	0,149	4787	3486	1301
L09783	1	-46,4752420	-23,5235190	4447	0,0225	0,149	7421	5633	1788
L09927	9	-46,4105791	-23,5212702	3639	0,2473	1,3413	6418	4656	1762
L09929	1	-46,4136703	-23,4837091	3959	0,0253	0,149	6588	5137	1451
L09930	5	-46,4160982	-23,5152778	3213	0,1556	0,7452	5343	4160	1183
L09935	2	-46,4135985	-23,4998743	4252	0,047	0,2981	7458	5385	2073
L09936	6	-46,4103530	-23,5225647	2103	0,2853	0,8942	3821	2877	944
L09937	1	-46,4180284	-23,4905184	3021	0,0331	0,149	5041	3920	1121
L09938	1	-46,4304864	-23,4825986	3466	0,0289	0,149	5946	4422	1524
L09939	1	-46,4058353	-23,5217846	3328	0,03	0,149	5634	4378	1256
L09940	3	-46,4159193	-23,5160292	2494	0,1203	0,4471	4441	3412	1029
L09941	1	-46,4089885	-23,5011168	2267	0,0441	0,149	3907	3021	886
L09942	1	-46,4066823	-23,5098630	3334	0,03	0,149	5872	4480	1392
L09944	1	-46,4089885	-23,5099210	2792	0,0358	0,149	4837	3753	1084
L09950	1	-46,4230488	-23,4832865	2543	0,0393	0,149	4173	3288	885
L09953	1	-46,4731140	-23,5114910	2130	0,0469	0,149	3810	2793	1017
L09954	1	-46,4581061	-23,4953823	1804	0,0554	0,149	3147	2304	843
L09969	1	-46,4652162	-23,5011465	2204	0,0454	0,149	3832	2745	1087
L09979	1	-46,4533158	-23,4993370	3973	0,0252	0,149	6808	4929	1879
L10159	2	-46,3986638	-23,5652267	1792	0,1116	0,2981	2935	2258	677
L10160	1	-46,3946292	-23,6013228	1030	0,0971	0,149	1836	1330	506
L10187	4	-46,3967077	-23,5644405	2905	0,1377	0,5961	5094	3653	1441
L10193	2	-46,4414315	-23,5961736	2959	0,0676	0,2981	5227	3738	1489
L10197	1	-46,3997870	-23,5705358	1901	0,0526	0,149	3155	2448	707
L10200	3	-46,4077080	-23,5934470	2037	0,1473	0,4471	3462	2558	904
L10207	1	-46,4402616	-23,5431917	2833	0,0353	0,149	4781	3684	1097
L10211	4	-46,4410384	-23,5384069	4053	0,0987	0,5961	7309	5151	2158
L10214	2	-46,4333967	-23,5385367	1399	0,143	0,2981	2572	1879	693
L10216	5	-46,4285496	-23,5394983	3748	0,1334	0,7452	6636	4916	1720
L10219	2	-46,4216949	-23,5880443	2893	0,0691	0,2981	4936	3772	1164
L10618	1	-46,4876555	-23,5528722	3863	0,0259	0,149	7214	4790	2424
