cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00001	2	-46,6357754	-23,5454496	744	0,2688	0,0651	1384	845	539
L00002	6	-46,6458082	-23,5644282	2271	0,2642	0,1952	3779	2548	1231
L00003	13	-46,6455650	-23,5547500	3290	0,3951	0,423	5696	3792	1904
L00004	9	-46,6511260	-23,5652103	5298	0,1699	0,2929	9838	5921	3917
L00005	7	-46,6603762	-23,5406137	4082	0,1715	0,2278	8248	4503	3745
L00006	9	-46,6471893	-23,5496488	4359	0,2065	0,2929	8358	5061	3297
L00007	6	-46,6432717	-23,5529543	1958	0,3064	0,1952	3791	2317	1474
L00008	3	-46,6464095	-23,5560819	3643	0,0823	0,0976	6983	4278	2705
L00009	1	-46,6401698	-23,5538581	823	0,1215	0,0325	1409	943	466
L00010	4	-46,6355899	-23,5623979	2996	0,1335	0,1302	5666	3638	2028
L00011	9	-46,6535747	-23,5498948	3808	0,2363	0,2929	7072	4407	2665
L00012	13	-46,6461964	-23,5700830	3252	0,3998	0,423	6283	3656	2627
L00013	8	-46,6421456	-23,5572933	2899	0,276	0,2603	5416	3426	1990
L00015	5	-46,6368132	-23,5574886	3591	0,1392	0,1627	7151	4273	2878
L00016	6	-46,6361305	-23,5497845	2669	0,2248	0,1952	5297	3132	2165
L00018	9	-46,6419109	-23,5592168	3389	0,2656	0,2929	7001	3906	3095
L00019	3	-46,6376429	-23,5607300	2664	0,1126	0,0976	5259	3125	2134
L00020	6	-46,6376429	-23,5607300	2293	0,2617	0,1952	5052	2698	2354
L00021	6	-46,6419109	-23,5592168	3437	0,1746	0,1952	6548	4013	2535
L00022	13	-46,6521240	-23,5458002	10350	0,1256	0,423	18525	11583	6942
L00023	3	-46,6498912	-23,5493645	2834	0,1059	0,0976	4909	3201	1708
L00024	3	-46,6497533	-23,5485991	1896	0,1582	0,0976	3234	2130	1104
L00025	5	-46,6380154	-23,5642161	2151	0,2325	0,1627	3803	2547	1256
L00026	3	-46,6351446	-23,5631017	1170	0,2564	0,0976	2088	1410	678
L00027	5	-46,6368084	-23,5498480	2635	0,1898	0,1627	5430	3072	2358
L00028	1	-46,6528053	-23,5234860	651	0,1536	0,0325	1201	806	395
L00030	4	-46,6716846	-23,5278546	4168	0,096	0,1302	8123	4653	3470
L00031	8	-46,6872489	-23,5323018	3785	0,2114	0,2603	5622	4272	1350
L00032	1	-46,6564979	-23,5376940	1668	0,06	0,0325	2471	1844	627
L00033	2	-46,6545420	-23,5418060	2940	0,068	0,0651	4562	3313	1249
L00034	8	-46,6605264	-23,5415277	5254	0,1523	0,2603	7993	5767	2226
L00035	11	-46,6800459	-23,5481021	3932	0,2798	0,358	6405	4313	2092
L00036	1	-46,6671104	-23,5303076	1611	0,0621	0,0325	3037	1845	1192
L00037	6	-46,6566164	-23,5307137	3471	0,1729	0,1952	6463	3952	2511
L00038	4	-46,6844226	-23,5340373	3156	0,1267	0,1302	5271	3545	1726
L00039	3	-46,6663954	-23,5361229	5419	0,0554	0,0976	8062	5901	2161
L00040	2	-46,6597606	-23,5452831	1062	0,1883	0,0651	1577	1160	417
L00041	3	-46,6798996	-23,5306990	2132	0,1407	0,0976	3296	2395	901
L00043	2	-46,6853794	-23,5386780	2698	0,0741	0,0651	4613	3033	1580
L00045	1	-46,6523017	-23,5318175	2128	0,047	0,0325	3940	2485	1455
L00046	4	-46,6555734	-23,5283610	2335	0,1713	0,1302	4656	2795	1861
L00047	1	-46,6419486	-23,5325337	1033	0,0968	0,0325	1992	1229	763
L00048	4	-46,6841353	-23,5370181	2501	0,1599	0,1302	3771	2812	959
L00049	13	-46,6806583	-23,5307166	4578	0,284	0,423	8065	5186	2879
L00050	6	-46,6531096	-23,5391595	3449	0,174	0,1952	6577	4007	2570
L00051	6	-46,6946005	-23,5421890	3052	0,1966	0,1952	5602	3572	2030
L00052	1	-46,6832663	-23,5289919	4888	0,0205	0,0325	8677	5629	3048
L00053	4	-46,6630845	-23,5450242	5945	0,0673	0,1302	9970	6457	3513
L00055	5	-46,6566164	-23,5307137	5271	0,0949	0,1627	9323	6035	3288
L00056	4	-46,6508278	-23,5375343	2409	0,166	0,1302	4853	2751	2102
L00057	7	-46,6510689	-23,5302066	2410	0,2905	0,2278	4093	2814	1279
L00058	4	-46,6432297	-23,5320752	3161	0,1265	0,1302	6470	3731	2739
L00060	25	-46,6711550	-23,5381000	10857	0,2303	0,8135	17946	11853	6093
L00061	5	-46,6666956	-23,5298372	3408	0,1467	0,1627	6305	3946	2359
L00062	2	-46,6375237	-23,5287430	2256	0,0887	0,0651	4421	2765	1656
L00063	2	-46,6343483	-23,5436627	2624	0,0762	0,0651	5154	3085	2069
L00064	2	-46,6278434	-23,5475185	2980	0,0671	0,0651	5641	3584	2057
L00065	2	-46,6385252	-23,5376549	2229	0,0897	0,0651	4267	2744	1523
L00067	3	-46,6107088	-23,5252045	1435	0,2091	0,0976	2765	1755	1010
L00068	1	-46,6432775	-23,5262231	2815	0,0355	0,0325	5403	3409	1994
L00069	1	-46,6240453	-23,5332439	1765	0,0567	0,0325	3469	2192	1277
L00074	3	-46,6370866	-23,5384772	2847	0,1054	0,0976	6133	3437	2696
L00075	2	-46,6325856	-23,5295792	4103	0,0487	0,0651	8045	4955	3090
L00078	4	-46,6212238	-23,5429654	2774	0,1442	0,1302	5496	3398	2098
L00080	1	-46,5869070	-23,5756756	3323	0,0301	0,0325	5823	3854	1969
L00081	2	-46,5848689	-23,5392025	3560	0,0562	0,0651	5984	4200	1784
L00082	2	-46,5746890	-23,5568730	2818	0,071	0,0651	4581	3379	1202
L00083	2	-46,5997287	-23,5410220	3324	0,0602	0,0651	6501	4011	2490
L00084	9	-46,5895134	-23,5593568	5301	0,1698	0,2929	8807	6387	2420
L00085	8	-46,5978907	-23,5552089	4372	0,183	0,2603	8050	5269	2781
L00089	3	-46,5902871	-23,5470008	2261	0,1327	0,0976	4286	2820	1466
L00090	2	-46,5652413	-23,5675233	2503	0,0799	0,0651	4461	3203	1258
L00091	2	-46,5964833	-23,5637925	3169	0,0631	0,0651	6188	3786	2402
L00092	1	-46,5828225	-23,5542479	3888	0,0257	0,0325	7164	4714	2450
L00094	1	-46,6214361	-23,5534993	2393	0,0418	0,0325	4753	2932	1821
L00096	2	-46,5697601	-23,5636527	4049	0,0494	0,0651	7290	5070	2220
L00097	2	-46,5595868	-23,5719075	2559	0,0782	0,0651	4560	3187	1373
L00100	2	-46,5637915	-23,5715671	2872	0,0696	0,0651	5130	3619	1511
L00101	5	-46,5902071	-23,5606910	4284	0,1167	0,1627	7988	5172	2816
L00102	4	-46,5979424	-23,5532296	4622	0,0865	0,1302	8563	5548	3015
L00103	2	-46,5812316	-23,5700009	4342	0,0461	0,0651	7905	5265	2640
L00106	5	-46,5939719	-23,5375195	4328	0,1155	0,1627	6924	5149	1775
L00107	3	-46,6116378	-23,5511180	2148	0,1397	0,0976	4565	2585	1980
L00108	10	-46,5976041	-23,5519593	6779	0,1475	0,3254	11883	7994	3889
L00109	1	-46,6685837	-23,5678112	2042	0,049	0,0325	3574	2207	1367
L00110	1	-46,6602508	-23,5695486	2517	0,0397	0,0325	4741	2759	1982
L00111	8	-46,6590182	-23,5634584	7550	0,106	0,2603	13488	8273	5215
L00113	1	-46,6642690	-23,5638420	4708	0,0212	0,0325	8733	5175	3558
L00114	1	-46,6627773	-23,5790597	1545	0,0647	0,0325	2374	1668	706
L00115	1	-46,6759394	-23,5867575	1860	0,0538	0,0325	3357	2042	1315
L00116	1	-46,6726051	-23,5816669	2385	0,0419	0,0325	4109	2634	1475
L00117	5	-46,6709040	-23,5923207	3151	0,1587	0,1627	5443	3456	1987
L00118	1	-46,6768341	-23,5885769	2860	0,035	0,0325	5240	3249	1991
L00120	3	-46,6758302	-23,6004582	2006	0,1496	0,0976	3761	2276	1485
L00121	6	-46,6790390	-23,5798975	3855	0,1556	0,1952	7199	4264	2935
L00122	3	-46,6734804	-23,5826449	2473	0,1213	0,0976	4205	2672	1533
L00123	2	-46,6731135	-23,5792999	2804	0,0713	0,0651	4967	3078	1889
L00124	12	-46,6605835	-23,5566944	5697	0,2106	0,3905	10701	6297	4404
L00125	3	-46,6822891	-23,5834680	4924	0,0609	0,0976	9066	5408	3658
L00126	4	-46,6724723	-23,5954720	3916	0,1021	0,1302	6669	4338	2331
L00127	10	-46,6605835	-23,5566944	6318	0,1583	0,3254	11459	6999	4460
