cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00543	1	-46,7810676	-23,6817954	3950	0,0253	0,4329	6766	5016	1750
L00545	1	-46,7766899	-23,6802567	3771	0,0265	0,4329	6802	4728	2074
L00562	2	-46,7764988	-23,6792511	2508	0,0797	0,8658	4349	3228	1121
L05539	1	-46,7155893	-23,6513354	1889	0,0529	0,4329	3179	2190	989
L05542	2	-46,7071520	-23,6499060	3093	0,0647	0,8658	5733	3640	2093
L05692	1	-46,7342495	-23,5279924	4939	0,0202	0,4329	7451	5535	1916
L05805	2	-46,6019251	-23,4930215	3006	0,0665	0,8658	5399	3750	1649
L06054	1	-46,6080780	-23,6028560	3098	0,0323	0,4329	5810	3763	2047
L06660	3	-46,7041000	-23,7108340	1608	0,1866	1,2987	2717	1945	772
L06661	1	-46,7041000	-23,7108340	2709	0,0369	0,4329	4548	3262	1286
L06662	2	-46,6977550	-23,7276870	2621	0,0763	0,8658	4332	3313	1019
L06664	1	-46,7020763	-23,6853645	3332	0,03	0,4329	5602	4031	1571
L06667	3	-46,6985697	-23,7261191	2231	0,1345	1,2987	3856	2781	1075
L06668	93	-46,7079679	-23,7294845	5089	1,8275	40,2597	8445	6409	2036
L06671	2	-46,7092435	-23,7150718	2233	0,0896	0,8658	3875	2681	1194
L06673	1	-46,6853733	-23,7259814	3759	0,0266	0,4329	6283	4756	1527
L06675	2	-46,6881398	-23,7299942	3738	0,0535	0,8658	6186	4796	1390
L06676	1	-46,6947263	-23,7122284	3026	0,033	0,4329	5161	3620	1541
L06677	14	-46,7023442	-23,7336887	3497	0,4003	6,0606	6166	4530	1636
L06678	4	-46,7003248	-23,7336023	2433	0,1644	1,7316	3957	3049	908
L06680	17	-46,7011093	-23,7188128	4508	0,3771	7,3593	7833	5525	2308
L06682	2	-46,7022612	-23,7224803	3236	0,0618	0,8658	5448	4015	1433
L06683	1	-46,6987338	-23,7098273	2586	0,0387	0,4329	4747	3089	1658
L06684	1	-46,6863422	-23,7040675	2925	0,0342	0,4329	5005	3592	1413
L06686	1	-46,7106459	-23,6834675	3696	0,0271	0,4329	6365	4412	1953
L06687	1	-46,6995340	-23,7330324	2757	0,0363	0,4329	4736	3370	1366
L06696	8	-46,7097890	-23,7283561	1131	0,7073	3,4632	1836	1425	411
L07580	1	-46,6579978	-23,6496781	3546	0,0282	0,4329	6231	4318	1913
L07758	1	-46,7701188	-23,6470003	3205	0,0312	0,4329	5536	3955	1581
L08363	1	-46,6578420	-23,6700605	2290	0,0437	0,4329	3858	2871	987
L08374	1	-46,6583497	-23,6731895	2392	0,0418	0,4329	4435	3139	1296
L08377	2	-46,6776829	-23,6644228	3581	0,0559	0,8658	6118	4373	1745
L08847	1	-46,7045504	-23,7542184	5925	0,0169	0,4329	10150	7592	2558
L08851	3	-46,7029441	-23,7482829	3251	0,0923	1,2987	5688	4114	1574
L08852	2	-46,7044580	-23,7593862	2527	0,0791	0,8658	4290	3181	1109
L08853	1	-46,6805020	-23,7527693	3612	0,0277	0,4329	6315	4616	1699
L08858	1	-46,6957840	-23,7538980	1671	0,0598	0,4329	2892	2171	721
L08862	2	-46,6941916	-23,7361482	4568	0,0438	0,8658	8304	5797	2507
L08863	2	-46,6886063	-23,7505995	3166	0,0632	0,8658	5819	4112	1707
L08896	1	-46,7722560	-23,6977360	3286	0,0304	0,4329	5962	4211	1751
L08914	1	-46,7644205	-23,6860017	2545	0,0393	0,4329	4224	3108	1116
L08947	2	-46,7588097	-23,6679219	3084	0,0649	0,8658	5635	3906	1729
L08955	1	-46,7671835	-23,6773241	4100	0,0244	0,4329	7105	5165	1940
L09002	1	-46,7911802	-23,5945477	2463	0,0406	0,4329	4395	2990	1405
L09100	1	-46,6986546	-23,4803642	3036	0,0329	0,4329	5415	3789	1626
L09123	1	-46,6775348	-23,4595275	3138	0,0319	0,4329	5462	4143	1319
L09324	1	-46,6807410	-23,7669661	7735	0,0129	0,4329	13259	9980	3279
L09325	1	-46,7263218	-23,8274592	6787	0,0147	0,4329	12142	8727	3415
L09328	3	-46,7141076	-23,7756410	2776	0,1081	1,2987	4851	3566	1285
L09329	2	-46,7322899	-23,8269933	2869	0,0697	0,8658	5349	3686	1663
L09333	1	-46,6705496	-23,8154269	1155	0,0866	0,4329	1904	1448	456
L09334	3	-46,7177616	-23,7331948	2616	0,1147	1,2987	4208	3249	959
L09346	1	-46,6969438	-23,7768204	4723	0,0212	0,4329	7671	5863	1808
L09355	1	-46,6510073	-23,8781992	2107	0,0475	0,4329	3463	2589	874
L09357	1	-46,6847035	-23,7863114	4077	0,0245	0,4329	6645	5160	1485
L09360	4	-46,7119437	-23,7376852	1979	0,2021	1,7316	3356	2393	963
L09362	1	-46,7145555	-23,7851162	4313	0,0232	0,4329	7001	5315	1686
L09368	2	-46,7095920	-23,7408252	1645	0,1216	0,8658	2849	2040	809
L09369	1	-46,7035380	-23,7651320	3146	0,0318	0,4329	4942	3849	1093
L09371	6	-46,7078313	-23,7380888	1925	0,3117	2,5974	3423	2328	1095
L09700	1	-46,4949911	-23,5049464	2959	0,0338	0,4329	5656	3767	1889
L10188	1	-46,4191310	-23,5953088	1697	0,0589	0,4329	2949	2195	754
L10197	1	-46,3997870	-23,5705358	1901	0,0526	0,4329	3155	2448	707
L10209	1	-46,4412380	-23,5517239	2465	0,0406	0,4329	4185	3101	1084
L10311	1	-46,7438418	-23,6469973	3989	0,0251	0,4329	6890	4938	1952
L10656	2	-46,6614438	-23,6833579	2638	0,0758	0,8658	4634	3302	1332
L10755	1	-46,5095210	-23,5996670	3646	0,0274	0,4329	6483	4687	1796
