cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	1	-46,6455650	-23,5547500	3290	0,0304	0,0567	5696	3792	1904
L00005	1	-46,6603762	-23,5406137	4082	0,0245	0,0567	8248	4503	3745
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,0567	5297	3132	2165
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,0567	5259	3125	2134
L00027	1	-46,6368084	-23,5498480	2635	0,038	0,0567	5430	3072	2358
L00034	1	-46,6605264	-23,5415277	5254	0,019	0,0567	7993	5767	2226
L00046	1	-46,6555734	-23,5283610	2335	0,0428	0,0567	4656	2795	1861
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,0567	5154	3085	2069
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,0567	8045	4955	3090
L00080	1	-46,5869070	-23,5756756	3323	0,0301	0,0567	5823	3854	1969
L00083	1	-46,5997287	-23,5410220	3324	0,0301	0,0567	6501	4011	2490
L00090	1	-46,5652413	-23,5675233	2503	0,04	0,0567	4461	3203	1258
L00100	1	-46,5637915	-23,5715671	2872	0,0348	0,0567	5130	3619	1511
L00102	2	-46,5979424	-23,5532296	4622	0,0433	0,1133	8563	5548	3015
L00108	1	-46,5976041	-23,5519593	6779	0,0148	0,0567	11883	7994	3889
L00133	1	-46,6320497	-23,5811282	2750	0,0364	0,0567	4986	3131	1855
L00137	2	-46,6125927	-23,5728431	3033	0,0659	0,1133	4908	3570	1338
L00141	1	-46,6308086	-23,5650323	5144	0,0194	0,0567	9743	6059	3684
L00143	1	-46,6414511	-23,5858080	2718	0,0368	0,0567	4786	3093	1693
L00147	1	-46,6251868	-23,5770987	3004	0,0333	0,0567	5565	3493	2072
L00527	1	-46,7748328	-23,6788482	330	0,303	0,0567	567	411	156
L00533	1	-46,7766842	-23,6810185	3832	0,0261	0,0567	6561	4847	1714
L00534	3	-46,7872371	-23,6773522	3311	0,0906	0,17	5703	4173	1530
L00543	6	-46,7810676	-23,6817954	3950	0,1519	0,3399	6766	5016	1750
L00552	1	-46,7867141	-23,6791697	1483	0,0674	0,0567	2634	1909	725
L00555	1	-46,7999759	-23,6870539	3475	0,0288	0,0567	6174	4460	1714
L00562	1	-46,7764988	-23,6792511	2508	0,0399	0,0567	4349	3228	1121
L05551	1	-46,7022860	-23,6510126	4767	0,021	0,0567	8841	5514	3327
L05559	2	-46,4198222	-23,5098866	1943	0,1029	0,1133	3330	2529	801
L05569	1	-46,4407439	-23,4944067	1547	0,0646	0,0567	2737	1890	847
L05576	1	-46,4220218	-23,5011268	1232	0,0812	0,0567	1990	1570	420
L05581	3	-46,4522081	-23,5171617	3935	0,0762	0,17	6924	5015	1909
L05583	1	-46,4325849	-23,5321585	3488	0,0287	0,0567	6128	4395	1733
L05590	1	-46,4560761	-23,5496358	3285	0,0304	0,0567	6239	4284	1955
L05592	1	-46,4528483	-23,5265608	3373	0,0296	0,0567	6254	4448	1806
L05597	1	-46,4601240	-23,5260232	3143	0,0318	0,0567	5422	4051	1371
L05598	1	-46,4625526	-23,5168760	2035	0,0491	0,0567	3550	2651	899
L05599	1	-46,4443340	-23,5321000	3793	0,0264	0,0567	6860	4712	2148
L05614	1	-46,6407233	-23,4948591	1725	0,058	0,0567	2839	2166	673
L05621	2	-46,6332236	-23,4899666	5271	0,0379	0,1133	8744	6129	2615
L05626	2	-46,6278934	-23,4963679	2077	0,0963	0,1133	3746	2434	1312
L05657	1	-46,6883851	-23,5246954	2280	0,0439	0,0567	3964	2619	1345
L05718	1	-46,6823120	-23,5625230	2934	0,0341	0,0567	4770	3236	1534
L05729	1	-46,5386362	-23,5224127	3595	0,0278	0,0567	7112	4601	2511
L05731	1	-46,5285678	-23,5250739	3128	0,032	0,0567	5872	3858	2014
L05733	2	-46,5480210	-23,5212900	2116	0,0945	0,1133	4002	2723	1279
L05734	5	-46,5478984	-23,5284411	2172	0,2302	0,2833	4014	2746	1268
L05735	1	-46,4932640	-23,5309670	2238	0,0447	0,0567	4145	2862	1283
L05743	4	-46,5487021	-23,5239078	1983	0,2017	0,2266	3819	2477	1342
L05744	1	-46,5317318	-23,5311949	1071	0,0934	0,0567	1768	1306	462
L05746	1	-46,5505175	-23,5250578	1516	0,066	0,0567	2837	1855	982
L05747	1	-46,5214246	-23,5293125	1229	0,0814	0,0567	2257	1504	753
L05751	2	-46,5757522	-23,5380963	4097	0,0488	0,1133	6495	4845	1650
L05752	1	-46,5494401	-23,5441268	4128	0,0242	0,0567	7403	5019	2384
L05754	2	-46,5702535	-23,5486528	3035	0,0659	0,1133	4571	3526	1045
L05755	2	-46,5179584	-23,5638358	3205	0,0624	0,1133	5295	4046	1249
L05757	1	-46,5403970	-23,5459183	2015	0,0496	0,0567	3549	2496	1053
L05758	3	-46,5162500	-23,5737164	2339	0,1283	0,17	3728	2933	795
L05759	2	-46,5311184	-23,5605521	2832	0,0706	0,1133	5109	3500	1609
L05760	2	-46,4984532	-23,5847269	4733	0,0423	0,1133	8851	6109	2742
L05762	1	-46,5116367	-23,5763889	1262	0,0792	0,0567	2597	1618	979
L05763	1	-46,5178296	-23,5802614	2728	0,0367	0,0567	4620	3507	1113
L05764	1	-46,5738227	-23,5337115	1764	0,0567	0,0567	3163	2131	1032
L05766	1	-46,5138214	-23,5842903	1916	0,0522	0,0567	3190	2507	683
L05767	2	-46,5144520	-23,5672180	1865	0,1072	0,1133	3112	2401	711
L05771	2	-46,5727024	-23,5507422	2617	0,0764	0,1133	4908	3111	1797
L05774	1	-46,5225365	-23,5551065	2202	0,0454	0,0567	4174	2786	1388
L05778	1	-46,5363195	-23,5540735	2588	0,0386	0,0567	4862	3218	1644
L05779	3	-46,5006634	-23,5840738	2450	0,1224	0,17	4426	3133	1293
L05780	1	-46,5072844	-23,5706991	5535	0,0181	0,0567	10333	6962	3371
L05787	1	-46,5170355	-23,5835096	2514	0,0398	0,0567	4277	3252	1025
L05788	1	-46,5170255	-23,5575103	1578	0,0634	0,0567	3137	1967	1170
L05793	1	-46,5257140	-23,5554119	2865	0,0349	0,0567	5360	3578	1782
L05794	1	-46,5433831	-23,5503063	4135	0,0242	0,0567	6973	5037	1936
L05797	2	-46,5602785	-23,5363132	5811	0,0344	0,1133	9848	6857	2991
L05865	1	-46,6698247	-23,4725347	947	0,1056	0,0567	1605	1205	400
L05882	1	-46,6215526	-23,4621730	2370	0,0422	0,0567	3968	2787	1181
L05890	1	-46,6048373	-23,4642332	3719	0,0269	0,0567	6880	4577	2303
L05899	1	-46,6056454	-23,4658408	3170	0,0315	0,0567	5858	3789	2069
L05917	1	-46,5967409	-23,4660680	1177	0,085	0,0567	1931	1452	479
L05926	1	-46,5852470	-23,5802350	4531	0,0221	0,0567	8206	5391	2815
L05928	2	-46,5582100	-23,5739759	2347	0,0852	0,1133	4461	2967	1494
L05929	2	-46,5585843	-23,5972769	3198	0,0625	0,1133	6011	4129	1882
L05930	1	-46,5620004	-23,5788819	2521	0,0397	0,0567	4889	3094	1795
L05931	1	-46,5593803	-23,5886767	2087	0,0479	0,0567	3493	2634	859
L05933	5	-46,5471739	-23,5927268	3403	0,1469	0,2833	6295	4294	2001
