cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	3	-46,6455650	-23,5547500	3290	0,0912	0,5291	5696	3792	1904
L00006	1	-46,6471893	-23,5496488	4359	0,0229	0,1764	8358	5061	3297
L00011	5	-46,6535747	-23,5498948	3808	0,1313	0,8818	7072	4407	2665
L00014	2	-46,6289218	-23,5548030	2700	0,0741	0,3527	5182	3459	1723
L00020	3	-46,6376429	-23,5607300	2293	0,1308	0,5291	5052	2698	2354
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,1764	18525	11583	6942
L00027	1	-46,6368084	-23,5498480	2635	0,038	0,1764	5430	3072	2358
L00039	1	-46,6663954	-23,5361229	5419	0,0185	0,1764	8062	5901	2161
L00040	1	-46,6597606	-23,5452831	1062	0,0942	0,1764	1577	1160	417
L00048	1	-46,6841353	-23,5370181	2501	0,04	0,1764	3771	2812	959
L00050	1	-46,6531096	-23,5391595	3449	0,029	0,1764	6577	4007	2570
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,1764	9323	6035	3288
L00056	1	-46,6508278	-23,5375343	2409	0,0415	0,1764	4853	2751	2102
L00062	2	-46,6375237	-23,5287430	2256	0,0887	0,3527	4421	2765	1656
L00064	1	-46,6278434	-23,5475185	2980	0,0336	0,1764	5641	3584	2057
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,1764	8045	4955	3090
L00077	1	-46,6228821	-23,5238878	3089	0,0324	0,1764	5985	3756	2229
L00108	1	-46,5976041	-23,5519593	6779	0,0148	0,1764	11883	7994	3889
L00111	2	-46,6590182	-23,5634584	7550	0,0265	0,3527	13488	8273	5215
L00118	1	-46,6768341	-23,5885769	2860	0,035	0,1764	5240	3249	1991
L00137	1	-46,6125927	-23,5728431	3033	0,033	0,1764	4908	3570	1338
L00145	1	-46,6350220	-23,5881065	3012	0,0332	0,1764	5263	3410	1853
L00147	1	-46,6251868	-23,5770987	3004	0,0333	0,1764	5565	3493	2072
L00148	2	-46,6273889	-23,5872670	4439	0,0451	0,3527	7836	5122	2714
L00151	1	-46,6209441	-23,5882398	2949	0,0339	0,1764	4478	3358	1120
L00154	1	-46,6235069	-23,5745404	4329	0,0231	0,1764	7193	5134	2059
L00156	1	-46,6397771	-23,5727404	4608	0,0217	0,1764	8784	5242	3542
L00528	1	-46,7937390	-23,6862114	4929	0,0203	0,1764	8528	6298	2230
L00535	1	-46,7885429	-23,6654381	2164	0,0462	0,1764	3718	2707	1011
L00538	1	-46,7850919	-23,7005041	671	0,149	0,1764	1195	850	345
L00539	1	-46,7886237	-23,6861459	4146	0,0241	0,1764	7243	5328	1915
L00543	1	-46,7810676	-23,6817954	3950	0,0253	0,1764	6766	5016	1750
L00545	1	-46,7766899	-23,6802567	3771	0,0265	0,1764	6802	4728	2074
L00547	2	-46,7885429	-23,6654381	4193	0,0477	0,3527	7471	5355	2116
L00554	2	-46,7932547	-23,6670602	2548	0,0785	0,3527	4491	3254	1237
L00558	1	-46,7896575	-23,6835516	593	0,1686	0,1764	1112	791	321
L05534	1	-46,6930410	-23,6638790	5787	0,0173	0,1764	9716	6724	2992
L05536	1	-46,6821350	-23,6631782	5321	0,0188	0,1764	8921	6173	2748
L05545	1	-46,6998999	-23,6559182	2564	0,039	0,1764	3946	2911	1035
L05547	1	-46,7031531	-23,6485078	2502	0,04	0,1764	4597	2896	1701
L05550	1	-46,6945706	-23,6304883	5120	0,0195	0,1764	8978	5840	3138
L05557	1	-46,4452179	-23,4993366	2352	0,0425	0,1764	3986	2897	1089
L05571	1	-46,4218866	-23,5204965	2679	0,0373	0,1764	4440	3324	1116
L05577	1	-46,4390699	-23,4987794	622	0,1608	0,1764	1101	766	335
L05581	1	-46,4522081	-23,5171617	3935	0,0254	0,1764	6924	5015	1909
L05583	1	-46,4325849	-23,5321585	3488	0,0287	0,1764	6128	4395	1733
