cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,8547	5259	3125	2134
L00031	1	-46,6872489	-23,5323018	3785	0,0264	0,8547	5622	4272	1350
L00037	1	-46,6566164	-23,5307137	3471	0,0288	0,8547	6463	3952	2511
L00080	1	-46,5869070	-23,5756756	3323	0,0301	0,8547	5823	3854	1969
L00081	1	-46,5848689	-23,5392025	3560	0,0281	0,8547	5984	4200	1784
L00096	1	-46,5697601	-23,5636527	4049	0,0247	0,8547	7290	5070	2220
L00111	1	-46,6590182	-23,5634584	7550	0,0132	0,8547	13488	8273	5215
L00132	1	-46,6416210	-23,5785510	4598	0,0217	0,8547	7651	5166	2485
L00534	1	-46,7872371	-23,6773522	3311	0,0302	0,8547	5703	4173	1530
L00540	1	-46,7937648	-23,6769801	2766	0,0362	0,8547	4791	3520	1271
L00541	1	-46,7778780	-23,6885051	4697	0,0213	0,8547	8374	5781	2593
L00550	1	-46,7755198	-23,6742186	2704	0,037	0,8547	4775	3448	1327
L05533	2	-46,7012118	-23,6454413	2673	0,0748	1,7094	4610	2961	1649
L05536	1	-46,6821350	-23,6631782	5321	0,0188	0,8547	8921	6173	2748
L05539	1	-46,7155893	-23,6513354	1889	0,0529	0,8547	3179	2190	989
L05551	1	-46,7022860	-23,6510126	4767	0,021	0,8547	8841	5514	3327
L05558	1	-46,4234630	-23,5085168	3758	0,0266	0,8547	6529	4735	1794
L05610	1	-46,4554689	-23,5282555	6146	0,0163	0,8547	10609	7693	2916
L05632	1	-46,6381967	-23,4939821	2961	0,0338	0,8547	5002	3517	1485
L05638	1	-46,6330906	-23,4915684	3666	0,0273	0,8547	6121	4251	1870
L05659	1	-46,7518718	-23,5135808	2141	0,0467	0,8547	4040	2770	1270
L05728	1	-46,5180445	-23,5238771	2335	0,0428	0,8547	4138	2919	1219
L05731	1	-46,5285678	-23,5250739	3128	0,032	0,8547	5872	3858	2014
L05740	1	-46,5095310	-23,5250203	3929	0,0255	0,8547	7326	4889	2437
L05750	1	-46,5686249	-23,5424482	4557	0,0219	0,8547	7587	5295	2292
L05767	1	-46,5144520	-23,5672180	1865	0,0536	0,8547	3112	2401	711
L05793	1	-46,5257140	-23,5554119	2865	0,0349	0,8547	5360	3578	1782
L05797	1	-46,5602785	-23,5363132	5811	0,0172	0,8547	9848	6857	2991
L05818	1	-46,5907052	-23,5016081	2983	0,0335	0,8547	5429	3613	1816
L05912	1	-46,6031271	-23,4684303	2532	0,0395	0,8547	4589	3126	1463
L05943	1	-46,5480300	-23,5998140	3286	0,0304	0,8547	5695	4099	1596
L05969	1	-46,6882980	-23,6116910	2974	0,0336	0,8547	5627	3387	2240
L05975	1	-46,6709636	-23,6171214	2324	0,043	0,8547	3817	2641	1176
L05985	1	-46,6850791	-23,6183057	3742	0,0267	0,8547	6558	4258	2300
L05987	1	-46,6726843	-23,6097127	3510	0,0285	0,8547	5718	3982	1736
L05989	1	-46,6718044	-23,6208493	3539	0,0283	0,8547	6412	4051	2361
L05999	2	-46,6348802	-23,6270565	1652	0,1211	1,7094	2366	1867	499
L06004	2	-46,6210529	-23,6057597	883	0,2265	1,7094	1335	1043	292
L06037	1	-46,6027120	-23,6151290	1762	0,0568	0,8547	3240	2071	1169
L06060	1	-46,5954073	-23,6104073	3797	0,0263	0,8547	6278	4612	1666
L06062	1	-46,5863383	-23,6186398	3309	0,0302	0,8547	5473	4075	1398
L06665	1	-46,6964372	-23,6925377	2324	0,043	0,8547	3819	2859	960
L06672	1	-46,7004276	-23,7112720	3395	0,0295	0,8547	6059	4083	1976
L06680	1	-46,7011093	-23,7188128	4508	0,0222	0,8547	7833	5525	2308
L06686	2	-46,7106459	-23,6834675	3696	0,0541	1,7094	6365	4412	1953
L06687	1	-46,6995340	-23,7330324	2757	0,0363	0,8547	4736	3370	1366
L06690	1	-46,7105503	-23,6682255	1240	0,0806	0,8547	2248	1483	765
L07584	1	-46,6320328	-23,6429320	2322	0,0431	0,8547	3693	2812	881
L07591	1	-46,6361421	-23,6802843	2687	0,0372	0,8547	4849	3510	1339
L07595	1	-46,6355606	-23,6678098	4296	0,0233	0,8547	7638	5546	2092
L07600	1	-46,6356262	-23,6788985	1377	0,0726	0,8547	2329	1795	534
L07677	1	-46,7174065	-23,4896350	2905	0,0344	0,8547	5357	3563	1794
L07678	1	-46,7265335	-23,4891389	1972	0,0507	0,8547	3537	2347	1190
L07701	1	-46,4889435	-23,4985564	3277	0,0305	0,8547	5967	4095	1872
L07731	1	-46,6997557	-23,4958002	3556	0,0281	0,8547	6178	4337	1841
L07754	1	-46,7510131	-23,6228353	4006	0,025	0,8547	7103	5278	1825
L07757	1	-46,7705606	-23,6467603	3321	0,0301	0,8547	5877	4308	1569
L07758	1	-46,7701188	-23,6470003	3205	0,0312	0,8547	5536	3955	1581
L07766	1	-46,7870213	-23,6430817	3412	0,0293	0,8547	6214	4373	1841
L07772	1	-46,7607719	-23,6385695	2910	0,0344	0,8547	5170	3706	1464
L08194	1	-46,7194106	-23,5935367	4012	0,0249	0,8547	6747	4420	2327
L08219	1	-46,6985844	-23,5862008	2637	0,0379	0,8547	4368	2905	1463
L08242	1	-46,5020045	-23,5414163	2155	0,0464	0,8547	4183	2801	1382
L08244	1	-46,4849359	-23,5443559	2408	0,0415	0,8547	4352	3219	1133
L08262	1	-46,5005028	-23,5350092	2427	0,0412	0,8547	4145	3117	1028
L08285	1	-46,5421019	-23,5584414	1912	0,0523	0,8547	3129	2348	781
L08359	1	-46,6440225	-23,6904889	4358	0,0229	0,8547	8287	5678	2609
L08383	1	-46,3769440	-23,4873573	2331	0,0429	0,8547	4327	3221	1106
L08428	1	-46,3882687	-23,5454378	2086	0,0479	0,8547	3720	2817	903
L08436	1	-46,4107031	-23,5355506	3955	0,0253	0,8547	7305	5186	2119
L08458	1	-46,4104297	-23,5438072	1432	0,0698	0,8547	2582	1817	765
L08885	1	-46,7826347	-23,7426504	5319	0,0188	0,8547	9184	6673	2511
L08887	1	-46,7821867	-23,7409511	5907	0,0169	0,8547	10173	7415	2758
L08892	1	-46,7732050	-23,6978420	1070	0,0935	0,8547	1790	1342	448
L08894	2	-46,7822515	-23,7187870	4175	0,0479	1,7094	7569	5347	2222
L08910	1	-46,7644449	-23,7005122	3583	0,0279	0,8547	6421	4721	1700
L08924	1	-46,7528366	-23,6745244	3179	0,0315	0,8547	5308	3981	1327
L08956	1	-46,7685672	-23,6718762	1603	0,0624	0,8547	2820	2048	772
L08983	1	-46,7950827	-23,6026719	3496	0,0286	0,8547	6021	4411	1610
L08990	1	-46,7660251	-23,5891918	3308	0,0302	0,8547	5815	4319	1496
L08991	1	-46,7687542	-23,5959462	2154	0,0464	0,8547	3725	2823	902
L09073	1	-46,4623540	-23,6265038	2947	0,0339	0,8547	5192	3866	1326
L09096	1	-46,6919830	-23,4800350	2740	0,0365	0,8547	4783	3354	1429
L09125	1	-46,6906963	-23,4692644	2790	0,0358	0,8547	5131	3574	1557
L09334	1	-46,7177616	-23,7331948	2616	0,0382	0,8547	4208	3249	959
L09648	1	-46,7176648	-23,4359306	3664	0,0273	0,8547	6857	4617	2240
L09673	1	-46,7384315	-23,4028665	2893	0,0346	0,8547	5072	3732	1340
L09709	1	-46,5011218	-23,4970068	2480	0,0403	0,8547	4098	3151	947
L09716	1	-46,5307769	-23,5112782	2975	0,0336	0,8547	5262	3745	1517
L09763	1	-46,4896747	-23,5160828	2228	0,0449	0,8547	3691	2807	884
L09764	2	-46,4678340	-23,5355610	3575	0,0559	1,7094	6685	4497	2188
L09766	1	-46,4880409	-23,5223342	3475	0,0288	0,8547	6125	4652	1473
L09926	1	-46,4100903	-23,4872826	3946	0,0253	0,8547	6777	5183	1594
L09935	2	-46,4135985	-23,4998743	4252	0,047	1,7094	7458	5385	2073
L09944	1	-46,4089885	-23,5099210	2792	0,0358	0,8547	4837	3753	1084
L09950	2	-46,4230488	-23,4832865	2543	0,0786	1,7094	4173	3288	885
L10190	1	-46,4063933	-23,5926393	3470	0,0288	0,8547	6064	4335	1729
L10208	1	-46,4337487	-23,5491681	3521	0,0284	0,8547	6483	4451	2032
L10319	1	-46,7322309	-23,6212240	7028	0,0142	0,8547	12398	8767	3631
L10342	1	-46,7280051	-23,6215451	3199	0,0313	0,8547	5761	3985	1776
L10646	1	-46,6646874	-23,6848562	3387	0,0295	0,8547	6111	4324	1787
L10648	1	-46,6336174	-23,7033308	3476	0,0288	0,8547	6288	4717	1571
L10658	3	-46,6345242	-23,7148535	1675	0,1791	2,5641	3216	2354	862
L10663	1	-46,6656946	-23,6912971	3280	0,0305	0,8547	5926	4159	1767
L10750	1	-46,4877685	-23,6127096	3376	0,0296	0,8547	5906	4461	1445
L10773	1	-46,6378689	-23,4793297	3726	0,0268	0,8547	5957	4473	1484
L10798	1	-46,6350691	-23,4720027	1005	0,0995	0,8547	1587	1213	374
