cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	1	-46,6455650	-23,5547500	3290	0,0304	3,0303	5696	3792	1904
L00004	2	-46,6511260	-23,5652103	5298	0,0378	6,0606	9838	5921	3917
L00006	1	-46,6471893	-23,5496488	4359	0,0229	3,0303	8358	5061	3297
L00016	1	-46,6361305	-23,5497845	2669	0,0375	3,0303	5297	3132	2165
L00099	1	-46,5683158	-23,5701115	2161	0,0463	3,0303	3989	2770	1219
L05538	1	-46,6809074	-23,6663068	3075	0,0325	3,0303	5073	3651	1422
L05845	2	-46,6748489	-23,4996347	2821	0,0709	6,0606	4345	3361	984
L05847	1	-46,6551176	-23,4983123	3654	0,0274	3,0303	6457	4489	1968
L05852	3	-46,6754529	-23,4902989	2604	0,1152	9,0909	4917	3236	1681
L05859	3	-46,6755514	-23,4980697	2950	0,1017	9,0909	5525	3700	1825
L05862	2	-46,6805862	-23,5028507	5531	0,0362	6,0606	9763	6800	2963
L05864	3	-46,6729030	-23,5109220	2299	0,1305	9,0909	4247	2858	1389
L07583	2	-46,6477955	-23,6558420	3661	0,0546	6,0606	6289	4390	1899
L08297	1	-46,5922270	-23,4778802	3114	0,0321	3,0303	5691	3862	1829
L08324	1	-46,5186723	-23,5960943	684	0,1462	3,0303	1181	881	300
L08329	1	-46,5324351	-23,6017298	2549	0,0392	3,0303	4651	3215	1436
L08908	1	-46,7789630	-23,7147600	3404	0,0294	3,0303	5872	4422	1450
L08932	1	-46,7488560	-23,6665560	1906	0,0525	3,0303	3162	2420	742
L08941	1	-46,7584936	-23,6672249	1847	0,0541	3,0303	3218	2371	847
L09069	1	-46,4670370	-23,6008861	3027	0,033	3,0303	5073	3872	1201
L09325	1	-46,7263218	-23,8274592	6787	0,0147	3,0303	12142	8727	3415
L09672	1	-46,8003760	-23,4445050	1855	0,0539	3,0303	3073	2396	677
L10649	1	-46,6574272	-23,6831739	3484	0,0287	3,0303	6377	4622	1755
