cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00113	1	-46,6642690	-23,5638420	4708	0,0212	0,7576	8733	5175	3558
L00541	1	-46,7778780	-23,6885051	4697	0,0213	0,7576	8374	5781	2593
L00553	1	-46,7839538	-23,6721527	1679	0,0596	0,7576	2758	2071	687
L05534	1	-46,6930410	-23,6638790	5787	0,0173	0,7576	9716	6724	2992
L05542	2	-46,7071520	-23,6499060	3093	0,0647	1,5152	5733	3640	2093
L05703	1	-46,6962316	-23,5650597	1732	0,0577	0,7576	3356	1964	1392
L05988	1	-46,6679674	-23,6420583	3208	0,0312	0,7576	5082	3709	1373
L06663	1	-46,7157832	-23,6718387	1948	0,0513	0,7576	3430	2333	1097
L06677	1	-46,7023442	-23,7336887	3497	0,0286	0,7576	6166	4530	1636
L06678	1	-46,7003248	-23,7336023	2433	0,0411	0,7576	3957	3049	908
L07750	2	-46,7708337	-23,6299871	13605	0,0147	1,5152	25821	17652	8169
L07768	1	-46,7739779	-23,6330684	2361	0,0424	0,7576	4577	2954	1623
L08185	1	-46,7191286	-23,6260213	1988	0,0503	0,7576	3164	2315	849
L08186	1	-46,7043257	-23,6097843	2189	0,0457	0,7576	3576	2546	1030
L08195	1	-46,7277361	-23,6045363	3437	0,0291	0,7576	5923	4007	1916
L08209	1	-46,7308370	-23,5944510	2715	0,0368	0,7576	4573	3264	1309
L08418	1	-46,3817906	-23,5034832	3675	0,0272	0,7576	6492	4833	1659
L08856	1	-46,6732124	-23,7614879	1860	0,0538	0,7576	3183	2357	826
L08859	1	-46,6816347	-23,7551323	1701	0,0588	0,7576	2903	2139	764
L08864	5	-46,6731203	-23,7622871	4632	0,1079	3,7879	7907	6053	1854
L08873	1	-46,6837456	-23,7546935	3538	0,0283	0,7576	6358	4435	1923
L08875	1	-46,6915742	-23,7450075	3614	0,0277	0,7576	6510	4487	2023
L08879	3	-46,6771720	-23,7532160	2969	0,101	2,2727	5144	3881	1263
L08885	1	-46,7826347	-23,7426504	5319	0,0188	0,7576	9184	6673	2511
L08896	1	-46,7722560	-23,6977360	3286	0,0304	0,7576	5962	4211	1751
L08899	1	-46,7296989	-23,6686244	4808	0,0208	0,7576	7532	5810	1722
L08903	1	-46,7549903	-23,6797057	2449	0,0408	0,7576	4419	3166	1253
L08924	1	-46,7528366	-23,6745244	3179	0,0315	0,7576	5308	3981	1327
L08938	1	-46,7563790	-23,6782580	1306	0,0766	0,7576	2186	1665	521
L08940	1	-46,7643695	-23,6705361	2617	0,0382	0,7576	4716	3439	1277
L08946	4	-46,7599809	-23,6583845	3828	0,1045	3,0303	6414	4828	1586
L08949	1	-46,7514131	-23,6635812	2498	0,04	0,7576	4346	3049	1297
L08952	1	-46,7676270	-23,6679840	4298	0,0233	0,7576	7695	5421	2274
L08954	1	-46,7664599	-23,6622186	3884	0,0257	0,7576	7168	4912	2256
L08957	1	-46,7797422	-23,6633017	2939	0,034	0,7576	5299	3860	1439
L08962	1	-46,7552312	-23,6597385	2495	0,0401	0,7576	4466	3243	1223
L08963	1	-46,7734927	-23,6740405	2049	0,0488	0,7576	3996	2559	1437
L08964	1	-46,7859043	-23,6612756	2404	0,0416	0,7576	4384	2994	1390
L10311	1	-46,7438418	-23,6469973	3989	0,0251	0,7576	6890	4938	1952
L10312	1	-46,7277244	-23,6232924	2826	0,0354	0,7576	5507	3651	1856
L10313	2	-46,7409855	-23,6288859	4572	0,0437	1,5152	7434	5319	2115
L10314	4	-46,7374229	-23,6602461	3948	0,1013	3,0303	6700	4839	1861
L10315	5	-46,7329180	-23,6456264	3655	0,1368	3,7879	6542	4487	2055
L10318	4	-46,7348644	-23,6510220	1977	0,2023	3,0303	3469	2405	1064
L10319	5	-46,7322309	-23,6212240	7028	0,0711	3,7879	12398	8767	3631
L10321	4	-46,7373128	-23,6532119	4481	0,0893	3,0303	7802	5537	2265
L10322	1	-46,7415537	-23,6615674	1588	0,063	0,7576	2564	2023	541
L10324	3	-46,7404239	-23,6491380	3708	0,0809	2,2727	6560	4602	1958
L10325	3	-46,7462436	-23,6209695	4031	0,0744	2,2727	7403	4961	2442
L10326	1	-46,7816360	-23,7154750	1072	0,0933	0,7576	1844	1339	505
L10328	2	-46,7421998	-23,6581125	3665	0,0546	1,5152	6040	4563	1477
L10330	3	-46,7277244	-23,6232924	3496	0,0858	2,2727	6463	4523	1940
L10334	27	-46,7309023	-23,6590081	3965	0,681	20,4545	6583	4851	1732
L10335	4	-46,7470038	-23,6574330	4546	0,088	3,0303	7984	5664	2320
L10336	6	-46,7442610	-23,6566420	3010	0,1993	4,5455	5133	3848	1285
L10342	2	-46,7280051	-23,6215451	3199	0,0625	1,5152	5761	3985	1776
L10635	1	-46,6440127	-23,7047708	4681	0,0214	0,7576	8880	6015	2865
L10641	1	-46,6436362	-23,7008286	3775	0,0265	0,7576	6742	4811	1931
L10642	1	-46,6355906	-23,7135071	1785	0,056	0,7576	3599	2383	1216
L10666	1	-46,6654170	-23,6770470	2516	0,0397	0,7576	4411	3162	1249
L10670	1	-46,6532948	-23,6930429	4054	0,0247	0,7576	7018	5197	1821
