cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00006	8	-46,6471893	-23,5496488	4359	0,1835	1,0825	8358	5061	3297
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,1353	7072	4407	2665
L00013	1	-46,6421456	-23,5572933	2899	0,0345	0,1353	5416	3426	1990
L00014	2	-46,6289218	-23,5548030	2700	0,0741	0,2706	5182	3459	1723
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,1353	5297	3132	2165
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,1353	7001	3906	3095
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,1353	18525	11583	6942
L00025	1	-46,6380154	-23,5642161	2151	0,0465	0,1353	3803	2547	1256
L00027	1	-46,6368084	-23,5498480	2635	0,038	0,1353	5430	3072	2358
L00040	2	-46,6597606	-23,5452831	1062	0,1883	0,2706	1577	1160	417
L00048	1	-46,6841353	-23,5370181	2501	0,04	0,1353	3771	2812	959
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,1353	8065	5186	2879
L00053	1	-46,6630845	-23,5450242	5945	0,0168	0,1353	9970	6457	3513
L00061	1	-46,6666956	-23,5298372	3408	0,0293	0,1353	6305	3946	2359
L00066	1	-46,6126881	-23,5372312	2446	0,0409	0,1353	4500	2909	1591
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,1353	5785	3615	2170
L00078	1	-46,6212238	-23,5429654	2774	0,036	0,1353	5496	3398	2098
L00089	1	-46,5902871	-23,5470008	2261	0,0442	0,1353	4286	2820	1466
L00091	1	-46,5964833	-23,5637925	3169	0,0316	0,1353	6188	3786	2402
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,1353	4205	2672	1533
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,1353	11459	6999	4460
L00144	1	-46,6356180	-23,5786976	2260	0,0442	0,1353	3961	2589	1372
L00145	3	-46,6350220	-23,5881065	3012	0,0996	0,406	5263	3410	1853
L00146	4	-46,6223857	-23,5681693	2480	0,1613	0,5413	4585	2913	1672
L00147	1	-46,6251868	-23,5770987	3004	0,0333	0,1353	5565	3493	2072
L00150	1	-46,6299014	-23,5758099	4050	0,0247	0,1353	6863	4657	2206
L00154	1	-46,6235069	-23,5745404	4329	0,0231	0,1353	7193	5134	2059
L00528	1	-46,7937390	-23,6862114	4929	0,0203	0,1353	8528	6298	2230
L00533	1	-46,7766842	-23,6810185	3832	0,0261	0,1353	6561	4847	1714
L00537	2	-46,7846410	-23,6975287	3599	0,0556	0,2706	6096	4448	1648
L00543	1	-46,7810676	-23,6817954	3950	0,0253	0,1353	6766	5016	1750
L00545	1	-46,7766899	-23,6802567	3771	0,0265	0,1353	6802	4728	2074
L00546	1	-46,7853039	-23,6768377	3484	0,0287	0,1353	6085	4510	1575
L00547	1	-46,7885429	-23,6654381	4193	0,0238	0,1353	7471	5355	2116
L00548	1	-46,7917773	-23,6867573	324	0,3086	0,1353	563	420	143
L00550	2	-46,7755198	-23,6742186	2704	0,074	0,2706	4775	3448	1327
L00554	1	-46,7932547	-23,6670602	2548	0,0392	0,1353	4491	3254	1237
L00561	2	-46,7797991	-23,6713610	3438	0,0582	0,2706	6027	4213	1814
L00562	2	-46,7764988	-23,6792511	2508	0,0797	0,2706	4349	3228	1121
L05534	3	-46,6930410	-23,6638790	5787	0,0518	0,406	9716	6724	2992
L05542	1	-46,7071520	-23,6499060	3093	0,0323	0,1353	5733	3640	2093
L05563	2	-46,4331534	-23,4945484	2753	0,0726	0,2706	4924	3393	1531
L05568	1	-46,4300003	-23,4998815	2971	0,0337	0,1353	5227	3654	1573
L05580	1	-46,4367093	-23,5286893	3428	0,0292	0,1353	6257	4314	1943
L05601	1	-46,4359061	-23,5226454	2327	0,043	0,1353	4159	3108	1051
L05615	1	-46,6333996	-23,5019647	1282	0,078	0,1353	2094	1527	567
L05625	1	-46,6261164	-23,4898514	2978	0,0336	0,1353	5488	3556	1932
L05632	1	-46,6381967	-23,4939821	2961	0,0338	0,1353	5002	3517	1485
L05634	1	-46,6264580	-23,4818440	1908	0,0524	0,1353	3707	2335	1372
L05636	1	-46,6317593	-23,5028361	836	0,1196	0,1353	1410	975	435
L05637	1	-46,6267268	-23,5135649	1530	0,0654	0,1353	2947	1815	1132
L05651	1	-46,7004969	-23,5385244	1604	0,0623	0,1353	2858	1850	1008
L05655	1	-46,7387000	-23,5030740	1453	0,0688	0,1353	2267	1763	504
L05656	1	-46,7433720	-23,4969505	2765	0,0362	0,1353	4919	3437	1482
L05661	1	-46,7443554	-23,5048937	2325	0,043	0,1353	4192	2863	1329
L05662	1	-46,7545011	-23,5097174	1694	0,059	0,1353	3337	2259	1078
L05669	1	-46,7164216	-23,5283737	1777	0,0563	0,1353	3016	2011	1005
L05671	2	-46,7382418	-23,4999018	2364	0,0846	0,2706	4244	2840	1404
L05672	1	-46,7311891	-23,5069529	1946	0,0514	0,1353	3336	2311	1025
L05681	1	-46,6949470	-23,5283220	1938	0,0516	0,1353	3100	2183	917
L05688	1	-46,7278581	-23,5209253	3285	0,0304	0,1353	5542	3799	1743
L05731	1	-46,5285678	-23,5250739	3128	0,032	0,1353	5872	3858	2014
L05737	1	-46,4989941	-23,5275262	2079	0,0481	0,1353	3862	2632	1230
L05752	2	-46,5494401	-23,5441268	4128	0,0484	0,2706	7403	5019	2384
L05753	1	-46,5571310	-23,5490160	3586	0,0279	0,1353	6008	4212	1796
L05762	1	-46,5116367	-23,5763889	1262	0,0792	0,1353	2597	1618	979
L05763	1	-46,5178296	-23,5802614	2728	0,0367	0,1353	4620	3507	1113
L05810	1	-46,5928674	-23,5005803	3037	0,0329	0,1353	5514	3674	1840
L05849	1	-46,6657859	-23,4885740	3928	0,0255	0,1353	7229	4920	2309
L05862	1	-46,6805862	-23,5028507	5531	0,0181	0,1353	9763	6800	2963
L05864	1	-46,6729030	-23,5109220	2299	0,0435	0,1353	4247	2858	1389
L05866	1	-46,6545707	-23,4916062	2697	0,0371	0,1353	4880	3285	1595
L05875	1	-46,6702128	-23,4900049	1711	0,0584	0,1353	3184	2157	1027
L05887	1	-46,6220405	-23,4613396	2348	0,0426	0,1353	4444	2795	1649
L05902	1	-46,5890824	-23,4546164	3266	0,0306	0,1353	5800	4185	1615
L05905	2	-46,5872324	-23,4196031	2830	0,0707	0,2706	5422	3879	1543
L05906	1	-46,6048700	-23,4811680	2460	0,0407	0,1353	4808	3065	1743
L05943	1	-46,5480300	-23,5998140	3286	0,0304	0,1353	5695	4099	1596
L05970	1	-46,6673187	-23,6261976	2521	0,0397	0,1353	4330	2895	1435
L05976	1	-46,6786792	-23,6169250	3059	0,0327	0,1353	4637	3422	1215
L05978	2	-46,6439417	-23,6284438	2379	0,0841	0,2706	4586	2796	1790
L05982	1	-46,6821455	-23,6155051	5201	0,0192	0,1353	8875	5878	2997
L05990	1	-46,6927807	-23,6165017	1477	0,0677	0,1353	2368	1722	646
L05991	1	-46,6608489	-23,6330376	3246	0,0308	0,1353	5977	3853	2124
L05994	1	-46,6880132	-23,6223740	4177	0,0239	0,1353	7394	4699	2695
L06011	1	-46,6255542	-23,6092089	2648	0,0378	0,1353	4891	3146	1745
L06035	1	-46,6093832	-23,5888257	2646	0,0378	0,1353	4381	3053	1328
L06043	11	-46,5939912	-23,6283792	2004	0,5489	1,4885	3754	2526	1228
L06044	1	-46,6163598	-23,5850714	1098	0,0911	0,1353	2123	1307	816
L06045	1	-46,5907336	-23,5984174	3727	0,0268	0,1353	6818	4710	2108
L06047	3	-46,5866191	-23,6277500	3027	0,0991	0,406	5754	3872	1882
L06048	1	-46,5945812	-23,6240333	3452	0,029	0,1353	6548	4452	2096
L06050	1	-46,5889064	-23,6343276	2672	0,0374	0,1353	4589	3469	1120
L06051	3	-46,6031399	-23,6063806	3228	0,0929	0,406	5899	4148	1751
L06052	1	-46,6023320	-23,6013361	2212	0,0452	0,1353	4121	2738	1383
L06054	1	-46,6080780	-23,6028560	3098	0,0323	0,1353	5810	3763	2047
L06059	2	-46,5975968	-23,6097769	2880	0,0694	0,2706	4845	3529	1316
L06060	2	-46,5954073	-23,6104073	3797	0,0527	0,2706	6278	4612	1666
L06061	1	-46,5809811	-23,6100573	2017	0,0496	0,1353	3626	2610	1016
L06062	1	-46,5863383	-23,6186398	3309	0,0302	0,1353	5473	4075	1398
L06066	1	-46,6092332	-23,5917910	608	0,1645	0,1353	1013	723	290
L06663	3	-46,7157832	-23,6718387	1948	0,154	0,406	3430	2333	1097
L06666	4	-46,7147308	-23,6702428	2788	0,1435	0,5413	5109	3374	1735
