cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,1086	9838	5921	3917
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,1086	18525	11583	6942
L00023	1	-46,6498912	-23,5493645	2834	0,0353	0,1086	4909	3201	1708
L00030	2	-46,6716846	-23,5278546	4168	0,048	0,2172	8123	4653	3470
L00035	2	-46,6800459	-23,5481021	3932	0,0509	0,2172	6405	4313	2092
L00051	1	-46,6946005	-23,5421890	3052	0,0328	0,1086	5602	3572	2030
L00062	1	-46,6375237	-23,5287430	2256	0,0443	0,1086	4421	2765	1656
L00064	1	-46,6278434	-23,5475185	2980	0,0336	0,1086	5641	3584	2057
L00533	1	-46,7766842	-23,6810185	3832	0,0261	0,1086	6561	4847	1714
L00549	1	-46,7905836	-23,6983913	3552	0,0282	0,1086	6142	4535	1607
L05546	1	-46,6816306	-23,6713892	1359	0,0736	0,1086	2062	1643	419
L05556	2	-46,4403512	-23,4942325	2553	0,0783	0,2172	4433	3067	1366
L05608	1	-46,4565300	-23,5399000	1319	0,0758	0,1086	2270	1658	612
L05624	1	-46,6161131	-23,5004170	2563	0,039	0,1086	4896	3055	1841
L05625	1	-46,6261164	-23,4898514	2978	0,0336	0,1086	5488	3556	1932
L05635	1	-46,6142540	-23,4901233	2048	0,0488	0,1086	3470	2399	1071
L05637	1	-46,6267268	-23,5135649	1530	0,0654	0,1086	2947	1815	1132
L05677	1	-46,7468784	-23,5137529	2151	0,0465	0,1086	3753	2602	1151
L05722	1	-46,5000225	-23,5253888	2828	0,0354	0,1086	4665	3627	1038
L05742	1	-46,5211173	-23,5214041	2853	0,0351	0,1086	5266	3603	1663
L05776	1	-46,5726461	-23,5512878	2634	0,038	0,1086	4333	3190	1143
L05779	2	-46,5006634	-23,5840738	2450	0,0816	0,2172	4426	3133	1293
L05797	1	-46,5602785	-23,5363132	5811	0,0172	0,1086	9848	6857	2991
L05803	1	-46,6028988	-23,4934538	1298	0,077	0,1086	2472	1632	840
L05806	2	-46,5685781	-23,5119963	4184	0,0478	0,2172	7823	5387	2436
L05848	1	-46,6506305	-23,5026837	3720	0,0269	0,1086	6771	4492	2279
L05854	1	-46,6559225	-23,4706050	3589	0,0279	0,1086	6533	4491	2042
L05863	1	-46,6642085	-23,4767719	3809	0,0263	0,1086	7192	4768	2424
L05876	3	-46,6599580	-23,5051240	2430	0,1235	0,3257	4034	2954	1080
L05880	1	-46,6130080	-23,4747157	994	0,1006	0,1086	2024	1156	868
L05883	1	-46,6071629	-23,4804948	2403	0,0416	0,1086	4353	2845	1508
L05884	1	-46,6024410	-23,4546385	2320	0,0431	0,1086	3954	2867	1087
L05885	4	-46,6064554	-23,4772146	3669	0,109	0,4343	6325	4434	1891
L05886	17	-46,5974438	-23,4545847	4312	0,3942	1,8458	8140	5407	2733
L05887	3	-46,6220405	-23,4613396	2348	0,1278	0,3257	4444	2795	1649
L05888	2	-46,5855959	-23,4389881	3768	0,0531	0,2172	6719	4916	1803
L05889	1	-46,6306396	-23,4568482	2624	0,0381	0,1086	4737	3252	1485
L05890	6	-46,6048373	-23,4642332	3719	0,1613	0,6515	6880	4577	2303
L05894	1	-46,6064995	-23,4765109	1719	0,0582	0,1086	2945	2156	789
L05895	4	-46,5968505	-23,4651601	3059	0,1308	0,4343	5869	3863	2006
L05896	2	-46,6110245	-23,4484688	2156	0,0928	0,2172	3544	2609	935
L05897	9	-46,5851276	-23,4502408	3003	0,2997	0,9772	5429	3962	1467
L05898	3	-46,6085609	-23,4656759	1854	0,1618	0,3257	3105	2277	828
L05899	5	-46,6056454	-23,4658408	3170	0,1577	0,5429	5858	3789	2069
L05900	1	-46,5803132	-23,4357702	2733	0,0366	0,1086	5108	3666	1442
L05901	2	-46,6114391	-23,4769661	1848	0,1082	0,2172	3409	2201	1208
L05902	7	-46,5890824	-23,4546164	3266	0,2143	0,76	5800	4185	1615
L05903	8	-46,5972378	-23,4563706	2628	0,3044	0,8686	4890	3280	1610
L05905	1	-46,5872324	-23,4196031	2830	0,0353	0,1086	5422	3879	1543
L05906	1	-46,6048700	-23,4811680	2460	0,0407	0,1086	4808	3065	1743
L05907	4	-46,5829070	-23,4282440	1990	0,201	0,4343	3589	2685	904
L05908	1	-46,5774727	-23,4379629	2559	0,0391	0,1086	4721	3325	1396
L05911	9	-46,5953507	-23,4480324	2669	0,3372	0,9772	4700	3478	1222
L05912	3	-46,6031271	-23,4684303	2532	0,1185	0,3257	4589	3126	1463
L05913	1	-46,6248203	-23,4576182	3097	0,0323	0,1086	5869	3776	2093
L05914	1	-46,6046269	-23,4577565	2417	0,0414	0,1086	4627	3016	1611
L05917	1	-46,5967409	-23,4660680	1177	0,085	0,1086	1931	1452	479
L05918	2	-46,6002385	-23,4553201	665	0,3008	0,2172	1114	830	284
L05999	2	-46,6348802	-23,6270565	1652	0,1211	0,2172	2366	1867	499
L06017	2	-46,6348198	-23,6125399	2346	0,0853	0,2172	4142	2720	1422
L06025	2	-46,6389693	-23,6190507	3888	0,0514	0,2172	6569	4406	2163
L06036	1	-46,6027202	-23,6187027	1079	0,0927	0,1086	2228	1350	878
L06048	1	-46,5945812	-23,6240333	3452	0,029	0,1086	6548	4452	2096
L06049	2	-46,5971870	-23,6124820	2991	0,0669	0,2172	5347	3706	1641
L06062	1	-46,5863383	-23,6186398	3309	0,0302	0,1086	5473	4075	1398
L06663	1	-46,7157832	-23,6718387	1948	0,0513	0,1086	3430	2333	1097
L06666	1	-46,7147308	-23,6702428	2788	0,0359	0,1086	5109	3374	1735
