cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00035	1	-46,6800459	-23,5481021	3932	0,0254	1,0309	6405	4313	2092
L00127	1	-46,6605835	-23,5566944	6318	0,0158	1,0309	11459	6999	4460
L05568	1	-46,4300003	-23,4998815	2971	0,0337	1,0309	5227	3654	1573
L05617	1	-46,6180480	-23,4923992	3331	0,03	1,0309	5427	3880	1547
L05618	1	-46,6270210	-23,5057810	1824	0,0548	1,0309	3578	2176	1402
L05623	1	-46,6405537	-23,5023028	2520	0,0397	1,0309	4590	2978	1612
L05777	1	-46,5636721	-23,5353692	1934	0,0517	1,0309	3252	2352	900
L05798	2	-46,5834851	-23,5000601	913	0,2191	2,0619	1615	1122	493
L05799	2	-46,5663124	-23,5122984	376	0,5319	2,0619	648	464	184
L05801	3	-46,5968739	-23,5084251	2820	0,1064	3,0928	5313	3529	1784
L05802	2	-46,6013419	-23,5076564	3312	0,0604	2,0619	6027	4063	1964
L05806	15	-46,5685781	-23,5119963	4184	0,3585	15,4639	7823	5387	2436
L05807	1	-46,5779360	-23,5053673	3549	0,0282	1,0309	6465	4410	2055
L05810	2	-46,5928674	-23,5005803	3037	0,0659	2,0619	5514	3674	1840
L05812	3	-46,5733059	-23,5126116	2290	0,131	3,0928	4034	2934	1100
L05818	4	-46,5907052	-23,5016081	2983	0,1341	4,1237	5429	3613	1816
L05819	2	-46,5825547	-23,5256742	2853	0,0701	2,0619	5154	3537	1617
L05820	15	-46,5663467	-23,5211065	3363	0,446	15,4639	6296	4358	1938
L05822	2	-46,5755961	-23,5193541	2191	0,0913	2,0619	3907	2794	1113
L05829	1	-46,5663292	-23,5217030	842	0,1188	1,0309	1438	1097	341
L05830	1	-46,5830638	-23,5000382	567	0,1764	1,0309	1125	688	437
L05838	2	-46,5930563	-23,5195686	3761	0,0532	2,0619	6624	4656	1968
L05843	1	-46,6732228	-23,5017435	1901	0,0526	1,0309	3104	2323	781
L05885	2	-46,6064554	-23,4772146	3669	0,0545	2,0619	6325	4434	1891
L06014	1	-46,6273692	-23,6096467	1882	0,0531	1,0309	3682	2300	1382
L07602	1	-46,6408553	-23,6554336	1438	0,0695	1,0309	2522	1827	695
L07676	1	-46,7132969	-23,4942851	2690	0,0372	1,0309	5011	3334	1677
L07758	1	-46,7701188	-23,6470003	3205	0,0312	1,0309	5536	3955	1581
L08314	1	-46,6000523	-23,4896398	3153	0,0317	1,0309	5703	3872	1831
L08343	1	-46,5377963	-23,5816242	3112	0,0321	1,0309	5858	3912	1946
L08376	1	-46,6420429	-23,6817416	680	0,1471	1,0309	1222	863	359
L08436	1	-46,4107031	-23,5355506	3955	0,0253	1,0309	7305	5186	2119
L08445	1	-46,4037610	-23,5596980	3457	0,0289	1,0309	2665	1848	817
L08860	1	-46,6895040	-23,7350676	2726	0,0367	1,0309	4411	3424	987
L09100	1	-46,6986546	-23,4803642	3036	0,0329	1,0309	5415	3789	1626
L09126	1	-46,6908864	-23,4686604	3640	0,0275	1,0309	6924	4603	2321
L09130	1	-46,6766890	-23,4765394	2390	0,0418	1,0309	4244	3085	1159
L09367	1	-46,7096936	-23,7717519	1892	0,0529	1,0309	3177	2421	756
L09647	1	-46,7170362	-23,4446937	2209	0,0453	1,0309	3864	2823	1041
L09698	3	-46,5211510	-23,5024680	3117	0,0962	3,0928	5306	4002	1304
L09708	3	-46,5011972	-23,4910374	3598	0,0834	3,0928	5673	4513	1160
L09765	2	-46,4693922	-23,5224683	3655	0,0547	2,0619	6254	4742	1512
L10717	1	-46,5630814	-23,4738195	2767	0,0361	1,0309	5120	3441	1679
L10719	1	-46,5812144	-23,4890395	2814	0,0355	1,0309	4897	3512	1385
L10720	1	-46,5857185	-23,4923051	2198	0,0455	1,0309	3984	2779	1205
L10723	1	-46,5874208	-23,4972108	3391	0,0295	1,0309	6308	4248	2060
L10731	1	-46,5732850	-23,4796325	3704	0,027	1,0309	7087	4869	2218
L10734	2	-46,5710103	-23,4865175	2594	0,0771	2,0619	4572	3267	1305
