cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,0992	9838	5921	3917
L00006	2	-46,6471893	-23,5496488	4359	0,0459	0,1984	8358	5061	3297
L00009	1	-46,6401698	-23,5538581	823	0,1215	0,0992	1409	943	466
L00012	1	-46,6461964	-23,5700830	3252	0,0308	0,0992	6283	3656	2627
L00014	4	-46,6289218	-23,5548030	2700	0,1481	0,3968	5182	3459	1723
L00015	2	-46,6368132	-23,5574886	3591	0,0557	0,1984	7151	4273	2878
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,0992	5259	3125	2134
L00020	1	-46,6376429	-23,5607300	2293	0,0436	0,0992	5052	2698	2354
L00021	1	-46,6419109	-23,5592168	3437	0,0291	0,0992	6548	4013	2535
L00022	2	-46,6521240	-23,5458002	10350	0,0193	0,1984	18525	11583	6942
L00023	1	-46,6498912	-23,5493645	2834	0,0353	0,0992	4909	3201	1708
L00024	1	-46,6497533	-23,5485991	1896	0,0527	0,0992	3234	2130	1104
L00025	2	-46,6380154	-23,5642161	2151	0,093	0,1984	3803	2547	1256
L00027	1	-46,6368084	-23,5498480	2635	0,038	0,0992	5430	3072	2358
L00029	3	-46,6858903	-23,5271427	1846	0,1625	0,2976	2661	2067	594
L00030	1	-46,6716846	-23,5278546	4168	0,024	0,0992	8123	4653	3470
L00031	2	-46,6872489	-23,5323018	3785	0,0528	0,1984	5622	4272	1350
L00034	3	-46,6605264	-23,5415277	5254	0,0571	0,2976	7993	5767	2226
L00036	2	-46,6671104	-23,5303076	1611	0,1241	0,1984	3037	1845	1192
L00038	1	-46,6844226	-23,5340373	3156	0,0317	0,0992	5271	3545	1726
L00039	3	-46,6663954	-23,5361229	5419	0,0554	0,2976	8062	5901	2161
L00042	1	-46,6513283	-23,5415864	1556	0,0643	0,0992	2631	1843	788
L00049	2	-46,6806583	-23,5307166	4578	0,0437	0,1984	8065	5186	2879
L00050	1	-46,6531096	-23,5391595	3449	0,029	0,0992	6577	4007	2570
L00051	1	-46,6946005	-23,5421890	3052	0,0328	0,0992	5602	3572	2030
L00052	1	-46,6832663	-23,5289919	4888	0,0205	0,0992	8677	5629	3048
L00053	1	-46,6630845	-23,5450242	5945	0,0168	0,0992	9970	6457	3513
L00055	2	-46,6566164	-23,5307137	5271	0,0379	0,1984	9323	6035	3288
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,0992	4093	2814	1279
L00058	2	-46,6432297	-23,5320752	3161	0,0633	0,1984	6470	3731	2739
L00060	5	-46,6711550	-23,5381000	10857	0,0461	0,496	17946	11853	6093
L00062	2	-46,6375237	-23,5287430	2256	0,0887	0,1984	4421	2765	1656
L00064	1	-46,6278434	-23,5475185	2980	0,0336	0,0992	5641	3584	2057
L00066	1	-46,6126881	-23,5372312	2446	0,0409	0,0992	4500	2909	1591
L00069	1	-46,6240453	-23,5332439	1765	0,0567	0,0992	3469	2192	1277
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,0992	5785	3615	2170
L00074	1	-46,6370866	-23,5384772	2847	0,0351	0,0992	6133	3437	2696
L00075	2	-46,6325856	-23,5295792	4103	0,0487	0,1984	8045	4955	3090
L00077	1	-46,6228821	-23,5238878	3089	0,0324	0,0992	5985	3756	2229
L00078	1	-46,6212238	-23,5429654	2774	0,036	0,0992	5496	3398	2098
L00080	1	-46,5869070	-23,5756756	3323	0,0301	0,0992	5823	3854	1969
L00081	1	-46,5848689	-23,5392025	3560	0,0281	0,0992	5984	4200	1784
L00084	2	-46,5895134	-23,5593568	5301	0,0377	0,1984	8807	6387	2420
L00085	4	-46,5978907	-23,5552089	4372	0,0915	0,3968	8050	5269	2781
L00086	1	-46,6000356	-23,5353560	2856	0,035	0,0992	5171	3468	1703
L00091	1	-46,5964833	-23,5637925	3169	0,0316	0,0992	6188	3786	2402
L00092	2	-46,5828225	-23,5542479	3888	0,0514	0,1984	7164	4714	2450
L00099	1	-46,5683158	-23,5701115	2161	0,0463	0,0992	3989	2770	1219
L00102	2	-46,5979424	-23,5532296	4622	0,0433	0,1984	8563	5548	3015
L00103	1	-46,5812316	-23,5700009	4342	0,023	0,0992	7905	5265	2640
L00108	2	-46,5976041	-23,5519593	6779	0,0295	0,1984	11883	7994	3889
L00109	1	-46,6685837	-23,5678112	2042	0,049	0,0992	3574	2207	1367
L00110	2	-46,6602508	-23,5695486	2517	0,0795	0,1984	4741	2759	1982
L00111	3	-46,6590182	-23,5634584	7550	0,0397	0,2976	13488	8273	5215
L00113	2	-46,6642690	-23,5638420	4708	0,0425	0,1984	8733	5175	3558
L00114	1	-46,6627773	-23,5790597	1545	0,0647	0,0992	2374	1668	706
L00116	2	-46,6726051	-23,5816669	2385	0,0839	0,1984	4109	2634	1475
L00117	3	-46,6709040	-23,5923207	3151	0,0952	0,2976	5443	3456	1987
L00118	3	-46,6768341	-23,5885769	2860	0,1049	0,2976	5240	3249	1991
L00121	2	-46,6790390	-23,5798975	3855	0,0519	0,1984	7199	4264	2935
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,0992	4205	2672	1533
L00123	1	-46,6731135	-23,5792999	2804	0,0357	0,0992	4967	3078	1889
L00124	2	-46,6605835	-23,5566944	5697	0,0351	0,1984	10701	6297	4404
L00125	5	-46,6822891	-23,5834680	4924	0,1015	0,496	9066	5408	3658
L00126	2	-46,6724723	-23,5954720	3916	0,0511	0,1984	6669	4338	2331
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,0992	11459	6999	4460
L00129	2	-46,6486232	-23,5813704	3537	0,0565	0,1984	5654	3970	1684
L00132	1	-46,6416210	-23,5785510	4598	0,0217	0,0992	7651	5166	2485
L00134	1	-46,6358455	-23,5895447	4856	0,0206	0,0992	8425	5454	2971
L00135	2	-46,6431906	-23,5719338	4487	0,0446	0,1984	7477	5015	2462
L00138	1	-46,6259630	-23,5630260	2096	0,0477	0,0992	3469	2565	904
L00139	3	-46,6500347	-23,5703394	1246	0,2408	0,2976	1910	1375	535
L00141	1	-46,6308086	-23,5650323	5144	0,0194	0,0992	9743	6059	3684
L00144	2	-46,6356180	-23,5786976	2260	0,0885	0,1984	3961	2589	1372
L00145	1	-46,6350220	-23,5881065	3012	0,0332	0,0992	5263	3410	1853
L00151	2	-46,6209441	-23,5882398	2949	0,0678	0,1984	4478	3358	1120
L00152	3	-46,6459660	-23,5746810	3017	0,0994	0,2976	4888	3361	1527
L00153	3	-46,6399206	-23,5899717	4323	0,0694	0,2976	6624	4826	1798
L00157	2	-46,6389836	-23,5697573	5176	0,0386	0,1984	8809	5934	2875
L00527	1	-46,7748328	-23,6788482	330	0,303	0,0992	567	411	156
L00533	5	-46,7766842	-23,6810185	3832	0,1305	0,496	6561	4847	1714
L00537	1	-46,7846410	-23,6975287	3599	0,0278	0,0992	6096	4448	1648
L00541	5	-46,7778780	-23,6885051	4697	0,1065	0,496	8374	5781	2593
L00543	4	-46,7810676	-23,6817954	3950	0,1013	0,3968	6766	5016	1750
L00544	5	-46,7734160	-23,6802425	3538	0,1413	0,496	6419	4341	2078
L00550	5	-46,7755198	-23,6742186	2704	0,1849	0,496	4775	3448	1327
L00551	2	-46,7827546	-23,6998617	2755	0,0726	0,1984	4627	3392	1235
L00561	1	-46,7797991	-23,6713610	3438	0,0291	0,0992	6027	4213	1814
L00562	2	-46,7764988	-23,6792511	2508	0,0797	0,1984	4349	3228	1121
L05530	10	-46,7007739	-23,6497088	5044	0,1983	0,9921	8236	5638	2598
L05531	1	-46,7133162	-23,6344474	2027	0,0493	0,0992	3063	2266	797
L05532	11	-46,7034029	-23,6447800	2886	0,3812	1,0913	4752	3201	1551
L05533	2	-46,7012118	-23,6454413	2673	0,0748	0,1984	4610	2961	1649
L05534	3	-46,6930410	-23,6638790	5787	0,0518	0,2976	9716	6724	2992
L05535	2	-46,6912424	-23,6607866	3055	0,0655	0,1984	4525	3449	1076
L05536	7	-46,6821350	-23,6631782	5321	0,1316	0,6944	8921	6173	2748
L05537	1	-46,6842291	-23,6383685	2076	0,0482	0,0992	2987	2240	747
L05538	6	-46,6809074	-23,6663068	3075	0,1951	0,5952	5073	3651	1422
L05539	1	-46,7155893	-23,6513354	1889	0,0529	0,0992	3179	2190	989
L05541	1	-46,7153680	-23,6417200	3773	0,0265	0,0992	6610	4390	2220
L05542	3	-46,7071520	-23,6499060	3093	0,097	0,2976	5733	3640	2093
L05543	4	-46,6875690	-23,6745424	2821	0,1418	0,3968	4627	3474	1153
L05544	5	-46,7020955	-23,6297201	1019	0,4907	0,496	1646	1149	497
L05546	1	-46,6816306	-23,6713892	1359	0,0736	0,0992	2062	1643	419
L05547	4	-46,7031531	-23,6485078	2502	0,1599	0,3968	4597	2896	1701
L05548	6	-46,6996076	-23,6331312	1978	0,3033	0,5952	3388	2288	1100
L05549	22	-46,7057350	-23,6332760	4550	0,4835	2,1825	7718	5073	2645
L05550	46	-46,6945706	-23,6304883	5120	0,8984	4,5635	8978	5840	3138
