cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00006	1	-46,6471893	-23,5496488	4359	0,0229	1,1364	8358	5061	3297
L00010	2	-46,6355899	-23,5623979	2996	0,0668	2,2727	5666	3638	2028
L00011	2	-46,6535747	-23,5498948	3808	0,0525	2,2727	7072	4407	2665
L00018	1	-46,6419109	-23,5592168	3389	0,0295	1,1364	7001	3906	3095
L00022	8	-46,6521240	-23,5458002	10350	0,0773	9,0909	18525	11583	6942
L00030	1	-46,6716846	-23,5278546	4168	0,024	1,1364	8123	4653	3470
L00032	2	-46,6564979	-23,5376940	1668	0,1199	2,2727	2471	1844	627
L00033	3	-46,6545420	-23,5418060	2940	0,102	3,4091	4562	3313	1249
L00034	5	-46,6605264	-23,5415277	5254	0,0952	5,6818	7993	5767	2226
L00037	2	-46,6566164	-23,5307137	3471	0,0576	2,2727	6463	3952	2511
L00039	1	-46,6663954	-23,5361229	5419	0,0185	1,1364	8062	5901	2161
L00050	4	-46,6531096	-23,5391595	3449	0,116	4,5455	6577	4007	2570
L00053	1	-46,6630845	-23,5450242	5945	0,0168	1,1364	9970	6457	3513
L00054	1	-46,6650200	-23,5361422	1083	0,0923	1,1364	1605	1172	433
L00056	8	-46,6508278	-23,5375343	2409	0,3321	9,0909	4853	2751	2102
L00060	1	-46,6711550	-23,5381000	10857	0,0092	1,1364	17946	11853	6093
L00071	1	-46,6341197	-23,5306628	2982	0,0335	1,1364	5785	3615	2170
L00112	1	-46,6747793	-23,5889660	1465	0,0683	1,1364	2322	1627	695
L00126	2	-46,6724723	-23,5954720	3916	0,0511	2,2727	6669	4338	2331
L00129	1	-46,6486232	-23,5813704	3537	0,0283	1,1364	5654	3970	1684
L00131	2	-46,6442337	-23,5847251	4116	0,0486	2,2727	7035	4617	2418
L00132	2	-46,6416210	-23,5785510	4598	0,0435	2,2727	7651	5166	2485
L00143	1	-46,6414511	-23,5858080	2718	0,0368	1,1364	4786	3093	1693
L00151	1	-46,6209441	-23,5882398	2949	0,0339	1,1364	4478	3358	1120
L00535	1	-46,7885429	-23,6654381	2164	0,0462	1,1364	3718	2707	1011
L05697	1	-46,6950038	-23,5603746	3405	0,0294	1,1364	5468	3675	1793
L05700	1	-46,7170159	-23,5510140	4888	0,0205	1,1364	7257	5167	2090
L05742	1	-46,5211173	-23,5214041	2853	0,0351	1,1364	5266	3603	1663
L05772	1	-46,5679267	-23,5325642	2271	0,044	1,1364	4284	2700	1584
L05793	2	-46,5257140	-23,5554119	2865	0,0698	2,2727	5360	3578	1782
L05813	1	-46,6060326	-23,5005742	1776	0,0563	1,1364	3262	2171	1091
L05895	1	-46,5968505	-23,4651601	3059	0,0327	1,1364	5869	3863	2006
L05926	1	-46,5852470	-23,5802350	4531	0,0221	1,1364	8206	5391	2815
L05983	3	-46,6510975	-23,6123036	3947	0,076	3,4091	7274	4497	2777
L05991	1	-46,6608489	-23,6330376	3246	0,0308	1,1364	5977	3853	2124
L05997	1	-46,6475368	-23,6025329	2704	0,037	1,1364	4279	2988	1291
L06002	1	-46,6235160	-23,6123380	3568	0,028	1,1364	6002	4132	1870
L06016	2	-46,6492475	-23,5982808	2316	0,0864	2,2727	4108	2664	1444
L07671	1	-46,7225558	-23,4963064	2986	0,0335	1,1364	5033	3579	1454
L07765	1	-46,7497115	-23,6403144	4495	0,0222	1,1364	7813	5662	2151
L08199	1	-46,7202481	-23,5763764	1751	0,0571	1,1364	3121	1996	1125
L08227	1	-46,5050519	-23,5458928	1879	0,0532	1,1364	3494	2368	1126
L08266	2	-46,5492719	-23,5643080	3744	0,0534	2,2727	6474	4613	1861
L08272	1	-46,5288323	-23,5727122	2238	0,0447	1,1364	4229	2897	1332
L08296	1	-46,5867358	-23,4804731	3045	0,0328	1,1364	5362	3770	1592
L08297	1	-46,5922270	-23,4778802	3114	0,0321	1,1364	5691	3862	1829
L08372	1	-46,6459844	-23,6750154	2880	0,0347	1,1364	5258	3622	1636
L08950	1	-46,7904828	-23,6530515	1902	0,0526	1,1364	3059	2375	684
L09012	1	-46,8008485	-23,5869553	1897	0,0527	1,1364	3203	2480	723
L09671	1	-46,7508213	-23,4136565	4987	0,0201	1,1364	8189	6303	1886
L09687	1	-46,7169255	-23,4553166	2697	0,0371	1,1364	4650	3488	1162
L10177	1	-46,4190164	-23,6146521	2988	0,0335	1,1364	5509	4074	1435
L10516	1	-46,6134748	-23,6571470	3833	0,0261	1,1364	5910	4608	1302
