cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	1	-46,6455650	-23,5547500	3290	0,0304	0,2165	5696	3792	1904
L00096	1	-46,5697601	-23,5636527	4049	0,0247	0,2165	7290	5070	2220
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,2165	11459	6999	4460
L05556	1	-46,4403512	-23,4942325	2553	0,0392	0,2165	4433	3067	1366
L05558	2	-46,4234630	-23,5085168	3758	0,0532	0,4329	6529	4735	1794
L05560	1	-46,4200805	-23,5177469	783	0,1277	0,2165	1422	1053	369
L05564	1	-46,4259779	-23,5162635	4083	0,0245	0,2165	6687	5009	1678
L05565	1	-46,4195668	-23,5172129	2191	0,0456	0,2165	3749	2826	923
L05571	1	-46,4218866	-23,5204965	2679	0,0373	0,2165	4440	3324	1116
L05572	1	-46,4193422	-23,5228558	2139	0,0468	0,2165	3993	2664	1329
L05575	1	-46,4211790	-23,5134650	349	0,2865	0,2165	566	440	126
L05576	1	-46,4220218	-23,5011268	1232	0,0812	0,2165	1990	1570	420
L05584	1	-46,4623208	-23,5289299	3239	0,0309	0,2165	5568	4191	1377
L05585	1	-46,4451845	-23,5472188	2365	0,0423	0,2165	4123	3094	1029
L05592	1	-46,4528483	-23,5265608	3373	0,0296	0,2165	6254	4448	1806
L05603	2	-46,4430227	-23,5314831	2610	0,0766	0,4329	4621	3404	1217
L05604	1	-46,4434311	-23,5313295	1136	0,088	0,2165	1958	1485	473
L05677	1	-46,7468784	-23,5137529	2151	0,0465	0,2165	3753	2602	1151
L05720	1	-46,5018743	-23,5298075	832	0,1202	0,2165	1456	1081	375
L05722	2	-46,5000225	-23,5253888	2828	0,0707	0,4329	4665	3627	1038
L05723	1	-46,5331739	-23,5220975	2306	0,0434	0,2165	3823	2837	986
L05724	2	-46,5270161	-23,5293151	2599	0,077	0,4329	4443	3201	1242
L05727	2	-46,5492590	-23,5262720	2649	0,0755	0,4329	4685	3161	1524
L05735	1	-46,4932640	-23,5309670	2238	0,0447	0,2165	4145	2862	1283
L05737	1	-46,4989941	-23,5275262	2079	0,0481	0,2165	3862	2632	1230
L05754	1	-46,5702535	-23,5486528	3035	0,0329	0,2165	4571	3526	1045
L05755	1	-46,5179584	-23,5638358	3205	0,0312	0,2165	5295	4046	1249
L05757	1	-46,5403970	-23,5459183	2015	0,0496	0,2165	3549	2496	1053
L05763	1	-46,5178296	-23,5802614	2728	0,0367	0,2165	4620	3507	1113
L05786	1	-46,5327843	-23,5461447	1839	0,0544	0,2165	3271	2275	996
L05897	1	-46,5851276	-23,4502408	3003	0,0333	0,2165	5429	3962	1467
L07698	1	-46,4818882	-23,4858938	2747	0,0364	0,2165	5345	3538	1807
L08256	1	-46,5191281	-23,5450183	2851	0,0351	0,2165	5189	3512	1677
L08321	1	-46,6023221	-23,4823452	4184	0,0239	0,2165	7555	5096	2459
L08378	1	-46,4008120	-23,4977007	1709	0,0585	0,2165	3255	2338	917
L08386	2	-46,3879010	-23,5188440	3845	0,052	0,4329	6696	5024	1672
L08387	1	-46,3754478	-23,4964448	3203	0,0312	0,2165	5688	4215	1473
L08391	2	-46,3965404	-23,5176660	3624	0,0552	0,4329	6265	4666	1599
L08394	1	-46,3870301	-23,4964237	3348	0,0299	0,2165	5936	4200	1736
L08398	3	-46,4040381	-23,5003398	2632	0,114	0,6494	4564	3375	1189
L08399	1	-46,3842236	-23,5203421	3359	0,0298	0,2165	6149	4622	1527
L08408	1	-46,3900305	-23,4923096	2762	0,0362	0,2165	5089	3777	1312
L08411	1	-46,3698794	-23,5080357	3148	0,0318	0,2165	5639	4225	1414
L08413	1	-46,3937105	-23,5156176	1095	0,0913	0,2165	2083	1525	558
L08421	1	-46,3873807	-23,5128291	521	0,1919	0,2165	935	707	228
L08422	4	-46,4003582	-23,5441270	1520	0,2632	0,8658	2178	1462	716
L08423	19	-46,3977921	-23,5358129	1106	1,7179	4,1126	2069	1477	592
L08424	16	-46,4006522	-23,5380013	865	1,8497	3,4632	1585	1163	422
L08426	22	-46,4008912	-23,5381934	3356	0,6555	4,7619	6116	4546	1570
L08428	3	-46,3882687	-23,5454378	2086	0,1438	0,6494	3720	2817	903
L08430	1	-46,4157806	-23,5492070	1808	0,0553	0,2165	3393	2325	1068
L08431	45	-46,4023983	-23,5435780	3363	1,3381	9,7403	5917	4490	1427
L08433	1	-46,4064807	-23,5311067	739	0,1353	0,2165	548	394	154
L08434	1	-46,4184068	-23,5376100	1088	0,0919	0,2165	2100	1473	627
L08435	2	-46,4142302	-23,5447436	2123	0,0942	0,4329	4075	2620	1455
L08436	21	-46,4107031	-23,5355506	3955	0,531	4,5455	7305	5186	2119
L08438	1	-46,4254538	-23,5250259	3705	0,027	0,2165	6437	4786	1651
L08439	3	-46,4207673	-23,5460751	2866	0,1047	0,6494	5637	3838	1799
L08440	1	-46,4091642	-23,5275663	2973	0,0336	0,2165	5298	3892	1406
L08441	34	-46,3973726	-23,5355326	2439	1,394	7,3593	4306	3101	1205
L08442	23	-46,3994934	-23,5325352	3824	0,6015	4,9784	7163	5062	2101
L08443	1	-46,4155334	-23,5455554	1247	0,0802	0,2165	2181	1603	578
L08444	30	-46,3977921	-23,5358129	2757	1,0881	6,4935	5165	3761	1404
L08445	4	-46,4037610	-23,5596980	3457	0,1157	0,8658	2665	1848	817
L08446	1	-46,4185555	-23,5307546	2258	0,0443	0,2165	4003	2970	1033
L08449	1	-46,4174509	-23,5537296	2587	0,0387	0,2165	5105	3534	1571
L08450	2	-46,4075993	-23,5541832	3404	0,0588	0,4329	5663	4220	1443
L08451	9	-46,3909828	-23,5442229	2400	0,375	1,9481	4283	3241	1042
L08453	2	-46,4234233	-23,5381049	2084	0,096	0,4329	3936	2769	1167
L08454	33	-46,4066295	-23,5366390	2713	1,2164	7,1429	4822	3590	1232
L08455	1	-46,4007548	-23,5495498	2353	0,0425	0,2165	4306	3004	1302
L08456	24	-46,4126165	-23,5416929	2557	0,9386	5,1948	4651	3173	1478
L08459	12	-46,4060980	-23,5364980	1267	0,9471	2,5974	1475	1092	383
L08460	2	-46,4151119	-23,5465924	925	0,2162	0,4329	1672	1159	513
L08461	1	-46,4228459	-23,5390975	2171	0,0461	0,2165	3128	2231	897
L08463	1	-46,4145590	-23,5542970	860	0,1163	0,2165	1549	1145	404
L08464	5	-46,3928375	-23,5277915	1978	0,2528	1,0823	3363	2579	784
L09066	1	-46,4621492	-23,6284570	2730	0,0366	0,2165	5142	3766	1376
L09074	1	-46,4538383	-23,5987817	2975	0,0336	0,2165	5013	3755	1258
L09126	1	-46,6908864	-23,4686604	3640	0,0275	0,2165	6924	4603	2321
L09703	1	-46,5143098	-23,5025941	3250	0,0308	0,2165	6003	4205	1798
L09708	1	-46,5011972	-23,4910374	3598	0,0278	0,2165	5673	4513	1160
L09709	1	-46,5011218	-23,4970068	2480	0,0403	0,2165	4098	3151	947
L09710	1	-46,5314823	-23,5021289	2230	0,0448	0,2165	4095	2837	1258
L09752	1	-46,4842871	-23,5209250	1143	0,0875	0,2165	2000	1551	449
L09754	3	-46,4761598	-23,5359998	2662	0,1127	0,6494	4728	3332	1396
L09757	3	-46,4799583	-23,5263781	2015	0,1489	0,6494	3665	2771	894
L09758	2	-46,4840632	-23,5126634	2966	0,0674	0,4329	5485	3744	1741
L09762	3	-46,4813689	-23,5374258	3181	0,0943	0,6494	5713	4094	1619
