cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00001	1	-46,6357754	-23,5454496	744	0,1344	0,0059	1384	845	539
L00003	4	-46,6455650	-23,5547500	3290	0,1216	0,0237	5696	3792	1904
L00006	2	-46,6471893	-23,5496488	4359	0,0459	0,0119	8358	5061	3297
L00007	2	-46,6432717	-23,5529543	1958	0,1021	0,0119	3791	2317	1474
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,0059	6983	4278	2705
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,0059	7072	4407	2665
L00012	2	-46,6461964	-23,5700830	3252	0,0615	0,0119	6283	3656	2627
L00014	5	-46,6289218	-23,5548030	2700	0,1852	0,0297	5182	3459	1723
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,0059	5297	3132	2165
L00018	2	-46,6419109	-23,5592168	3389	0,059	0,0119	7001	3906	3095
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,0059	5259	3125	2134
L00020	1	-46,6376429	-23,5607300	2293	0,0436	0,0059	5052	2698	2354
L00021	1	-46,6419109	-23,5592168	3437	0,0291	0,0059	6548	4013	2535
L00022	4	-46,6521240	-23,5458002	10350	0,0386	0,0237	18525	11583	6942
L00023	2	-46,6498912	-23,5493645	2834	0,0706	0,0119	4909	3201	1708
L00024	1	-46,6497533	-23,5485991	1896	0,0527	0,0059	3234	2130	1104
L00025	2	-46,6380154	-23,5642161	2151	0,093	0,0119	3803	2547	1256
L00027	2	-46,6368084	-23,5498480	2635	0,0759	0,0119	5430	3072	2358
L00030	1	-46,6716846	-23,5278546	4168	0,024	0,0059	8123	4653	3470
L00033	1	-46,6545420	-23,5418060	2940	0,034	0,0059	4562	3313	1249
L00034	2	-46,6605264	-23,5415277	5254	0,0381	0,0119	7993	5767	2226
L00035	2	-46,6800459	-23,5481021	3932	0,0509	0,0119	6405	4313	2092
L00036	2	-46,6671104	-23,5303076	1611	0,1241	0,0119	3037	1845	1192
L00039	2	-46,6663954	-23,5361229	5419	0,0369	0,0119	8062	5901	2161
L00043	3	-46,6853794	-23,5386780	2698	0,1112	0,0178	4613	3033	1580
L00044	2	-46,6566305	-23,5207777	1534	0,1304	0,0119	2722	1815	907
L00045	1	-46,6523017	-23,5318175	2128	0,047	0,0059	3940	2485	1455
L00046	1	-46,6555734	-23,5283610	2335	0,0428	0,0059	4656	2795	1861
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,0059	8065	5186	2879
L00051	2	-46,6946005	-23,5421890	3052	0,0655	0,0119	5602	3572	2030
L00052	5	-46,6832663	-23,5289919	4888	0,1023	0,0297	8677	5629	3048
L00053	2	-46,6630845	-23,5450242	5945	0,0336	0,0119	9970	6457	3513
L00055	6	-46,6566164	-23,5307137	5271	0,1138	0,0356	9323	6035	3288
L00056	1	-46,6508278	-23,5375343	2409	0,0415	0,0059	4853	2751	2102
L00060	2	-46,6711550	-23,5381000	10857	0,0184	0,0119	17946	11853	6093
L00061	1	-46,6666956	-23,5298372	3408	0,0293	0,0059	6305	3946	2359
L00063	2	-46,6343483	-23,5436627	2624	0,0762	0,0119	5154	3085	2069
L00064	2	-46,6278434	-23,5475185	2980	0,0671	0,0119	5641	3584	2057
L00065	7	-46,6385252	-23,5376549	2229	0,314	0,0416	4267	2744	1523
L00066	6	-46,6126881	-23,5372312	2446	0,2453	0,0356	4500	2909	1591
L00067	8	-46,6107088	-23,5252045	1435	0,5575	0,0475	2765	1755	1010
L00069	3	-46,6240453	-23,5332439	1765	0,17	0,0178	3469	2192	1277
L00070	3	-46,6134834	-23,5400667	2964	0,1012	0,0178	5594	3588	2006
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,0059	5785	3615	2170
L00072	3	-46,6208174	-23,5236456	705	0,4255	0,0178	1424	855	569
L00073	4	-46,6217056	-23,5381881	1287	0,3108	0,0237	2708	1593	1115
L00074	1	-46,6370866	-23,5384772	2847	0,0351	0,0059	6133	3437	2696
L00075	2	-46,6325856	-23,5295792	4103	0,0487	0,0119	8045	4955	3090
L00077	6	-46,6228821	-23,5238878	3089	0,1942	0,0356	5985	3756	2229
L00078	4	-46,6212238	-23,5429654	2774	0,1442	0,0237	5496	3398	2098
L00080	1	-46,5869070	-23,5756756	3323	0,0301	0,0059	5823	3854	1969
L00081	1	-46,5848689	-23,5392025	3560	0,0281	0,0059	5984	4200	1784
L00082	12	-46,5746890	-23,5568730	2818	0,4258	0,0712	4581	3379	1202
L00083	4	-46,5997287	-23,5410220	3324	0,1203	0,0237	6501	4011	2490
L00084	2	-46,5895134	-23,5593568	5301	0,0377	0,0119	8807	6387	2420
L00085	7	-46,5978907	-23,5552089	4372	0,1601	0,0416	8050	5269	2781
L00086	61	-46,6000356	-23,5353560	2856	2,1359	0,3621	5171	3468	1703
L00087	3	-46,5842762	-23,5514675	2993	0,1002	0,0178	5617	3662	1955
L00088	2	-46,6217269	-23,5533444	1019	0,1963	0,0119	1932	1238	694
L00089	2	-46,5902871	-23,5470008	2261	0,0885	0,0119	4286	2820	1466
L00090	3	-46,5652413	-23,5675233	2503	0,1199	0,0178	4461	3203	1258
L00091	4	-46,5964833	-23,5637925	3169	0,1262	0,0237	6188	3786	2402
L00093	1	-46,5813248	-23,5619799	3706	0,027	0,0059	6970	4489	2481
L00094	1	-46,6214361	-23,5534993	2393	0,0418	0,0059	4753	2932	1821
L00095	3	-46,5726610	-23,5574173	1814	0,1654	0,0178	3331	2227	1104
L00096	2	-46,5697601	-23,5636527	4049	0,0494	0,0119	7290	5070	2220
L00098	2	-46,5984516	-23,5519192	955	0,2094	0,0119	1806	1145	661
L00099	7	-46,5683158	-23,5701115	2161	0,3239	0,0416	3989	2770	1219
L00100	2	-46,5637915	-23,5715671	2872	0,0696	0,0119	5130	3619	1511
L00101	3	-46,5902071	-23,5606910	4284	0,07	0,0178	7988	5172	2816
L00102	9	-46,5979424	-23,5532296	4622	0,1947	0,0534	8563	5548	3015
L00103	3	-46,5812316	-23,5700009	4342	0,0691	0,0178	7905	5265	2640
L00106	8	-46,5939719	-23,5375195	4328	0,1848	0,0475	6924	5149	1775
L00107	11	-46,6116378	-23,5511180	2148	0,5121	0,0653	4565	2585	1980
L00108	25	-46,5976041	-23,5519593	6779	0,3688	0,1484	11883	7994	3889
L00109	1	-46,6685837	-23,5678112	2042	0,049	0,0059	3574	2207	1367
L00110	2	-46,6602508	-23,5695486	2517	0,0795	0,0119	4741	2759	1982
L00111	4	-46,6590182	-23,5634584	7550	0,053	0,0237	13488	8273	5215
L00113	1	-46,6642690	-23,5638420	4708	0,0212	0,0059	8733	5175	3558
L00114	1	-46,6627773	-23,5790597	1545	0,0647	0,0059	2374	1668	706
L00124	1	-46,6605835	-23,5566944	5697	0,0176	0,0059	10701	6297	4404
L00127	2	-46,6605835	-23,5566944	6318	0,0317	0,0119	11459	6999	4460
L00128	2	-46,6769068	-23,6001070	3888	0,0514	0,0119	6994	4384	2610
