cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	1	-46,6455650	-23,5547500	3290	0,0304	0,1815	5696	3792	1904
L00010	1	-46,6355899	-23,5623979	2996	0,0334	0,1815	5666	3638	2028
L00015	1	-46,6368132	-23,5574886	3591	0,0278	0,1815	7151	4273	2878
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,1815	18525	11583	6942
L00039	2	-46,6663954	-23,5361229	5419	0,0369	0,363	8062	5901	2161
L00040	1	-46,6597606	-23,5452831	1062	0,0942	0,1815	1577	1160	417
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,1815	8065	5186	2879
L00053	1	-46,6630845	-23,5450242	5945	0,0168	0,1815	9970	6457	3513
L00054	1	-46,6650200	-23,5361422	1083	0,0923	0,1815	1605	1172	433
L00060	2	-46,6711550	-23,5381000	10857	0,0184	0,363	17946	11853	6093
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,1815	5154	3085	2069
L00082	1	-46,5746890	-23,5568730	2818	0,0355	0,1815	4581	3379	1202
L00096	1	-46,5697601	-23,5636527	4049	0,0247	0,1815	7290	5070	2220
L00111	6	-46,6590182	-23,5634584	7550	0,0795	1,0889	13488	8273	5215
L00113	1	-46,6642690	-23,5638420	4708	0,0212	0,1815	8733	5175	3558
L00115	1	-46,6759394	-23,5867575	1860	0,0538	0,1815	3357	2042	1315
L00124	1	-46,6605835	-23,5566944	5697	0,0176	0,1815	10701	6297	4404
L00125	2	-46,6822891	-23,5834680	4924	0,0406	0,363	9066	5408	3658
L00131	6	-46,6442337	-23,5847251	4116	0,1458	1,0889	7035	4617	2418
L00132	4	-46,6416210	-23,5785510	4598	0,087	0,726	7651	5166	2485
L00134	4	-46,6358455	-23,5895447	4856	0,0824	0,726	8425	5454	2971
L00136	1	-46,6234512	-23,5608329	4167	0,024	0,1815	7421	4897	2524
L00137	1	-46,6125927	-23,5728431	3033	0,033	0,1815	4908	3570	1338
L00143	1	-46,6414511	-23,5858080	2718	0,0368	0,1815	4786	3093	1693
L00144	2	-46,6356180	-23,5786976	2260	0,0885	0,363	3961	2589	1372
L00145	2	-46,6350220	-23,5881065	3012	0,0664	0,363	5263	3410	1853
L00148	1	-46,6273889	-23,5872670	4439	0,0225	0,1815	7836	5122	2714
L00149	1	-46,6300092	-23,5766639	1599	0,0625	0,1815	2985	1875	1110
L00150	1	-46,6299014	-23,5758099	4050	0,0247	0,1815	6863	4657	2206
L00152	2	-46,6459660	-23,5746810	3017	0,0663	0,363	4888	3361	1527
L00153	2	-46,6399206	-23,5899717	4323	0,0463	0,363	6624	4826	1798
