cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00005	2	-46,6603762	-23,5406137	4082	0,049	1,1976	8248	4503	3745
L00006	2	-46,6471893	-23,5496488	4359	0,0459	1,1976	8358	5061	3297
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,5988	7072	4407	2665
L00020	1	-46,6376429	-23,5607300	2293	0,0436	0,5988	5052	2698	2354
L00022	3	-46,6521240	-23,5458002	10350	0,029	1,7964	18525	11583	6942
L00023	2	-46,6498912	-23,5493645	2834	0,0706	1,1976	4909	3201	1708
L00025	1	-46,6380154	-23,5642161	2151	0,0465	0,5988	3803	2547	1256
L00030	1	-46,6716846	-23,5278546	4168	0,024	0,5988	8123	4653	3470
L00036	1	-46,6671104	-23,5303076	1611	0,0621	0,5988	3037	1845	1192
L00039	1	-46,6663954	-23,5361229	5419	0,0185	0,5988	8062	5901	2161
L00044	1	-46,6566305	-23,5207777	1534	0,0652	0,5988	2722	1815	907
L00045	1	-46,6523017	-23,5318175	2128	0,047	0,5988	3940	2485	1455
L00050	2	-46,6531096	-23,5391595	3449	0,058	1,1976	6577	4007	2570
L00053	2	-46,6630845	-23,5450242	5945	0,0336	1,1976	9970	6457	3513
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,5988	6470	3731	2739
L00060	1	-46,6711550	-23,5381000	10857	0,0092	0,5988	17946	11853	6093
L00061	2	-46,6666956	-23,5298372	3408	0,0587	1,1976	6305	3946	2359
L00097	1	-46,5595868	-23,5719075	2559	0,0391	0,5988	4560	3187	1373
L00100	1	-46,5637915	-23,5715671	2872	0,0348	0,5988	5130	3619	1511
L00106	1	-46,5939719	-23,5375195	4328	0,0231	0,5988	6924	5149	1775
L00111	2	-46,6590182	-23,5634584	7550	0,0265	1,1976	13488	8273	5215
L00114	1	-46,6627773	-23,5790597	1545	0,0647	0,5988	2374	1668	706
L00116	1	-46,6726051	-23,5816669	2385	0,0419	0,5988	4109	2634	1475
L00121	1	-46,6790390	-23,5798975	3855	0,0259	0,5988	7199	4264	2935
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,5988	4205	2672	1533
L00124	1	-46,6605835	-23,5566944	5697	0,0176	0,5988	10701	6297	4404
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,5988	11459	6999	4460
L00150	1	-46,6299014	-23,5758099	4050	0,0247	0,5988	6863	4657	2206
