cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00004	2	-46,6511260	-23,5652103	5298	0,0378	0,2525	9838	5921	3917
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,1263	7072	4407	2665
L00027	1	-46,6368084	-23,5498480	2635	0,038	0,1263	5430	3072	2358
L00091	1	-46,5964833	-23,5637925	3169	0,0316	0,1263	6188	3786	2402
L00097	1	-46,5595868	-23,5719075	2559	0,0391	0,1263	4560	3187	1373
L00121	1	-46,6790390	-23,5798975	3855	0,0259	0,1263	7199	4264	2935
L00128	1	-46,6769068	-23,6001070	3888	0,0257	0,1263	6994	4384	2610
L00136	1	-46,6234512	-23,5608329	4167	0,024	0,1263	7421	4897	2524
L00528	2	-46,7937390	-23,6862114	4929	0,0406	0,2525	8528	6298	2230
L00535	1	-46,7885429	-23,6654381	2164	0,0462	0,1263	3718	2707	1011
L00536	1	-46,7920187	-23,6867819	3212	0,0311	0,1263	5561	4120	1441
L00537	1	-46,7846410	-23,6975287	3599	0,0278	0,1263	6096	4448	1648
L00540	1	-46,7937648	-23,6769801	2766	0,0362	0,1263	4791	3520	1271
L00541	5	-46,7778780	-23,6885051	4697	0,1065	0,6313	8374	5781	2593
L00542	2	-46,7901616	-23,6750896	3768	0,0531	0,2525	6810	4643	2167
L00543	1	-46,7810676	-23,6817954	3950	0,0253	0,1263	6766	5016	1750
L00544	1	-46,7734160	-23,6802425	3538	0,0283	0,1263	6419	4341	2078
L00545	3	-46,7766899	-23,6802567	3771	0,0796	0,3788	6802	4728	2074
L00554	1	-46,7932547	-23,6670602	2548	0,0392	0,1263	4491	3254	1237
L00555	1	-46,7999759	-23,6870539	3475	0,0288	0,1263	6174	4460	1714
L00559	1	-46,7951730	-23,6802102	2040	0,049	0,1263	3413	2489	924
L00561	1	-46,7797991	-23,6713610	3438	0,0291	0,1263	6027	4213	1814
L00562	1	-46,7764988	-23,6792511	2508	0,0399	0,1263	4349	3228	1121
L05530	1	-46,7007739	-23,6497088	5044	0,0198	0,1263	8236	5638	2598
L05540	1	-46,7098940	-23,6536635	1724	0,058	0,1263	3235	2032	1203
L05542	1	-46,7071520	-23,6499060	3093	0,0323	0,1263	5733	3640	2093
L05546	1	-46,6816306	-23,6713892	1359	0,0736	0,1263	2062	1643	419
L05557	1	-46,4452179	-23,4993366	2352	0,0425	0,1263	3986	2897	1089
L05558	1	-46,4234630	-23,5085168	3758	0,0266	0,1263	6529	4735	1794
L05561	1	-46,4389924	-23,5145862	3097	0,0323	0,1263	5489	4147	1342
L05566	1	-46,4352447	-23,5020281	2851	0,0351	0,1263	4735	3521	1214
L05581	2	-46,4522081	-23,5171617	3935	0,0508	0,2525	6924	5015	1909
L05587	1	-46,4443497	-23,5387667	3161	0,0316	0,1263	5471	4127	1344
L05588	1	-46,4326641	-23,5174330	2595	0,0385	0,1263	4297	3303	994
L05592	2	-46,4528483	-23,5265608	3373	0,0593	0,2525	6254	4448	1806
L05596	1	-46,4536228	-23,5552304	3671	0,0272	0,1263	6672	4852	1820
L05608	1	-46,4565300	-23,5399000	1319	0,0758	0,1263	2270	1658	612
L05610	1	-46,4554689	-23,5282555	6146	0,0163	0,1263	10609	7693	2916
L05624	1	-46,6161131	-23,5004170	2563	0,039	0,1263	4896	3055	1841
L05625	1	-46,6261164	-23,4898514	2978	0,0336	0,1263	5488	3556	1932
L05636	1	-46,6317593	-23,5028361	836	0,1196	0,1263	1410	975	435
L05646	1	-46,7000457	-23,5224777	2592	0,0386	0,1263	4343	2970	1373
