cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00086	1	-46,6000356	-23,5353560	2856	0,035	0,1027	5171	3468	1703
L00089	1	-46,5902871	-23,5470008	2261	0,0442	0,1027	4286	2820	1466
L00101	1	-46,5902071	-23,5606910	4284	0,0233	0,1027	7988	5172	2816
L00142	1	-46,6119113	-23,5742236	2504	0,0399	0,1027	4454	2944	1510
L00152	1	-46,6459660	-23,5746810	3017	0,0331	0,1027	4888	3361	1527
L00537	1	-46,7846410	-23,6975287	3599	0,0278	0,1027	6096	4448	1648
L00539	1	-46,7886237	-23,6861459	4146	0,0241	0,1027	7243	5328	1915
L05559	1	-46,4198222	-23,5098866	1943	0,0515	0,1027	3330	2529	801
L05564	1	-46,4259779	-23,5162635	4083	0,0245	0,1027	6687	5009	1678
L05570	1	-46,4345329	-23,5094734	3688	0,0271	0,1027	6309	4565	1744
L05573	2	-46,4192720	-23,4963124	2328	0,0859	0,2053	4347	2982	1365
L05579	1	-46,4415141	-23,5227656	2072	0,0483	0,1027	3867	2846	1021
L05593	1	-46,4528982	-23,5182408	3494	0,0286	0,1027	6309	4695	1614
L05601	1	-46,4359061	-23,5226454	2327	0,043	0,1027	4159	3108	1051
L05610	1	-46,4554689	-23,5282555	6146	0,0163	0,1027	10609	7693	2916
L05626	1	-46,6278934	-23,4963679	2077	0,0481	0,1027	3746	2434	1312
L05668	1	-46,7212419	-23,5119029	1112	0,0899	0,1027	2192	1343	849
L05688	1	-46,7278581	-23,5209253	3285	0,0304	0,1027	5542	3799	1743
L05703	1	-46,6962316	-23,5650597	1732	0,0577	0,1027	3356	1964	1392
L05723	1	-46,5331739	-23,5220975	2306	0,0434	0,1027	3823	2837	986
L05724	1	-46,5270161	-23,5293151	2599	0,0385	0,1027	4443	3201	1242
L05728	1	-46,5180445	-23,5238771	2335	0,0428	0,1027	4138	2919	1219
L05736	1	-46,5179226	-23,5228086	3663	0,0273	0,1027	6711	4640	2071
L05739	1	-46,4991515	-23,5296706	3000	0,0333	0,1027	5527	3909	1618
L05741	1	-46,5356236	-23,5299143	915	0,1093	0,1027	1501	1148	353
L05742	2	-46,5211173	-23,5214041	2853	0,0701	0,2053	5266	3603	1663
L05743	2	-46,5487021	-23,5239078	1983	0,1009	0,2053	3819	2477	1342
L05745	1	-46,5393250	-23,5309129	2457	0,0407	0,1027	4417	3008	1409
L05752	1	-46,5494401	-23,5441268	4128	0,0242	0,1027	7403	5019	2384
L05754	1	-46,5702535	-23,5486528	3035	0,0329	0,1027	4571	3526	1045
L05768	1	-46,5794166	-23,5383741	2522	0,0397	0,1027	4651	2995	1656
L05776	2	-46,5726461	-23,5512878	2634	0,0759	0,2053	4333	3190	1143
L05783	1	-46,5747550	-23,5436990	1751	0,0571	0,1027	2933	2099	834
L05806	1	-46,5685781	-23,5119963	4184	0,0239	0,1027	7823	5387	2436
L05820	1	-46,5663467	-23,5211065	3363	0,0297	0,1027	6296	4358	1938
L05839	2	-46,6096818	-23,5128587	1440	0,1389	0,2053	2550	1813	737
L05883	1	-46,6071629	-23,4804948	2403	0,0416	0,1027	4353	2845	1508
L05897	1	-46,5851276	-23,4502408	3003	0,0333	0,1027	5429	3962	1467
L05928	1	-46,5582100	-23,5739759	2347	0,0426	0,1027	4461	2967	1494
L05943	1	-46,5480300	-23,5998140	3286	0,0304	0,1027	5695	4099	1596
L05974	1	-46,6641427	-23,6002288	6184	0,0162	0,1027	10325	6924	3401
L06012	2	-46,6319660	-23,6059990	2471	0,0809	0,2053	4092	2850	1242
L06036	2	-46,6027202	-23,6187027	1079	0,1854	0,2053	2228	1350	878
L06682	1	-46,7022612	-23,7224803	3236	0,0309	0,1027	5448	4015	1433
L07666	1	-46,7187075	-23,4795423	4684	0,0213	0,1027	9004	6008	2996
L07683	2	-46,4716478	-23,4993793	1880	0,1064	0,2053	3092	2381	711
L07684	89	-46,4880489	-23,4975812	632	14,0823	9,1376	1162	808	354
L07685	7	-46,4887224	-23,4892548	685	1,0219	0,7187	1181	899	282
L07686	3	-46,4812171	-23,5036986	386	0,7772	0,308	712	493	219
L07687	14	-46,4932576	-23,4894062	1193	1,1735	1,4374	2023	1548	475
L07688	9	-46,4915180	-23,5074055	1641	0,5484	0,924	3150	2085	1065
L07689	17	-46,4919582	-23,5063549	2108	0,8065	1,7454	3605	2714	891
L07690	2	-46,4825992	-23,5059494	1295	0,1544	0,2053	2134	1637	497
L07691	11	-46,4782924	-23,4882415	2673	0,4115	1,1294	4549	3394	1155
L07692	7	-46,4761134	-23,5015127	2666	0,2626	0,7187	4912	3325	1587
L07693	3	-46,4705358	-23,4926534	4113	0,0729	0,308	7400	5306	2094
L07695	40	-46,4925761	-23,4889873	3199	1,2504	4,1068	5543	4116	1427
L07696	2	-46,4669867	-23,4900232	2210	0,0905	0,2053	3851	2948	903
L07697	1	-46,4708990	-23,4817559	479	0,2088	0,1027	866	610	256
L07698	6	-46,4818882	-23,4858938	2747	0,2184	0,616	5345	3538	1807
L07699	42	-46,4816039	-23,4998180	2953	1,4223	4,3121	5279	3696	1583
L07700	52	-46,4851971	-23,4905377	3489	1,4904	5,3388	6056	4395	1661
L07701	302	-46,4889435	-23,4985564	3277	9,2157	31,0062	5967	4095	1872
L07702	3	-46,4749626	-23,4875229	2327	0,1289	0,308	4070	2936	1134
L07703	8	-46,4731818	-23,5027056	2186	0,366	0,8214	3519	2750	769
L07704	10	-46,4783102	-23,4996696	2270	0,4405	1,0267	4005	2861	1144
L07705	4	-46,4753246	-23,4969321	1922	0,2081	0,4107	3284	2392	892
L07706	15	-46,4963575	-23,4925264	630	2,381	1,54	1072	816	256
L07707	3	-46,4674092	-23,4866528	1249	0,2402	0,308	2183	1661	522
L07708	43	-46,4849725	-23,5032693	2712	1,5855	4,4148	5219	3402	1817
L07709	49	-46,4926895	-23,4988971	1792	2,7344	5,0308	3099	2351	748
L07710	3	-46,4820150	-23,5058752	1072	0,2799	0,308	1843	1332	511
L07711	6	-46,4928392	-23,4853243	1271	0,4721	0,616	2067	1641	426
L07712	1	-46,4733392	-23,4886727	826	0,1211	0,1027	1450	1023	427
L07713	25	-46,4966140	-23,4924641	1374	1,8195	2,5667	2302	1760	542
L07773	1	-46,7538973	-23,6349349	4025	0,0248	0,1027	6657	5039	1618
L08186	1	-46,7043257	-23,6097843	2189	0,0457	0,1027	3576	2546	1030
L08226	1	-46,5156979	-23,5307305	1416	0,0706	0,1027	2280	1812	468
L08256	1	-46,5191281	-23,5450183	2851	0,0351	0,1027	5189	3512	1677
L08259	1	-46,5081299	-23,5436866	2539	0,0394	0,1027	4640	3247	1393
L08270	1	-46,5267515	-23,5750205	769	0,13	0,1027	1358	1007	351
L08300	1	-46,5778738	-23,4504834	1879	0,0532	0,1027	3503	2489	1014
L08314	1	-46,6000523	-23,4896398	3153	0,0317	0,1027	5703	3872	1831
L08351	1	-46,5255369	-23,5976545	4099	0,0244	0,1027	7280	5240	2040
L08357	1	-46,6566918	-23,6673339	2867	0,0349	0,1027	5558	3511	2047
L08387	3	-46,3754478	-23,4964448	3203	0,0937	0,308	5688	4215	1473
L08392	1	-46,4006667	-23,5034363	3308	0,0302	0,1027	6122	4146	1976
L08401	1	-46,3808672	-23,5028827	722	0,1385	0,1027	1259	974	285
L08417	2	-46,3806444	-23,5150740	2751	0,0727	0,2053	4718	3665	1053
L08433	1	-46,4064807	-23,5311067	739	0,1353	0,1027	548	394	154
L08436	3	-46,4107031	-23,5355506	3955	0,0759	0,308	7305	5186	2119
L08437	1	-46,3986836	-23,5531127	1923	0,052	0,1027	3328	2531	797
L08442	2	-46,3994934	-23,5325352	3824	0,0523	0,2053	7163	5062	2101
L08445	1	-46,4037610	-23,5596980	3457	0,0289	0,1027	2665	1848	817
L08891	4	-46,7705221	-23,7208213	4451	0,0899	0,4107	7568	5541	2027
L08892	1	-46,7732050	-23,6978420	1070	0,0935	0,1027	1790	1342	448
L08894	1	-46,7822515	-23,7187870	4175	0,024	0,1027	7569	5347	2222
L08896	1	-46,7722560	-23,6977360	3286	0,0304	0,1027	5962	4211	1751
L08898	1	-46,7422115	-23,6767859	1163	0,086	0,1027	1825	1417	408
L08900	4	-46,7459944	-23,6760859	3870	0,1034	0,4107	6211	4807	1404
L08906	1	-46,7756880	-23,7009931	3097	0,0323	0,1027	5172	3825	1347
L08912	1	-46,7544275	-23,6715623	3436	0,0291	0,1027	5880	4460	1420
L08917	3	-46,7474059	-23,6737216	2586	0,116	0,308	4466	3168	1298
L08921	3	-46,7477778	-23,6709060	3171	0,0946	0,308	5519	3877	1642
L08922	2	-46,7486749	-23,6678597	2396	0,0835	0,2053	3958	3033	925
L08923	1	-46,7515278	-23,6806812	949	0,1054	0,1027	1668	1256	412
L08924	1	-46,7528366	-23,6745244	3179	0,0315	0,1027	5308	3981	1327
L08927	1	-46,7602288	-23,6921984	3141	0,0318	0,1027	5143	3919	1224
L08934	9	-46,7701634	-23,7200619	4256	0,2115	0,924	7146	5402	1744
L08937	1	-46,7398408	-23,6738654	4636	0,0216	0,1027	7955	5725	2230
L08949	1	-46,7514131	-23,6635812	2498	0,04	0,1027	4346	3049	1297
L08963	1	-46,7734927	-23,6740405	2049	0,0488	0,1027	3996	2559	1437
L08990	1	-46,7660251	-23,5891918	3308	0,0302	0,1027	5815	4319	1496
L08999	1	-46,7748594	-23,5743052	2796	0,0358	0,1027	5077	3810	1267
L09644	1	-46,7595246	-23,4046073	6764	0,0148	0,1027	12622	8645	3977
L09699	1	-46,5276842	-23,4983766	2694	0,0371	0,1027	4647	3454	1193
L09701	1	-46,5067684	-23,5021411	4523	0,0221	0,1027	8238	6120	2118
L09703	1	-46,5143098	-23,5025941	3250	0,0308	0,1027	6003	4205	1798
L09705	14	-46,4976882	-23,4974521	2912	0,4808	1,4374	5100	3739	1361
L09708	3	-46,5011972	-23,4910374	3598	0,0834	0,308	5673	4513	1160
L09709	1	-46,5011218	-23,4970068	2480	0,0403	0,1027	4098	3151	947
L09711	1	-46,5256831	-23,5120904	4021	0,0249	0,1027	7414	5163	2251
L09716	3	-46,5307769	-23,5112782	2975	0,1008	0,308	5262	3745	1517
L09717	1	-46,4987106	-23,5049643	2292	0,0436	0,1027	3848	2901	947
L09720	3	-46,5061927	-23,4971573	1578	0,1901	0,308	2480	1979	501
L09751	1	-46,4808988	-23,5169363	764	0,1309	0,1027	1285	982	303
L09755	3	-46,4808207	-23,5172670	2520	0,119	0,308	4399	3291	1108
L09759	2	-46,4893072	-23,5119538	2407	0,0831	0,2053	4544	3045	1499
L09771	3	-46,4943893	-23,5089738	3192	0,094	0,308	5877	3982	1895
L09922	1	-46,4327528	-23,4878458	1190	0,084	0,1027	2000	1568	432
L09926	1	-46,4100903	-23,4872826	3946	0,0253	0,1027	6777	5183	1594
