cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,2451	7001	3906	3095
L00078	1	-46,6212238	-23,5429654	2774	0,036	0,2451	5496	3398	2098
L00106	1	-46,5939719	-23,5375195	4328	0,0231	0,2451	6924	5149	1775
L05538	1	-46,6809074	-23,6663068	3075	0,0325	0,2451	5073	3651	1422
L05556	1	-46,4403512	-23,4942325	2553	0,0392	0,2451	4433	3067	1366
L05564	1	-46,4259779	-23,5162635	4083	0,0245	0,2451	6687	5009	1678
L05572	2	-46,4193422	-23,5228558	2139	0,0935	0,4902	3993	2664	1329
L05587	1	-46,4443497	-23,5387667	3161	0,0316	0,2451	5471	4127	1344
L05728	1	-46,5180445	-23,5238771	2335	0,0428	0,2451	4138	2919	1219
L05736	1	-46,5179226	-23,5228086	3663	0,0273	0,2451	6711	4640	2071
L05737	1	-46,4989941	-23,5275262	2079	0,0481	0,2451	3862	2632	1230
L05742	1	-46,5211173	-23,5214041	2853	0,0351	0,2451	5266	3603	1663
L05752	1	-46,5494401	-23,5441268	4128	0,0242	0,2451	7403	5019	2384
L05785	1	-46,4982329	-23,5898352	2069	0,0483	0,2451	3681	2817	864
L05786	1	-46,5327843	-23,5461447	1839	0,0544	0,2451	3271	2275	996
L05791	1	-46,5315630	-23,5480380	1380	0,0725	0,2451	2259	1735	524
L05796	2	-46,5581932	-23,5503944	4508	0,0444	0,4902	6964	5342	1622
L05888	1	-46,5855959	-23,4389881	3768	0,0265	0,2451	6719	4916	1803
L05946	1	-46,5642049	-23,5759686	2719	0,0368	0,2451	4371	3343	1028
L05947	1	-46,5795917	-23,5926018	3241	0,0309	0,2451	5895	4000	1895
L05955	2	-46,5775910	-23,5732024	1606	0,1245	0,4902	2687	2013	674
L05964	1	-46,6783620	-23,6167251	2994	0,0334	0,2451	5082	3353	1729
L06014	1	-46,6273692	-23,6096467	1882	0,0531	0,2451	3682	2300	1382
L06065	1	-46,6119497	-23,5892321	3011	0,0332	0,2451	5516	3638	1878
L06693	1	-46,7113227	-23,6667443	640	0,1562	0,2451	1046	781	265
L07592	1	-46,6354223	-23,6496780	2351	0,0425	0,2451	4295	2944	1351
L07596	2	-46,6408930	-23,6522075	3383	0,0591	0,4902	6330	4133	2197
L07688	1	-46,4915180	-23,5074055	1641	0,0609	0,2451	3150	2085	1065
L07690	1	-46,4825992	-23,5059494	1295	0,0772	0,2451	2134	1637	497
L07719	1	-46,7107558	-23,4817647	814	0,1229	0,2451	1337	1027	310
L07720	1	-46,6906776	-23,4886152	2477	0,0404	0,2451	4263	2952	1311
L08227	1	-46,5050519	-23,5458928	1879	0,0532	0,2451	3494	2368	1126
L08229	2	-46,4982241	-23,5504038	2927	0,0683	0,4902	5051	3739	1312
L08230	1	-46,5221139	-23,5406331	2745	0,0364	0,2451	5219	3471	1748
L08236	1	-46,4990570	-23,5735096	2833	0,0353	0,2451	4657	3582	1075
L08242	3	-46,5020045	-23,5414163	2155	0,1392	0,7353	4183	2801	1382
L08245	1	-46,4984607	-23,5625811	3684	0,0271	0,2451	6646	4873	1773
L08252	1	-46,4996257	-23,5474295	2491	0,0401	0,2451	4201	3182	1019
L08284	1	-46,5527913	-23,5614550	3182	0,0314	0,2451	5966	3914	2052
L08286	1	-46,5228208	-23,5778668	2051	0,0488	0,2451	3585	2631	954
L08320	1	-46,5866345	-23,4663679	2991	0,0334	0,2451	5086	3758	1328
L08323	1	-46,5165662	-23,5921930	428	0,2336	0,2451	754	581	173
L08404	1	-46,3922999	-23,4852473	2625	0,0381	0,2451	4589	3442	1147
L08410	2	-46,3944620	-23,4902290	2920	0,0685	0,4902	5431	3694	1737
L08421	1	-46,3873807	-23,5128291	521	0,1919	0,2451	935	707	228
L08866	1	-46,6833302	-23,7528996	2031	0,0492	0,2451	3523	2593	930
L08873	1	-46,6837456	-23,7546935	3538	0,0283	0,2451	6358	4435	1923
L08917	1	-46,7474059	-23,6737216	2586	0,0387	0,2451	4466	3168	1298
L08955	1	-46,7671835	-23,6773241	4100	0,0244	0,2451	7105	5165	1940
L09046	2	-46,4451983	-23,6306149	3152	0,0635	0,4902	5392	4009	1383
L09060	1	-46,4915612	-23,5952026	2836	0,0353	0,2451	5085	3699	1386
L09063	1	-46,4785920	-23,6052751	3582	0,0279	0,2451	6447	4604	1843
L09070	1	-46,4466713	-23,6086516	4014	0,0249	0,2451	7074	5208	1866
L09075	1	-46,4854339	-23,6126187	1607	0,0622	0,2451	2865	2088	777
L09076	1	-46,4921282	-23,5878134	2168	0,0461	0,2451	4122	2686	1436
L09082	1	-46,4571907	-23,6309235	1515	0,066	0,2451	2682	1961	721
L09084	1	-46,4866751	-23,5892640	2723	0,0367	0,2451	4672	3532	1140
L09085	1	-46,4719716	-23,6057020	3309	0,0302	0,2451	6370	4187	2183
L09086	1	-46,4803863	-23,6171679	501	0,1996	0,2451	831	661	170
L09087	1	-46,4867752	-23,5894497	1371	0,0729	0,2451	2324	1804	520
L09093	1	-46,6891450	-23,4480420	1559	0,0641	0,2451	2715	1914	801
L09116	1	-46,6837802	-23,4832228	2960	0,0338	0,2451	5049	3734	1315
L09128	1	-46,6783972	-23,4823657	2002	0,05	0,2451	3343	2538	805
L09668	1	-46,7091840	-23,4464830	1307	0,0765	0,2451	2147	1657	490
L09752	1	-46,4842871	-23,5209250	1143	0,0875	0,2451	2000	1551	449
L09756	1	-46,5035712	-23,5158497	3180	0,0314	0,2451	5593	4105	1488
L09757	3	-46,4799583	-23,5263781	2015	0,1489	0,7353	3665	2771	894
L09758	1	-46,4840632	-23,5126634	2966	0,0337	0,2451	5485	3744	1741
L09761	8	-46,4834160	-23,5237351	1233	0,6488	1,9608	2151	1608	543
L09764	2	-46,4678340	-23,5355610	3575	0,0559	0,4902	6685	4497	2188
L09768	3	-46,4792021	-23,5282349	2012	0,1491	0,7353	3434	2685	749
L09769	1	-46,4765549	-23,5327711	2321	0,0431	0,2451	4173	2902	1271
L09773	23	-46,4860731	-23,5267363	2945	0,781	5,6373	4827	3741	1086
L09779	1	-46,4772755	-23,5183011	634	0,1577	0,2451	1123	860	263
L09780	1	-46,4939673	-23,5195032	2596	0,0385	0,2451	4433	3417	1016
L09783	1	-46,4752420	-23,5235190	4447	0,0225	0,2451	7421	5633	1788
L09961	1	-46,4759909	-23,5120600	2556	0,0391	0,2451	4311	3397	914
L09969	1	-46,4652162	-23,5011465	2204	0,0454	0,2451	3832	2745	1087
L10161	2	-46,4041961	-23,5809663	1876	0,1066	0,4902	3205	2396	809
L10164	10	-46,4000259	-23,5999090	3063	0,3265	2,451	5283	3824	1459
L10166	1	-46,4073307	-23,5666032	3346	0,0299	0,2451	5875	4258	1617
L10170	2	-46,4029258	-23,5791123	3594	0,0556	0,4902	6150	4576	1574
L10171	2	-46,3962457	-23,5991319	1706	0,1172	0,4902	2893	2180	713
L10174	1	-46,4394834	-23,5946999	2672	0,0374	0,2451	4565	3397	1168
L10177	1	-46,4190164	-23,6146521	2988	0,0335	0,2451	5509	4074	1435
L10178	24	-46,4094033	-23,5851215	3329	0,7209	5,8824	5585	4174	1411
L10180	1	-46,4062685	-23,5831792	1633	0,0612	0,2451	2765	2101	664
L10182	134	-46,4165108	-23,5924694	2887	4,6415	32,8431	4796	3618	1178
L10183	5	-46,3957789	-23,5915363	2543	0,1966	1,2255	4545	3320	1225
L10185	1	-46,4231640	-23,5985590	1231	0,0812	0,2451	2022	1583	439
L10188	2	-46,4191310	-23,5953088	1697	0,1179	0,4902	2949	2195	754
L10189	2	-46,4043421	-23,6017481	2151	0,093	0,4902	3771	2855	916
L10190	10	-46,4063933	-23,5926393	3470	0,2882	2,451	6064	4335	1729
L10191	40	-46,4081455	-23,5938557	2942	1,3596	9,8039	4794	3605	1189
L10192	4	-46,4115162	-23,5827476	2764	0,1447	0,9804	4732	3574	1158
L10195	1	-46,4005020	-23,5933829	2950	0,0339	0,2451	5001	3717	1284
L10198	5	-46,4014360	-23,5912442	4177	0,1197	1,2255	6889	5203	1686
L10199	5	-46,3975433	-23,6095547	3461	0,1445	1,2255	5769	4227	1542
L10200	18	-46,4077080	-23,5934470	2037	0,8837	4,4118	3462	2558	904
L10209	1	-46,4412380	-23,5517239	2465	0,0406	0,2451	4185	3101	1084
L10219	3	-46,4216949	-23,5880443	2893	0,1037	0,7353	4936	3772	1164
L10610	1	-46,4812016	-23,5483731	3878	0,0258	0,2451	6716	5098	1618
L10618	3	-46,4876555	-23,5528722	3863	0,0777	0,7353	7214	4790	2424
L10666	1	-46,6654170	-23,6770470	2516	0,0397	0,2451	4411	3162	1249
L10673	1	-46,6724425	-23,6892896	1555	0,0643	0,2451	2572	1965	607
L10747	1	-46,5153124	-23,6258598	2667	0,0375	0,2451	4720	3501	1219
L10751	1	-46,5061790	-23,6170608	3511	0,0285	0,2451	6321	4673	1648
L10766	2	-46,4983849	-23,5987055	3171	0,0631	0,4902	5783	4036	1747
L10767	2	-46,5096661	-23,6117172	1613	0,124	0,4902	2708	2079	629
