cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00003	3	-46,6455650	-23,5547500	3290	0,0912	0,7732	5696	3792	1904
L00007	1	-46,6432717	-23,5529543	1958	0,0511	0,2577	3791	2317	1474
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,2577	6983	4278	2705
L00009	1	-46,6401698	-23,5538581	823	0,1215	0,2577	1409	943	466
L00013	3	-46,6421456	-23,5572933	2899	0,1035	0,7732	5416	3426	1990
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,2577	5297	3132	2165
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,2577	5259	3125	2134
L00021	2	-46,6419109	-23,5592168	3437	0,0582	0,5155	6548	4013	2535
L00022	2	-46,6521240	-23,5458002	10350	0,0193	0,5155	18525	11583	6942
L00025	1	-46,6380154	-23,5642161	2151	0,0465	0,2577	3803	2547	1256
L00026	1	-46,6351446	-23,5631017	1170	0,0855	0,2577	2088	1410	678
L00027	2	-46,6368084	-23,5498480	2635	0,0759	0,5155	5430	3072	2358
L00034	1	-46,6605264	-23,5415277	5254	0,019	0,2577	7993	5767	2226
L00041	1	-46,6798996	-23,5306990	2132	0,0469	0,2577	3296	2395	901
L00042	1	-46,6513283	-23,5415864	1556	0,0643	0,2577	2631	1843	788
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,2577	9323	6035	3288
L00067	1	-46,6107088	-23,5252045	1435	0,0697	0,2577	2765	1755	1010
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,2577	8045	4955	3090
L00080	1	-46,5869070	-23,5756756	3323	0,0301	0,2577	5823	3854	1969
L00081	2	-46,5848689	-23,5392025	3560	0,0562	0,5155	5984	4200	1784
L00093	2	-46,5813248	-23,5619799	3706	0,054	0,5155	6970	4489	2481
L00102	1	-46,5979424	-23,5532296	4622	0,0216	0,2577	8563	5548	3015
L00123	1	-46,6731135	-23,5792999	2804	0,0357	0,2577	4967	3078	1889
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,2577	11459	6999	4460
L00138	1	-46,6259630	-23,5630260	2096	0,0477	0,2577	3469	2565	904
L00141	1	-46,6308086	-23,5650323	5144	0,0194	0,2577	9743	6059	3684
L00145	1	-46,6350220	-23,5881065	3012	0,0332	0,2577	5263	3410	1853
L00147	1	-46,6251868	-23,5770987	3004	0,0333	0,2577	5565	3493	2072
L00156	1	-46,6397771	-23,5727404	4608	0,0217	0,2577	8784	5242	3542
L00550	1	-46,7755198	-23,6742186	2704	0,037	0,2577	4775	3448	1327
L05559	1	-46,4198222	-23,5098866	1943	0,0515	0,2577	3330	2529	801
L05566	1	-46,4352447	-23,5020281	2851	0,0351	0,2577	4735	3521	1214
L05568	3	-46,4300003	-23,4998815	2971	0,101	0,7732	5227	3654	1573
L05572	1	-46,4193422	-23,5228558	2139	0,0468	0,2577	3993	2664	1329
L05573	1	-46,4192720	-23,4963124	2328	0,043	0,2577	4347	2982	1365
L05581	1	-46,4522081	-23,5171617	3935	0,0254	0,2577	6924	5015	1909
L05590	1	-46,4560761	-23,5496358	3285	0,0304	0,2577	6239	4284	1955
L05593	3	-46,4528982	-23,5182408	3494	0,0859	0,7732	6309	4695	1614
L05596	1	-46,4536228	-23,5552304	3671	0,0272	0,2577	6672	4852	1820
L05597	1	-46,4601240	-23,5260232	3143	0,0318	0,2577	5422	4051	1371
L05598	1	-46,4625526	-23,5168760	2035	0,0491	0,2577	3550	2651	899
L05602	1	-46,4402958	-23,5148095	3394	0,0295	0,2577	6298	4377	1921
L05610	2	-46,4554689	-23,5282555	6146	0,0325	0,5155	10609	7693	2916
L05631	1	-46,6446670	-23,4910726	1627	0,0615	0,2577	3161	2027	1134
L05720	1	-46,5018743	-23,5298075	832	0,1202	0,2577	1456	1081	375
L05733	1	-46,5480210	-23,5212900	2116	0,0473	0,2577	4002	2723	1279
L05739	1	-46,4991515	-23,5296706	3000	0,0333	0,2577	5527	3909	1618
L05756	1	-46,5564250	-23,5331500	2613	0,0383	0,2577	4568	3155	1413
L05764	2	-46,5738227	-23,5337115	1764	0,1134	0,5155	3163	2131	1032
L05772	1	-46,5679267	-23,5325642	2271	0,044	0,2577	4284	2700	1584
L05775	2	-46,5662223	-23,5472777	2792	0,0716	0,5155	5162	3308	1854
L05797	3	-46,5602785	-23,5363132	5811	0,0516	0,7732	9848	6857	2991
L05863	1	-46,6642085	-23,4767719	3809	0,0263	0,2577	7192	4768	2424
L05932	2	-46,5660422	-23,6040127	2344	0,0853	0,5155	4184	2990	1194
L05933	1	-46,5471739	-23,5927268	3403	0,0294	0,2577	6295	4294	2001
L05956	1	-46,5394300	-23,5959940	2022	0,0495	0,2577	3634	2528	1106
L06031	1	-46,5834188	-23,6215419	2911	0,0344	0,2577	5114	3726	1388
L06049	1	-46,5971870	-23,6124820	2991	0,0334	0,2577	5347	3706	1641
L07591	1	-46,6361421	-23,6802843	2687	0,0372	0,2577	4849	3510	1339
L07667	1	-46,7261678	-23,4829058	2616	0,0382	0,2577	4926	3233	1693
L07681	1	-46,7278522	-23,4974960	3589	0,0279	0,2577	6232	4432	1800
L07697	2	-46,4708990	-23,4817559	479	0,4175	0,5155	866	610	256
L07702	1	-46,4749626	-23,4875229	2327	0,043	0,2577	4070	2936	1134
L07739	1	-46,7128806	-23,4857983	3106	0,0322	0,2577	5261	3930	1331
L07750	2	-46,7708337	-23,6299871	13605	0,0147	0,5155	25821	17652	8169
L07761	1	-46,7758320	-23,6436922	4304	0,0232	0,2577	7784	5385	2399
L07773	1	-46,7538973	-23,6349349	4025	0,0248	0,2577	6657	5039	1618
L08204	1	-46,7468132	-23,6034358	3032	0,033	0,2577	5249	3566	1683
