cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00006	2	-46,6471893	-23,5496488	4359	0,0459	1,2422	8358	5061	3297
L00009	1	-46,6401698	-23,5538581	823	0,1215	0,6211	1409	943	466
L00011	2	-46,6535747	-23,5498948	3808	0,0525	1,2422	7072	4407	2665
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,6211	5297	3132	2165
L00151	1	-46,6209441	-23,5882398	2949	0,0339	0,6211	4478	3358	1120
L05550	1	-46,6945706	-23,6304883	5120	0,0195	0,6211	8978	5840	3138
L05615	1	-46,6333996	-23,5019647	1282	0,078	0,6211	2094	1527	567
L05621	2	-46,6332236	-23,4899666	5271	0,0379	1,2422	8744	6129	2615
L05626	1	-46,6278934	-23,4963679	2077	0,0481	0,6211	3746	2434	1312
L05629	2	-46,6242804	-23,4770119	2556	0,0782	1,2422	4643	3161	1482
L05631	1	-46,6446670	-23,4910726	1627	0,0615	0,6211	3161	2027	1134
L05703	1	-46,6962316	-23,5650597	1732	0,0577	0,6211	3356	1964	1392
L05714	1	-46,6896585	-23,5656255	1173	0,0853	0,6211	1972	1294	678
L05759	1	-46,5311184	-23,5605521	2832	0,0353	0,6211	5109	3500	1609
L05765	1	-46,5279368	-23,5603880	519	0,1927	0,6211	884	666	218
L05794	1	-46,5433831	-23,5503063	4135	0,0242	0,6211	6973	5037	1936
L05816	2	-46,5824545	-23,5151915	4574	0,0437	1,2422	8444	5563	2881
L05841	2	-46,6618639	-23,5067043	2520	0,0794	1,2422	4281	2973	1308
L05842	1	-46,6566659	-23,5007326	1397	0,0716	0,6211	2475	1764	711
L05848	1	-46,6506305	-23,5026837	3720	0,0269	0,6211	6771	4492	2279
L05851	1	-46,6632938	-23,5087770	4242	0,0236	0,6211	7237	4966	2271
L05853	2	-46,6576552	-23,4676225	2016	0,0992	1,2422	3658	2494	1164
L05854	4	-46,6559225	-23,4706050	3589	0,1115	2,4845	6533	4491	2042
L05856	1	-46,6576980	-23,5105636	3626	0,0276	0,6211	6816	4472	2344
L05863	1	-46,6642085	-23,4767719	3809	0,0263	0,6211	7192	4768	2424
L05864	2	-46,6729030	-23,5109220	2299	0,087	1,2422	4247	2858	1389
L05865	2	-46,6698247	-23,4725347	947	0,2112	1,2422	1605	1205	400
L05867	1	-46,6611936	-23,4979397	2374	0,0421	0,6211	4516	2931	1585
L05873	5	-46,6545485	-23,4716736	1878	0,2662	3,1056	2977	2288	689
L05881	1	-46,6182089	-23,4725956	2680	0,0373	0,6211	4271	3113	1158
L05885	3	-46,6064554	-23,4772146	3669	0,0818	1,8634	6325	4434	1891
L05895	2	-46,5968505	-23,4651601	3059	0,0654	1,2422	5869	3863	2006
L05900	1	-46,5803132	-23,4357702	2733	0,0366	0,6211	5108	3666	1442
L05905	5	-46,5872324	-23,4196031	2830	0,1767	3,1056	5422	3879	1543
L05908	1	-46,5774727	-23,4379629	2559	0,0391	0,6211	4721	3325	1396
