cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00066	1	-46,6126881	-23,5372312	2446	0,0409	1,5152	4500	2909	1591
L05637	1	-46,6267268	-23,5135649	1530	0,0654	1,5152	2947	1815	1132
L05654	1	-46,7056393	-23,5213772	2148	0,0466	1,5152	4003	2538	1465
L05663	1	-46,7053463	-23,5246614	2188	0,0457	1,5152	4237	2584	1653
L05742	1	-46,5211173	-23,5214041	2853	0,0351	1,5152	5266	3603	1663
L05849	1	-46,6657859	-23,4885740	3928	0,0255	1,5152	7229	4920	2309
L05976	1	-46,6786792	-23,6169250	3059	0,0327	1,5152	4637	3422	1215
L07720	1	-46,6906776	-23,4886152	2477	0,0404	1,5152	4263	2952	1311
L08244	1	-46,4849359	-23,5443559	2408	0,0415	1,5152	4352	3219	1133
L09101	2	-46,6966832	-23,4469548	4193	0,0477	3,0303	7420	5285	2135
L09102	2	-46,6877814	-23,4600022	3235	0,0618	3,0303	5834	4249	1585
L09104	1	-46,6738756	-23,4613197	2864	0,0349	1,5152	4912	3725	1187
L09111	9	-46,6780978	-23,4504874	2994	0,3006	13,6364	5456	3938	1518
L09118	3	-46,6795279	-23,4641832	7883	0,0381	4,5455	15183	10348	4835
L09122	1	-46,6856934	-23,4537721	134	0,7463	1,5152	270	172	98
L09127	15	-46,6881097	-23,4507951	3748	0,4002	22,7273	6670	4918	1752
L09129	2	-46,6940812	-23,4585925	3967	0,0504	3,0303	6922	5126	1796
L09132	1	-46,6750425	-23,4517869	1995	0,0501	1,5152	3463	2543	920
L09134	10	-46,6848409	-23,4554709	3273	0,3055	15,1515	5723	4296	1427
L09140	5	-46,6847958	-23,4501963	1360	0,3676	7,5758	2370	1722	648
L09331	1	-46,7035072	-23,7651387	3604	0,0277	1,5152	6158	4583	1575
L09680	1	-46,7192925	-23,4350205	2678	0,0373	1,5152	4924	3572	1352
L09685	1	-46,7141265	-23,4344010	2433	0,0411	1,5152	4113	3094	1019
L10789	3	-46,6351309	-23,4713832	3445	0,0871	4,5455	6308	4270	2038
