cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,1647	7072	4407	2665
L00041	2	-46,6798996	-23,5306990	2132	0,0938	0,3295	3296	2395	901
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,1647	8065	5186	2879
L00065	1	-46,6385252	-23,5376549	2229	0,0449	0,1647	4267	2744	1523
L00135	1	-46,6431906	-23,5719338	4487	0,0223	0,1647	7477	5015	2462
L00146	1	-46,6223857	-23,5681693	2480	0,0403	0,1647	4585	2913	1672
L00150	1	-46,6299014	-23,5758099	4050	0,0247	0,1647	6863	4657	2206
L00154	1	-46,6235069	-23,5745404	4329	0,0231	0,1647	7193	5134	2059
L00555	1	-46,7999759	-23,6870539	3475	0,0288	0,1647	6174	4460	1714
L05552	3	-46,4488381	-23,4906612	2090	0,1435	0,4942	3620	2620	1000
L05553	4	-46,4351534	-23,5022679	3506	0,1141	0,659	6236	4381	1855
L05554	1	-46,4441795	-23,4982353	3546	0,0282	0,1647	6065	4260	1805
L05557	1	-46,4452179	-23,4993366	2352	0,0425	0,1647	3986	2897	1089
L05558	1	-46,4234630	-23,5085168	3758	0,0266	0,1647	6529	4735	1794
L05561	1	-46,4389924	-23,5145862	3097	0,0323	0,1647	5489	4147	1342
L05563	2	-46,4331534	-23,4945484	2753	0,0726	0,3295	4924	3393	1531
L05564	3	-46,4259779	-23,5162635	4083	0,0735	0,4942	6687	5009	1678
L05565	2	-46,4195668	-23,5172129	2191	0,0913	0,3295	3749	2826	923
L05566	1	-46,4352447	-23,5020281	2851	0,0351	0,1647	4735	3521	1214
L05567	1	-46,4215117	-23,5013996	3622	0,0276	0,1647	6083	4594	1489
L05568	5	-46,4300003	-23,4998815	2971	0,1683	0,8237	5227	3654	1573
L05570	6	-46,4345329	-23,5094734	3688	0,1627	0,9885	6309	4565	1744
L05571	4	-46,4218866	-23,5204965	2679	0,1493	0,659	4440	3324	1116
L05583	3	-46,4325849	-23,5321585	3488	0,086	0,4942	6128	4395	1733
L05584	1	-46,4623208	-23,5289299	3239	0,0309	0,1647	5568	4191	1377
L05585	1	-46,4451845	-23,5472188	2365	0,0423	0,1647	4123	3094	1029
L05587	2	-46,4443497	-23,5387667	3161	0,0633	0,3295	5471	4127	1344
L05589	1	-46,4544868	-23,5471412	2039	0,049	0,1647	3417	2606	811
L05592	1	-46,4528483	-23,5265608	3373	0,0296	0,1647	6254	4448	1806
L05593	1	-46,4528982	-23,5182408	3494	0,0286	0,1647	6309	4695	1614
L05594	1	-46,4618318	-23,5393802	2228	0,0449	0,1647	3850	2859	991
L05599	1	-46,4443340	-23,5321000	3793	0,0264	0,1647	6860	4712	2148
L05600	1	-46,4589975	-23,5302914	3067	0,0326	0,1647	5494	3916	1578
L05604	1	-46,4434311	-23,5313295	1136	0,088	0,1647	1958	1485	473
L05608	1	-46,4565300	-23,5399000	1319	0,0758	0,1647	2270	1658	612
L05610	4	-46,4554689	-23,5282555	6146	0,0651	0,659	10609	7693	2916
L05615	1	-46,6333996	-23,5019647	1282	0,078	0,1647	2094	1527	567
L05624	1	-46,6161131	-23,5004170	2563	0,039	0,1647	4896	3055	1841
L05720	2	-46,5018743	-23,5298075	832	0,2404	0,3295	1456	1081	375
L05722	7	-46,5000225	-23,5253888	2828	0,2475	1,1532	4665	3627	1038
L05723	2	-46,5331739	-23,5220975	2306	0,0867	0,3295	3823	2837	986
L05726	2	-46,4882070	-23,5327782	863	0,2317	0,3295	1543	1100	443
L05727	3	-46,5492590	-23,5262720	2649	0,1133	0,4942	4685	3161	1524
L05728	8	-46,5180445	-23,5238771	2335	0,3426	1,318	4138	2919	1219
L05729	1	-46,5386362	-23,5224127	3595	0,0278	0,1647	7112	4601	2511
L05731	1	-46,5285678	-23,5250739	3128	0,032	0,1647	5872	3858	2014
L05735	1	-46,4932640	-23,5309670	2238	0,0447	0,1647	4145	2862	1283
L05736	4	-46,5179226	-23,5228086	3663	0,1092	0,659	6711	4640	2071
L05737	13	-46,4989941	-23,5275262	2079	0,6253	2,1417	3862	2632	1230
L05739	7	-46,4991515	-23,5296706	3000	0,2333	1,1532	5527	3909	1618
L05740	4	-46,5095310	-23,5250203	3929	0,1018	0,659	7326	4889	2437
L05742	1	-46,5211173	-23,5214041	2853	0,0351	0,1647	5266	3603	1663
L05760	1	-46,4984532	-23,5847269	4733	0,0211	0,1647	8851	6109	2742
L05795	1	-46,5630428	-23,5455348	2537	0,0394	0,1647	4283	2957	1326
L05808	1	-46,5892786	-23,5184715	2964	0,0337	0,1647	5799	3706	2093
L05930	1	-46,5620004	-23,5788819	2521	0,0397	0,1647	4889	3094	1795
L05938	1	-46,5607547	-23,6059835	2674	0,0374	0,1647	5130	3444	1686
L05943	1	-46,5480300	-23,5998140	3286	0,0304	0,1647	5695	4099	1596
L05950	1	-46,5543296	-23,5793590	3947	0,0253	0,1647	7538	4962	2576
L06050	1	-46,5889064	-23,6343276	2672	0,0374	0,1647	4589	3469	1120
L07688	1	-46,4915180	-23,5074055	1641	0,0609	0,1647	3150	2085	1065
