cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07632	32	-46,7839050	-23,6244910	2761	1,159	1,3406	4200	3119	1081
L07633	48	-46,7612065	-23,6113726	4597	1,0442	2,0109	7420	5442	1978
L07634	8	-46,7572310	-23,6033314	1396	0,5731	0,3351	2340	1665	675
L07635	23	-46,7565270	-23,6067700	2480	0,9274	0,9636	4281	2918	1363
L07636	26	-46,7626063	-23,6048929	2672	0,9731	1,0892	4702	3189	1513
L07637	9	-46,7600020	-23,6002290	1777	0,5065	0,377	2922	2049	873
L07638	27	-46,7827528	-23,6145247	2870	0,9408	1,1311	4677	3286	1391
L07639	41	-46,7827047	-23,6201088	3405	1,2041	1,7176	5349	3964	1385
L07640	39	-46,7809841	-23,6226534	3206	1,2165	1,6339	5046	3616	1430
L07641	12	-46,7632454	-23,5998904	2449	0,49	0,5027	4260	2966	1294
L07642	33	-46,7643999	-23,6176012	2434	1,3558	1,3825	4058	2818	1240
L07643	63	-46,7780760	-23,6094850	3390	1,8584	2,6393	5433	4004	1429
L07644	21	-46,7676191	-23,6003759	2198	0,9554	0,8798	3678	2641	1037
L07645	26	-46,7845487	-23,6207858	2606	0,9977	1,0892	4218	3008	1210
L07646	26	-46,7761739	-23,6267542	3367	0,7722	1,0892	4997	3835	1162
L07647	22	-46,7717036	-23,6229532	2387	0,9217	0,9217	3466	2711	755
L07648	2	-46,7739782	-23,6251831	562	0,3559	0,0838	808	644	164
L07649	31	-46,7706746	-23,6192388	2831	1,095	1,2987	4245	3289	956
L07650	19	-46,7735554	-23,6255284	2455	0,7739	0,796	3673	2844	829
L07651	5	-46,7548499	-23,6013794	491	1,0183	0,2095	680	562	118
L07652	16	-46,7595412	-23,6022576	1946	0,8222	0,6703	3143	2320	823
L07653	7	-46,7669098	-23,6173697	1711	0,4091	0,2933	2633	2014	619
L07654	7	-46,7797112	-23,6241566	1102	0,6352	0,2933	1624	1264	360
L07655	3	-46,7822374	-23,6198911	341	0,8798	0,1257	487	399	88
L07656	21	-46,7636702	-23,6131931	1337	1,5707	0,8798	1921	1551	370
L07657	12	-46,7659123	-23,6054155	1516	0,7916	0,5027	2349	1839	510
L07658	23	-46,7823220	-23,6158939	1749	1,315	0,9636	2759	2034	725
L10579	73	-46,7977850	-23,6318560	3846	1,8981	3,0582	5743	4381	1362
L10580	49	-46,7981108	-23,6391481	2329	2,1039	2,0528	3699	2615	1084
L10581	61	-46,7908036	-23,6354525	3575	1,7063	2,5555	5342	4185	1157
L10582	43	-46,7837999	-23,6324890	3100	1,3871	1,8014	4589	3488	1101
L10583	44	-46,7940695	-23,6454745	2922	1,5058	1,8433	4384	3329	1055
L10584	52	-46,7859320	-23,6346026	3061	1,6988	2,1785	4589	3551	1038
L10585	41	-46,7974580	-23,6235430	3484	1,1768	1,7176	5004	3946	1058
L10586	3	-46,7963236	-23,6113818	1098	0,2732	0,1257	1542	1213	329
L10587	32	-46,8039420	-23,6189720	3530	0,9065	1,3406	5047	4042	1005
L10588	195	-46,8009504	-23,6373445	4245	4,5936	8,1693	6570	4764	1806
L10589	29	-46,8072552	-23,6270088	2689	1,0785	1,2149	3872	3019	853
L10590	165	-46,8073270	-23,6405439	3740	4,4118	6,9124	5849	4307	1542
L10591	100	-46,8039612	-23,6330861	2777	3,601	4,1894	4080	3066	1014
L10592	10	-46,7863878	-23,6345081	1261	0,793	0,4189	1906	1499	407
L10593	73	-46,7994842	-23,6414914	2083	3,5046	3,0582	3124	2429	695
L10594	29	-46,7853594	-23,6290943	1942	1,4933	1,2149	3077	2204	873
L10595	93	-46,7960960	-23,6419739	3840	2,4219	3,8961	5670	4383	1287
L10596	34	-46,8008753	-23,6256588	3185	1,0675	1,4244	4598	3614	984
L10597	22	-46,8009875	-23,6245414	1440	1,5278	0,9217	2047	1666	381
L10598	74	-46,7916728	-23,6338000	3538	2,0916	3,1001	5399	3980	1419
L10599	50	-46,8098529	-23,6306390	3008	1,6622	2,0947	4278	3395	883
L10600	24	-46,7840828	-23,6325436	2719	0,8827	1,0054	4033	3100	933
L10601	144	-46,8006497	-23,6375795	3366	4,2781	6,0327	5039	3847	1192
L10602	40	-46,7901850	-23,6228220	2391	1,6729	1,6757	3468	2743	725
L10603	48	-46,7957830	-23,6441530	1398	3,4335	2,0109	1953	1532	421
L10604	18	-46,7941453	-23,6322846	1565	1,1502	0,7541	2299	1792	507
L10605	62	-46,8001350	-23,6299000	3200	1,9375	2,5974	4646	3629	1017
L10606	13	-46,7921549	-23,6189086	1201	1,0824	0,5446	1739	1392	347
L10607	91	-46,7988990	-23,6410980	2412	3,7728	3,8123	3976	2760	1216
L10608	73	-46,8093957	-23,6268763	3319	2,1995	3,0582	4548	3686	862
