cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07632	12	-46,7839050	-23,6244910	2761	0,4346	1,3015	4200	3119	1081
L07633	47	-46,7612065	-23,6113726	4597	1,0224	5,0976	7420	5442	1978
L07634	45	-46,7572310	-23,6033314	1396	3,2235	4,8807	2340	1665	675
L07635	38	-46,7565270	-23,6067700	2480	1,5323	4,1215	4281	2918	1363
L07636	30	-46,7626063	-23,6048929	2672	1,1228	3,2538	4702	3189	1513
L07637	41	-46,7600020	-23,6002290	1777	2,3073	4,4469	2922	2049	873
L07638	21	-46,7827528	-23,6145247	2870	0,7317	2,2777	4677	3286	1391
L07639	42	-46,7827047	-23,6201088	3405	1,2335	4,5553	5349	3964	1385
L07640	23	-46,7809841	-23,6226534	3206	0,7174	2,4946	5046	3616	1430
L07641	68	-46,7632454	-23,5998904	2449	2,7766	7,3753	4260	2966	1294
L07642	17	-46,7643999	-23,6176012	2434	0,6984	1,8438	4058	2818	1240
L07643	16	-46,7780760	-23,6094850	3390	0,472	1,7354	5433	4004	1429
L07644	28	-46,7676191	-23,6003759	2198	1,2739	3,0369	3678	2641	1037
L07645	24	-46,7845487	-23,6207858	2606	0,921	2,603	4218	3008	1210
L07646	15	-46,7761739	-23,6267542	3367	0,4455	1,6269	4997	3835	1162
L07647	17	-46,7717036	-23,6229532	2387	0,7122	1,8438	3466	2711	755
L07649	21	-46,7706746	-23,6192388	2831	0,7418	2,2777	4245	3289	956
L07650	18	-46,7735554	-23,6255284	2455	0,7332	1,9523	3673	2844	829
L07651	19	-46,7548499	-23,6013794	491	3,8697	2,0607	680	562	118
L07652	46	-46,7595412	-23,6022576	1946	2,3638	4,9892	3143	2320	823
L07653	13	-46,7669098	-23,6173697	1711	0,7598	1,41	2633	2014	619
L07654	8	-46,7797112	-23,6241566	1102	0,726	0,8677	1624	1264	360
L07655	7	-46,7822374	-23,6198911	341	2,0528	0,7592	487	399	88
L07656	8	-46,7636702	-23,6131931	1337	0,5984	0,8677	1921	1551	370
L07657	13	-46,7659123	-23,6054155	1516	0,8575	1,41	2349	1839	510
L07658	15	-46,7823220	-23,6158939	1749	0,8576	1,6269	2759	2034	725
L10579	11	-46,7977850	-23,6318560	3846	0,286	1,1931	5743	4381	1362
L10580	3	-46,7981108	-23,6391481	2329	0,1288	0,3254	3699	2615	1084
L10581	10	-46,7908036	-23,6354525	3575	0,2797	1,0846	5342	4185	1157
L10582	8	-46,7837999	-23,6324890	3100	0,2581	0,8677	4589	3488	1101
L10583	7	-46,7940695	-23,6454745	2922	0,2396	0,7592	4384	3329	1055
L10584	12	-46,7859320	-23,6346026	3061	0,392	1,3015	4589	3551	1038
L10585	9	-46,7974580	-23,6235430	3484	0,2583	0,9761	5004	3946	1058
L10586	2	-46,7963236	-23,6113818	1098	0,1821	0,2169	1542	1213	329
L10587	5	-46,8039420	-23,6189720	3530	0,1416	0,5423	5047	4042	1005
L10588	14	-46,8009504	-23,6373445	4245	0,3298	1,5184	6570	4764	1806
L10589	8	-46,8072552	-23,6270088	2689	0,2975	0,8677	3872	3019	853
L10590	10	-46,8073270	-23,6405439	3740	0,2674	1,0846	5849	4307	1542
L10591	12	-46,8039612	-23,6330861	2777	0,4321	1,3015	4080	3066	1014
L10592	3	-46,7863878	-23,6345081	1261	0,2379	0,3254	1906	1499	407
L10593	10	-46,7994842	-23,6414914	2083	0,4801	1,0846	3124	2429	695
L10594	16	-46,7853594	-23,6290943	1942	0,8239	1,7354	3077	2204	873
L10595	5	-46,7960960	-23,6419739	3840	0,1302	0,5423	5670	4383	1287
L10596	7	-46,8008753	-23,6256588	3185	0,2198	0,7592	4598	3614	984
L10597	2	-46,8009875	-23,6245414	1440	0,1389	0,2169	2047	1666	381
L10598	13	-46,7916728	-23,6338000	3538	0,3674	1,41	5399	3980	1419
L10599	16	-46,8098529	-23,6306390	3008	0,5319	1,7354	4278	3395	883
L10600	17	-46,7840828	-23,6325436	2719	0,6252	1,8438	4033	3100	933
L10601	14	-46,8006497	-23,6375795	3366	0,4159	1,5184	5039	3847	1192
L10602	15	-46,7901850	-23,6228220	2391	0,6274	1,6269	3468	2743	725
L10604	8	-46,7941453	-23,6322846	1565	0,5112	0,8677	2299	1792	507
L10605	11	-46,8001350	-23,6299000	3200	0,3438	1,1931	4646	3629	1017
L10606	13	-46,7921549	-23,6189086	1201	1,0824	1,41	1739	1392	347
L10607	6	-46,7988990	-23,6410980	2412	0,2488	0,6508	3976	2760	1216
L10608	3	-46,8093957	-23,6268763	3319	0,0904	0,3254	4548	3686	862
