cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07633	1	-46,7612065	-23,6113726	4597	0,0218	5,5556	7420	5442	1978
L07642	2	-46,7643999	-23,6176012	2434	0,0822	11,1111	4058	2818	1240
L07644	1	-46,7676191	-23,6003759	2198	0,0455	5,5556	3678	2641	1037
L07646	2	-46,7761739	-23,6267542	3367	0,0594	11,1111	4997	3835	1162
L07647	1	-46,7717036	-23,6229532	2387	0,0419	5,5556	3466	2711	755
L07649	2	-46,7706746	-23,6192388	2831	0,0706	11,1111	4245	3289	956
L07654	1	-46,7797112	-23,6241566	1102	0,0907	5,5556	1624	1264	360
L10579	1	-46,7977850	-23,6318560	3846	0,026	5,5556	5743	4381	1362
L10589	1	-46,8072552	-23,6270088	2689	0,0372	5,5556	3872	3019	853
L10590	1	-46,8073270	-23,6405439	3740	0,0267	5,5556	5849	4307	1542
L10595	2	-46,7960960	-23,6419739	3840	0,0521	11,1111	5670	4383	1287
L10599	1	-46,8098529	-23,6306390	3008	0,0332	5,5556	4278	3395	883
L10607	1	-46,7988990	-23,6410980	2412	0,0415	5,5556	3976	2760	1216
L10608	1	-46,8093957	-23,6268763	3319	0,0301	5,5556	4548	3686	862
