cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07632	22	-46,7839050	-23,6244910	2761	0,7968	4,8246	4200	3119	1081
L07633	11	-46,7612065	-23,6113726	4597	0,2393	2,4123	7420	5442	1978
L07634	6	-46,7572310	-23,6033314	1396	0,4298	1,3158	2340	1665	675
L07635	12	-46,7565270	-23,6067700	2480	0,4839	2,6316	4281	2918	1363
L07636	7	-46,7626063	-23,6048929	2672	0,262	1,5351	4702	3189	1513
L07637	5	-46,7600020	-23,6002290	1777	0,2814	1,0965	2922	2049	873
L07638	17	-46,7827528	-23,6145247	2870	0,5923	3,7281	4677	3286	1391
L07639	44	-46,7827047	-23,6201088	3405	1,2922	9,6491	5349	3964	1385
L07640	14	-46,7809841	-23,6226534	3206	0,4367	3,0702	5046	3616	1430
L07641	6	-46,7632454	-23,5998904	2449	0,245	1,3158	4260	2966	1294
L07642	3	-46,7643999	-23,6176012	2434	0,1233	0,6579	4058	2818	1240
L07643	5	-46,7780760	-23,6094850	3390	0,1475	1,0965	5433	4004	1429
L07644	5	-46,7676191	-23,6003759	2198	0,2275	1,0965	3678	2641	1037
L07645	31	-46,7845487	-23,6207858	2606	1,1896	6,7982	4218	3008	1210
L07646	6	-46,7761739	-23,6267542	3367	0,1782	1,3158	4997	3835	1162
L07647	11	-46,7717036	-23,6229532	2387	0,4608	2,4123	3466	2711	755
L07649	13	-46,7706746	-23,6192388	2831	0,4592	2,8509	4245	3289	956
L07650	1	-46,7735554	-23,6255284	2455	0,0407	0,2193	3673	2844	829
L07652	3	-46,7595412	-23,6022576	1946	0,1542	0,6579	3143	2320	823
L07654	4	-46,7797112	-23,6241566	1102	0,363	0,8772	1624	1264	360
L07655	4	-46,7822374	-23,6198911	341	1,173	0,8772	487	399	88
L07656	5	-46,7636702	-23,6131931	1337	0,374	1,0965	1921	1551	370
L07657	1	-46,7659123	-23,6054155	1516	0,066	0,2193	2349	1839	510
L07658	11	-46,7823220	-23,6158939	1749	0,6289	2,4123	2759	2034	725
L10579	9	-46,7977850	-23,6318560	3846	0,234	1,9737	5743	4381	1362
L10580	6	-46,7981108	-23,6391481	2329	0,2576	1,3158	3699	2615	1084
L10581	8	-46,7908036	-23,6354525	3575	0,2238	1,7544	5342	4185	1157
L10582	14	-46,7837999	-23,6324890	3100	0,4516	3,0702	4589	3488	1101
L10584	6	-46,7859320	-23,6346026	3061	0,196	1,3158	4589	3551	1038
L10585	5	-46,7974580	-23,6235430	3484	0,1435	1,0965	5004	3946	1058
L10587	12	-46,8039420	-23,6189720	3530	0,3399	2,6316	5047	4042	1005
L10588	9	-46,8009504	-23,6373445	4245	0,212	1,9737	6570	4764	1806
L10589	5	-46,8072552	-23,6270088	2689	0,1859	1,0965	3872	3019	853
L10590	5	-46,8073270	-23,6405439	3740	0,1337	1,0965	5849	4307	1542
L10591	3	-46,8039612	-23,6330861	2777	0,108	0,6579	4080	3066	1014
L10592	2	-46,7863878	-23,6345081	1261	0,1586	0,4386	1906	1499	407
L10593	7	-46,7994842	-23,6414914	2083	0,3361	1,5351	3124	2429	695
L10594	19	-46,7853594	-23,6290943	1942	0,9784	4,1667	3077	2204	873
L10595	10	-46,7960960	-23,6419739	3840	0,2604	2,193	5670	4383	1287
L10596	11	-46,8008753	-23,6256588	3185	0,3454	2,4123	4598	3614	984
L10597	3	-46,8009875	-23,6245414	1440	0,2083	0,6579	2047	1666	381
L10598	8	-46,7916728	-23,6338000	3538	0,2261	1,7544	5399	3980	1419
L10599	6	-46,8098529	-23,6306390	3008	0,1995	1,3158	4278	3395	883
L10600	2	-46,7840828	-23,6325436	2719	0,0736	0,4386	4033	3100	933
L10601	9	-46,8006497	-23,6375795	3366	0,2674	1,9737	5039	3847	1192
L10602	21	-46,7901850	-23,6228220	2391	0,8783	4,6053	3468	2743	725
L10604	2	-46,7941453	-23,6322846	1565	0,1278	0,4386	2299	1792	507
L10605	14	-46,8001350	-23,6299000	3200	0,4375	3,0702	4646	3629	1017
L10606	1	-46,7921549	-23,6189086	1201	0,0833	0,2193	1739	1392	347
L10607	10	-46,7988990	-23,6410980	2412	0,4146	2,193	3976	2760	1216
L10608	2	-46,8093957	-23,6268763	3319	0,0603	0,4386	4548	3686	862
