cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L06808	4	-47,0068760	-23,6054690	1629	0,2455	6,25	2180	1711	469
L06810	14	-47,0156080	-23,5949133	2579	0,5428	21,875	3310	2780	530
L06812	3	-47,0281356	-23,6080050	1686	0,1779	4,6875	2461	1822	639
L06813	5	-46,9924679	-23,6387782	1907	0,2622	7,8125	2851	2141	710
L06816	1	-47,0068260	-23,6136179	2648	0,0378	1,5625	3686	2875	811
L06824	4	-47,0239486	-23,6038925	1797	0,2226	6,25	2645	1925	720
L06826	5	-47,0067831	-23,6058237	965	0,5181	7,8125	1268	1048	220
L06828	4	-47,0257123	-23,6120706	492	0,813	6,25	664	548	116
L06829	7	-47,0233445	-23,6000245	891	0,7856	10,9375	1138	949	189
L06832	8	-47,0286769	-23,5980218	1727	0,4632	12,5	2211	1859	352
L06834	1	-47,0426049	-23,6131082	730	0,137	1,5625	1005	816	189
L06836	1	-47,0160766	-23,6083390	1650	0,0606	1,5625	2104	1788	316
L06843	1	-46,9920520	-23,6400182	1224	0,0817	1,5625	1843	1411	432
L06845	6	-47,0166799	-23,5962607	1016	0,5906	9,375	1300	1112	188
