cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L06808	14	-47,0068760	-23,6054690	1629	0,8594	6,0345	2180	1711	469
L06810	9	-47,0156080	-23,5949133	2579	0,349	3,8793	3310	2780	530
L06811	1	-47,0158891	-23,6795069	933	0,1072	0,431	1335	1069	266
L06812	21	-47,0281356	-23,6080050	1686	1,2456	9,0517	2461	1822	639
L06813	12	-46,9924679	-23,6387782	1907	0,6293	5,1724	2851	2141	710
L06816	10	-47,0068260	-23,6136179	2648	0,3776	4,3103	3686	2875	811
L06818	17	-47,0432984	-23,6136185	805	2,1118	7,3276	1140	868	272
L06824	14	-47,0239486	-23,6038925	1797	0,7791	6,0345	2645	1925	720
L06825	2	-47,0036675	-23,6495489	2142	0,0934	0,8621	2869	2364	505
L06826	3	-47,0067831	-23,6058237	965	0,3109	1,2931	1268	1048	220
L06828	7	-47,0257123	-23,6120706	492	1,4228	3,0172	664	548	116
L06829	13	-47,0233445	-23,6000245	891	1,459	5,6034	1138	949	189
L06832	5	-47,0286769	-23,5980218	1727	0,2895	2,1552	2211	1859	352
L06834	25	-47,0426049	-23,6131082	730	3,4247	10,7759	1005	816	189
L06836	27	-47,0160766	-23,6083390	1650	1,6364	11,6379	2104	1788	316
L06838	1	-47,0065488	-23,5841899	702	0,1425	0,431	825	732	93
L06840	19	-47,0220476	-23,6220434	1146	1,6579	8,1897	1564	1273	291
L06841	25	-47,0027448	-23,6200461	1899	1,3165	10,7759	2801	2192	609
L06843	5	-46,9920520	-23,6400182	1224	0,4085	2,1552	1843	1411	432
L06845	2	-47,0166799	-23,5962607	1016	0,1969	0,8621	1300	1112	188
