cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07910	4	-46,3146464	-23,3968079	1397	0,2863	12,9032	2040	1550	490
L07912	10	-46,3103340	-23,3905890	2180	0,4587	32,2581	3048	2432	616
L07915	2	-46,3212127	-23,3938680	3551	0,0563	6,4516	5713	3962	1751
L07916	5	-46,3213445	-23,3976513	2978	0,1679	16,129	4781	3364	1417
L07917	1	-46,3260909	-23,3876689	2803	0,0357	3,2258	4175	3159	1016
L07920	1	-46,3330664	-23,3873841	4652	0,0215	3,2258	6887	5153	1734
L07921	3	-46,3192847	-23,3976109	3823	0,0785	9,6774	6272	4339	1933
L07923	2	-46,3144820	-23,3919680	1370	0,146	6,4516	2009	1553	456
L07925	1	-46,3377650	-23,4059810	2565	0,039	3,2258	3946	2945	1001
L07929	1	-46,3319903	-23,3890710	1800	0,0556	3,2258	2716	2041	675
L07935	1	-46,3170602	-23,3952506	691	0,1447	3,2258	1044	778	266
