cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07910	1	-46,3146464	-23,3968079	1397	0,0716	2,2222	2040	1550	490
L07911	2	-46,3181340	-23,3814530	1331	0,1503	4,4444	1854	1482	372
L07912	5	-46,3103340	-23,3905890	2180	0,2294	11,1111	3048	2432	616
L07913	1	-46,3635519	-23,4172848	1529	0,0654	2,2222	2268	1781	487
L07915	4	-46,3212127	-23,3938680	3551	0,1126	8,8889	5713	3962	1751
L07916	5	-46,3213445	-23,3976513	2978	0,1679	11,1111	4781	3364	1417
L07917	2	-46,3260909	-23,3876689	2803	0,0714	4,4444	4175	3159	1016
L07919	2	-46,3222490	-23,4121970	931	0,2148	4,4444	1350	1036	314
L07920	3	-46,3330664	-23,3873841	4652	0,0645	6,6667	6887	5153	1734
L07921	2	-46,3192847	-23,3976109	3823	0,0523	4,4444	6272	4339	1933
L07922	2	-46,3324025	-23,3860995	2040	0,098	4,4444	3055	2333	722
L07923	3	-46,3144820	-23,3919680	1370	0,219	6,6667	2009	1553	456
L07925	1	-46,3377650	-23,4059810	2565	0,039	2,2222	3946	2945	1001
L07926	2	-46,3286092	-23,4103722	1140	0,1754	4,4444	1730	1284	446
L07929	4	-46,3319903	-23,3890710	1800	0,2222	8,8889	2716	2041	675
L07930	3	-46,3236050	-23,3780730	2583	0,1161	6,6667	3750	2917	833
L07931	3	-46,3262531	-23,3987859	810	0,3704	6,6667	1282	943	339
