cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04560	1	-46,8747894	-23,5382952	1220	0,082	0,8696	1799	1418	381
L04561	29	-46,8566700	-23,5109490	3301	0,8785	25,2174	4970	3631	1339
L04562	2	-46,8844080	-23,5358490	2885	0,0693	1,7391	4130	3205	925
L04563	1	-46,8657364	-23,5285171	2501	0,04	0,8696	3571	2767	804
L04566	6	-46,8654676	-23,5385438	3409	0,176	5,2174	4776	3755	1021
L04567	2	-46,8857770	-23,5425699	5498	0,0364	1,7391	8304	6251	2053
L04568	1	-46,8879189	-23,5375247	2448	0,0408	0,8696	3560	2720	840
L04569	5	-46,8926931	-23,5289601	4315	0,1159	4,3478	6218	4732	1486
L04570	3	-46,8898401	-23,5283043	4695	0,0639	2,6087	7167	5167	2000
L04571	1	-46,8946145	-23,5149500	2121	0,0471	0,8696	3102	2368	734
L04572	3	-46,8875490	-23,5289050	4693	0,0639	2,6087	6794	5096	1698
L04574	4	-46,8848312	-23,5340513	4019	0,0995	3,4783	5596	4407	1189
L04576	1	-46,8755435	-23,5084374	2939	0,034	0,8696	4610	3215	1395
L04578	9	-46,8710366	-23,5471768	4899	0,1837	7,8261	7202	5476	1726
L04579	3	-46,8830789	-23,5438310	3018	0,0994	2,6087	4362	3408	954
L04580	1	-46,8809000	-23,5441480	2454	0,0407	0,8696	3503	2722	781
L04583	7	-46,8659509	-23,5386269	2713	0,258	6,087	3972	3056	916
L04587	9	-46,8651689	-23,5107650	1764	0,5102	7,8261	2568	1966	602
L09508	3	-46,8322088	-23,4876695	2282	0,1315	2,6087	4898	2961	1937
L09536	1	-46,8702240	-23,5025885	4159	0,024	0,8696	6571	4615	1956
L09548	3	-46,8867939	-23,4863900	3908	0,0768	2,6087	5539	4296	1243
L09555	2	-46,8803990	-23,4813360	2511	0,0796	1,7391	3704	2736	968
L09562	4	-46,8766390	-23,4929052	2212	0,1808	3,4783	3433	2548	885
L09564	2	-46,9553553	-23,5037845	1376	0,1453	1,7391	2414	1667	747
L09567	12	-46,8606512	-23,4859635	4173	0,2876	10,4348	8283	5329	2954
