cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04561	2	-46,8566700	-23,5109490	3301	0,0606	3,0303	4970	3631	1339
L04569	2	-46,8926931	-23,5289601	4315	0,0463	3,0303	6218	4732	1486
L04575	8	-46,8862413	-23,5089091	5192	0,1541	12,1212	8008	5920	2088
L04576	8	-46,8755435	-23,5084374	2939	0,2722	12,1212	4610	3215	1395
L04577	1	-46,8972559	-23,5157201	3192	0,0313	1,5152	4544	3485	1059
L04587	1	-46,8651689	-23,5107650	1764	0,0567	1,5152	2568	1966	602
L09534	1	-46,8138019	-23,4882616	5321	0,0188	1,5152	7554	5808	1746
L09536	5	-46,8702240	-23,5025885	4159	0,1202	7,5758	6571	4615	1956
L09539	1	-46,8894912	-23,4885119	3479	0,0287	1,5152	5190	3879	1311
L09540	3	-46,8893294	-23,4984267	2624	0,1143	4,5455	3883	2906	977
L09544	5	-46,8837665	-23,4929036	3181	0,1572	7,5758	4589	3496	1093
L09547	1	-46,8841683	-23,4961515	1556	0,0643	1,5152	2270	1752	518
L09551	7	-46,8738367	-23,5040091	2564	0,273	10,6061	3984	2782	1202
L09552	2	-46,8051400	-23,4870205	6042	0,0331	3,0303	8715	6692	2023
L09553	2	-46,8871729	-23,4899472	1852	0,108	3,0303	2631	2013	618
L09555	3	-46,8803990	-23,4813360	2511	0,1195	4,5455	3704	2736	968
L09556	2	-46,8793106	-23,4992419	1053	0,1899	3,0303	1575	1188	387
L09559	2	-46,8726197	-23,4995962	3377	0,0592	3,0303	5080	3801	1279
L09560	1	-46,8717028	-23,4932853	2908	0,0344	1,5152	4499	3230	1269
L09562	3	-46,8766390	-23,4929052	2212	0,1356	4,5455	3433	2548	885
L09563	4	-46,8673404	-23,5012777	751	0,5326	6,0606	1150	853	297
L09567	2	-46,8606512	-23,4859635	4173	0,0479	3,0303	8283	5329	2954
