cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04561	5	-46,8566700	-23,5109490	3301	0,1515	14,2857	4970	3631	1339
L04575	2	-46,8862413	-23,5089091	5192	0,0385	5,7143	8008	5920	2088
L04576	1	-46,8755435	-23,5084374	2939	0,034	2,8571	4610	3215	1395
L04578	1	-46,8710366	-23,5471768	4899	0,0204	2,8571	7202	5476	1726
L04583	1	-46,8659509	-23,5386269	2713	0,0369	2,8571	3972	3056	916
L04587	3	-46,8651689	-23,5107650	1764	0,1701	8,5714	2568	1966	602
L09536	2	-46,8702240	-23,5025885	4159	0,0481	5,7143	6571	4615	1956
L09540	1	-46,8893294	-23,4984267	2624	0,0381	2,8571	3883	2906	977
L09547	2	-46,8841683	-23,4961515	1556	0,1285	5,7143	2270	1752	518
L09551	4	-46,8738367	-23,5040091	2564	0,156	11,4286	3984	2782	1202
L09555	3	-46,8803990	-23,4813360	2511	0,1195	8,5714	3704	2736	968
L09559	2	-46,8726197	-23,4995962	3377	0,0592	5,7143	5080	3801	1279
L09560	4	-46,8717028	-23,4932853	2908	0,1376	11,4286	4499	3230	1269
L09562	3	-46,8766390	-23,4929052	2212	0,1356	8,5714	3433	2548	885
L09567	1	-46,8606512	-23,4859635	4173	0,024	2,8571	8283	5329	2954
