cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07523	2	-46,0363733	-23,5693030	346	0,578	1,6129	490	386	104
L07530	40	-46,0393305	-23,5800172	3554	1,1255	32,2581	5139	3886	1253
L07535	15	-46,0358725	-23,5668424	3024	0,496	12,0968	4149	3287	862
L07560	2	-46,0362821	-23,5695966	365	0,5479	1,6129	484	388	96
L07562	11	-46,0413016	-23,5717875	2792	0,394	8,871	4006	2999	1007
L07563	24	-46,0465704	-23,5690311	1397	1,718	19,3548	1838	1510	328
L07564	6	-46,0677606	-23,5692382	1745	0,3438	4,8387	2434	1870	564
L07565	12	-46,0370128	-23,5660952	1239	0,9685	9,6774	1723	1363	360
L07566	8	-46,0441337	-23,5936634	717	1,1158	6,4516	964	798	166
L07567	4	-46,0427041	-23,5692406	1736	0,2304	3,2258	2386	1902	484
