cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04455	1	-46,7269161	-23,3579062	1244	0,0804	2,5641	1738	1400	338
L04456	16	-46,7330074	-23,3577870	2622	0,6102	41,0256	3545	2880	665
L04457	2	-46,7569570	-23,3356580	2694	0,0742	5,1282	3934	3084	850
L04458	1	-46,7464790	-23,3449200	3551	0,0282	2,5641	5069	3976	1093
L04462	2	-46,7483710	-23,3525088	3092	0,0647	5,1282	4698	3469	1229
L04465	2	-46,7543450	-23,3340070	3219	0,0621	5,1282	4561	3623	938
L04467	3	-46,7510855	-23,3651519	1719	0,1745	7,6923	2710	1968	742
L04473	2	-46,7445678	-23,3652486	2885	0,0693	5,1282	4521	3309	1212
L04474	2	-46,7375526	-23,3830089	2170	0,0922	5,1282	3056	2454	602
L04476	1	-46,7161326	-23,3947018	2917	0,0343	2,5641	3974	3159	815
L04499	1	-46,7558223	-23,3472599	2999	0,0333	2,5641	4374	3400	974
L04500	3	-46,7156958	-23,3876906	3052	0,0983	7,6923	4344	3439	905
L04504	3	-46,7409706	-23,3592766	2120	0,1415	7,6923	3230	2344	886
