cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08467	1	-46,8221433	-23,4143781	2886	0,0347	1,6667	4149	3187	962
L08468	2	-46,8727612	-23,3613747	3722	0,0537	3,3333	5090	4001	1089
L08469	4	-46,8445039	-23,4073567	2800	0,1429	6,6667	3959	3067	892
L08471	1	-46,8370191	-23,3372455	1262	0,0792	1,6667	1836	1388	448
L08472	2	-46,8391143	-23,3391504	2317	0,0863	3,3333	3256	2532	724
L08476	11	-46,8393191	-23,4111127	2535	0,4339	18,3333	3681	2854	827
L08477	2	-46,8294382	-23,3351141	2885	0,0693	3,3333	3902	3129	773
L08478	1	-46,8252649	-23,3352520	2275	0,044	1,6667	3072	2457	615
L08479	1	-46,8390969	-23,3385348	1742	0,0574	1,6667	2406	1890	516
L08480	2	-46,8285611	-23,3461690	1786	0,112	3,3333	2405	1938	467
L08481	2	-46,8302388	-23,4138033	2627	0,0761	3,3333	3497	2861	636
L08482	3	-46,8339068	-23,3364656	1787	0,1679	5,0	2640	2022	618
L08483	4	-46,8739789	-23,3651837	2296	0,1742	6,6667	3109	2473	636
L08484	3	-46,8367124	-23,4107430	1675	0,1791	5,0	2470	1903	567
L08485	8	-46,8640239	-23,4085377	736	1,087	13,3333	1066	853	213
L08487	13	-46,8363009	-23,4091118	3269	0,3977	21,6667	4937	3895	1042
