cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	66	-46,8374316	-23,5237146	3087	2,138	2,8448	5158	3578	1580
L07231	31	-46,8410039	-23,5179210	1360	2,2794	1,3362	2209	1570	639
L07232	60	-46,8436297	-23,5218979	3283	1,8276	2,5862	5687	3827	1860
L07233	42	-46,8251037	-23,5367361	3759	1,1173	1,8103	6162	4450	1712
L07234	17	-46,8288616	-23,5268585	1161	1,4643	0,7328	1891	1396	495
L07235	43	-46,8306693	-23,5284722	3110	1,3826	1,8534	5527	3626	1901
L07236	77	-46,8477254	-23,5199568	3882	1,9835	3,319	6927	4570	2357
L07237	52	-46,8372320	-23,5192828	2500	2,08	2,2414	4539	2870	1669
L07238	10	-46,8355359	-23,5325923	844	1,1848	0,431	1417	995	422
L07239	55	-46,8225846	-23,5402263	3284	1,6748	2,3707	5416	3908	1508
L07240	30	-46,8384950	-23,5147949	1984	1,5121	1,2931	3074	2270	804
L07241	21	-46,8276070	-23,5252050	1261	1,6653	0,9052	2281	1535	746
L07242	62	-46,8276908	-23,5311294	3985	1,5558	2,6724	6926	4720	2206
L07243	24	-46,8225145	-23,5311847	2696	0,8902	1,0345	4700	3207	1493
L07244	32	-46,8218824	-23,5329965	2220	1,4414	1,3793	3741	2604	1137
L07245	19	-46,8266995	-23,5330649	1795	1,0585	0,819	3144	2124	1020
L07246	44	-46,8297368	-23,5356589	3961	1,1108	1,8966	6552	4587	1965
L07247	16	-46,8242615	-23,5249586	2095	0,7637	0,6897	3680	2512	1168
L07248	73	-46,8379425	-23,5192246	4148	1,7599	3,1466	7577	4777	2800
L07249	48	-46,8219162	-23,5395049	2969	1,6167	2,069	4705	3433	1272
L09602	59	-46,8347526	-23,5443126	4287	1,3763	2,5431	7127	5027	2100
L09603	77	-46,8259136	-23,5699415	3928	1,9603	3,319	6642	4842	1800
L09604	50	-46,8291789	-23,5449730	3290	1,5198	2,1552	5127	3757	1370
L09605	23	-46,8516173	-23,5354320	2296	1,0017	0,9914	3855	2725	1130
L09606	66	-46,8405692	-23,5305760	3564	1,8519	2,8448	5702	4128	1574
L09607	15	-46,8242137	-23,5450362	1365	1,0989	0,6466	2304	1639	665
L09608	45	-46,8305845	-23,5510307	3061	1,4701	1,9397	4748	3526	1222
L09609	44	-46,8271422	-23,5608991	4321	1,0183	1,8966	7067	5213	1854
L09610	44	-46,8585421	-23,5316164	2175	2,023	1,8966	3500	2593	907
L09611	41	-46,8417084	-23,5491435	5890	0,6961	1,7672	9101	6765	2336
L09612	35	-46,8473178	-23,5476478	4275	0,8187	1,5086	6849	4950	1899
L09613	11	-46,8483421	-23,5587177	1332	0,8258	0,4741	2133	1558	575
L09614	21	-46,8243661	-23,5818486	1549	1,3557	0,9052	2636	1879	757
L09615	27	-46,8399311	-23,5607204	2938	0,919	1,1638	4586	3452	1134
L09616	48	-46,8471951	-23,5613996	4261	1,1265	2,069	7123	4987	2136
L09617	14	-46,8201381	-23,5729795	2238	0,6256	0,6034	4196	2987	1209
L09618	11	-46,8360920	-23,5659758	1758	0,6257	0,4741	2688	2036	652
L09619	32	-46,8422873	-23,5377078	2331	1,3728	1,3793	3536	2684	852
L09620	33	-46,8405704	-23,5408212	4155	0,7942	1,4224	6662	4789	1873
L09621	11	-46,8417930	-23,5353410	617	1,7828	0,4741	925	720	205
L09622	69	-46,8521181	-23,5291548	4951	1,3937	2,9741	8033	5736	2297
L09623	27	-46,8469018	-23,5390765	3029	0,8914	1,1638	4699	3537	1162
L09624	28	-46,8338920	-23,5720029	2229	1,2562	1,2069	3557	2629	928
L09625	18	-46,8466884	-23,5288828	1658	1,0856	0,7759	2582	1926	656
L09626	56	-46,8227576	-23,5478051	2935	1,908	2,4138	4750	3543	1207
L09627	50	-46,8336900	-23,5557566	4658	1,0734	2,1552	7947	5431	2516
L09628	43	-46,8455957	-23,5557814	5506	0,781	1,8534	8702	6292	2410
L09629	11	-46,8362590	-23,5665390	1042	1,0557	0,4741	1737	1261	476
L09630	36	-46,8550639	-23,5405869	3288	1,0949	1,5517	5050	3840	1210
L09631	49	-46,8339330	-23,5418341	3825	1,281	2,1121	6045	4427	1618
L09632	32	-46,8168725	-23,5718039	3891	0,8224	1,3793	6488	4889	1599
L09633	51	-46,8458215	-23,5327623	2992	1,7045	2,1983	4741	3453	1288
L09634	28	-46,8428352	-23,5641475	3481	0,8044	1,2069	5786	4113	1673
L09635	14	-46,8355662	-23,5552267	1729	0,8097	0,6034	2757	2047	710
L09636	88	-46,8595072	-23,5254034	3041	2,8938	3,7931	4920	3576	1344
L09637	14	-46,8334655	-23,5559586	1645	0,8511	0,6034	2694	1931	763
L09638	42	-46,8432767	-23,5683393	2138	1,9645	1,8103	3842	2569	1273
L09639	34	-46,8562213	-23,5495863	3333	1,0201	1,4655	5153	3866	1287
L09640	12	-46,8417200	-23,5557559	1434	0,8368	0,5172	2242	1664	578
L09641	54	-46,8325635	-23,5606183	3221	1,6765	2,3276	4898	3772	1126
L09642	35	-46,8510480	-23,5362829	4230	0,8274	1,5086	6695	4858	1837
