cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	12	-46,8374316	-23,5237146	3048	0,3937	0,5447	5158	3578	1580
L07232	8	-46,8436297	-23,5218979	3178	0,2517	0,3631	5687	3827	1860
L07233	4	-46,8251037	-23,5367361	3697	0,1082	0,1816	6162	4450	1712
L07235	9	-46,8306693	-23,5284722	3034	0,2966	0,4085	5527	3626	1901
L07236	5	-46,8477254	-23,5199568	3899	0,1282	0,227	6927	4570	2357
L07237	7	-46,8372320	-23,5192828	2485	0,2817	0,3177	4539	2870	1669
L07238	3	-46,8355359	-23,5325923	802	0,3741	0,1362	1417	995	422
L07239	17	-46,8225846	-23,5402263	3181	0,5344	0,7717	5416	3908	1508
L07240	2	-46,8384950	-23,5147949	1918	0,1043	0,0908	3074	2270	804
L07241	3	-46,8276070	-23,5252050	1209	0,2481	0,1362	2281	1535	746
L07242	1	-46,8276908	-23,5311294	3891	0,0257	0,0454	6926	4720	2206
L07243	5	-46,8225145	-23,5311847	2638	0,1895	0,227	4700	3207	1493
L07244	6	-46,8218824	-23,5329965	2163	0,2774	0,2724	3741	2604	1137
L07245	7	-46,8266995	-23,5330649	1779	0,3935	0,3177	3144	2124	1020
L07246	7	-46,8297368	-23,5356589	3883	0,1803	0,3177	6552	4587	1965
L07247	1	-46,8242615	-23,5249586	2095	0,0477	0,0454	3680	2512	1168
L07248	15	-46,8379425	-23,5192246	4050	0,3704	0,6809	7577	4777	2800
L07249	9	-46,8219162	-23,5395049	2897	0,3107	0,4085	4705	3433	1272
L09602	138	-46,8347526	-23,5443126	4196	3,2888	6,2642	7127	5027	2100
L09603	13	-46,8259136	-23,5699415	3862	0,3366	0,5901	6642	4842	1800
L09604	39	-46,8291789	-23,5449730	3268	1,1934	1,7703	5127	3757	1370
L09605	17	-46,8516173	-23,5354320	2173	0,7823	0,7717	3855	2725	1130
L09606	15	-46,8405692	-23,5305760	3477	0,4314	0,6809	5702	4128	1574
L09607	31	-46,8242137	-23,5450362	1341	2,3117	1,4072	2304	1639	665
L09608	24	-46,8305845	-23,5510307	3050	0,7869	1,0894	4748	3526	1222
L09609	17	-46,8271422	-23,5608991	4190	0,4057	0,7717	7067	5213	1854
L09610	8	-46,8585421	-23,5316164	2137	0,3744	0,3631	3500	2593	907
L09611	600	-46,8417084	-23,5491435	5896	10,1764	27,2356	9101	6765	2336
L09612	382	-46,8473178	-23,5476478	4172	9,1563	17,34	6849	4950	1899
L09613	2	-46,8483421	-23,5587177	1342	0,149	0,0908	2133	1558	575
L09615	13	-46,8399311	-23,5607204	2912	0,4464	0,5901	4586	3452	1134
L09616	28	-46,8471951	-23,5613996	4254	0,6582	1,271	7123	4987	2136
L09617	1	-46,8201381	-23,5729795	2290	0,0437	0,0454	4196	2987	1209
L09618	2	-46,8360920	-23,5659758	1737	0,1151	0,0908	2688	2036	652
L09619	66	-46,8422873	-23,5377078	2296	2,8746	2,9959	3536	2684	852
L09620	161	-46,8405704	-23,5408212	4099	3,9278	7,3082	6662	4789	1873
L09621	2	-46,8417930	-23,5353410	606	0,33	0,0908	925	720	205
L09622	8	-46,8521181	-23,5291548	4794	0,1669	0,3631	8033	5736	2297
L09623	79	-46,8469018	-23,5390765	2946	2,6816	3,586	4699	3537	1162
L09624	8	-46,8338920	-23,5720029	2223	0,3599	0,3631	3557	2629	928
L09625	10	-46,8466884	-23,5288828	1601	0,6246	0,4539	2582	1926	656
L09626	14	-46,8227576	-23,5478051	2855	0,4904	0,6355	4750	3543	1207
L09627	42	-46,8336900	-23,5557566	4662	0,9009	1,9065	7947	5431	2516
L09628	58	-46,8455957	-23,5557814	5324	1,0894	2,6328	8702	6292	2410
L09629	2	-46,8362590	-23,5665390	1058	0,189	0,0908	1737	1261	476
L09630	28	-46,8550639	-23,5405869	3320	0,8434	1,271	5050	3840	1210
L09631	89	-46,8339330	-23,5418341	3793	2,3464	4,0399	6045	4427	1618
L09632	2	-46,8168725	-23,5718039	4039	0,0495	0,0908	6488	4889	1599
L09633	11	-46,8458215	-23,5327623	2890	0,3806	0,4993	4741	3453	1288
L09634	22	-46,8428352	-23,5641475	3388	0,6494	0,9986	5786	4113	1673
L09635	22	-46,8355662	-23,5552267	1727	1,2739	0,9986	2757	2047	710
L09636	13	-46,8595072	-23,5254034	2986	0,4354	0,5901	4920	3576	1344
L09637	14	-46,8334655	-23,5559586	1611	0,869	0,6355	2694	1931	763
L09638	3	-46,8432767	-23,5683393	2105	0,1425	0,1362	3842	2569	1273
L09639	46	-46,8562213	-23,5495863	3229	1,4246	2,0881	5153	3866	1287
L09640	7	-46,8417200	-23,5557559	1412	0,4958	0,3177	2242	1664	578
L09641	23	-46,8325635	-23,5606183	3194	0,7201	1,044	4898	3772	1126
L09642	22	-46,8510480	-23,5362829	4155	0,5295	0,9986	6695	4858	1837
