cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L07230	1	-46,8374316	-23,5237146	3048	0,0328	2,0833	5158	3578	1580
L07233	2	-46,8251037	-23,5367361	3697	0,0541	4,1667	6162	4450	1712
L07236	1	-46,8477254	-23,5199568	3899	0,0256	2,0833	6927	4570	2357
L07240	1	-46,8384950	-23,5147949	1918	0,0521	2,0833	3074	2270	804
L07242	3	-46,8276908	-23,5311294	3891	0,0771	6,25	6926	4720	2206
L07243	1	-46,8225145	-23,5311847	2638	0,0379	2,0833	4700	3207	1493
L07244	1	-46,8218824	-23,5329965	2163	0,0462	2,0833	3741	2604	1137
L07246	2	-46,8297368	-23,5356589	3883	0,0515	4,1667	6552	4587	1965
L07248	1	-46,8379425	-23,5192246	4050	0,0247	2,0833	7577	4777	2800
L09602	2	-46,8347526	-23,5443126	4196	0,0477	4,1667	7127	5027	2100
L09603	1	-46,8259136	-23,5699415	3862	0,0259	2,0833	6642	4842	1800
L09604	1	-46,8291789	-23,5449730	3268	0,0306	2,0833	5127	3757	1370
L09605	1	-46,8516173	-23,5354320	2173	0,046	2,0833	3855	2725	1130
L09606	1	-46,8405692	-23,5305760	3477	0,0288	2,0833	5702	4128	1574
L09608	1	-46,8305845	-23,5510307	3050	0,0328	2,0833	4748	3526	1222
L09610	1	-46,8585421	-23,5316164	2137	0,0468	2,0833	3500	2593	907
L09611	2	-46,8417084	-23,5491435	5896	0,0339	4,1667	9101	6765	2336
L09612	2	-46,8473178	-23,5476478	4172	0,0479	4,1667	6849	4950	1899
L09613	1	-46,8483421	-23,5587177	1342	0,0745	2,0833	2133	1558	575
L09615	1	-46,8399311	-23,5607204	2912	0,0343	2,0833	4586	3452	1134
L09617	1	-46,8201381	-23,5729795	2290	0,0437	2,0833	4196	2987	1209
L09619	1	-46,8422873	-23,5377078	2296	0,0436	2,0833	3536	2684	852
L09620	2	-46,8405704	-23,5408212	4099	0,0488	4,1667	6662	4789	1873
L09623	1	-46,8469018	-23,5390765	2946	0,0339	2,0833	4699	3537	1162
L09625	1	-46,8466884	-23,5288828	1601	0,0625	2,0833	2582	1926	656
L09626	1	-46,8227576	-23,5478051	2855	0,035	2,0833	4750	3543	1207
L09627	3	-46,8336900	-23,5557566	4662	0,0644	6,25	7947	5431	2516
L09628	1	-46,8455957	-23,5557814	5324	0,0188	2,0833	8702	6292	2410
L09629	1	-46,8362590	-23,5665390	1058	0,0945	2,0833	1737	1261	476
L09631	2	-46,8339330	-23,5418341	3793	0,0527	4,1667	6045	4427	1618
L09633	3	-46,8458215	-23,5327623	2890	0,1038	6,25	4741	3453	1288
L09635	1	-46,8355662	-23,5552267	1727	0,0579	2,0833	2757	2047	710
L09636	2	-46,8595072	-23,5254034	2986	0,067	4,1667	4920	3576	1344
L09642	1	-46,8510480	-23,5362829	4155	0,0241	2,0833	6695	4858	1837
