cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05193	1	-46,9261424	-23,6070736	4067	0,0246	3,3333	6352	4582	1770
L05210	2	-46,9198313	-23,6074634	2393	0,0836	6,6667	3480	2634	846
L05217	1	-46,9216569	-23,6128183	384	0,2604	3,3333	517	421	96
L05230	1	-46,9388266	-23,6325647	1604	0,0623	3,3333	2173	1770	403
L06807	6	-47,0233190	-23,6833700	1657	0,3621	20,0	2162	1805	357
L06817	1	-47,0768680	-23,6576211	1478	0,0677	3,3333	2120	1667	453
L06819	7	-47,0475737	-23,6613110	1707	0,4101	23,3333	2357	1925	432
L06820	4	-47,0221240	-23,6848819	3745	0,1068	13,3333	5422	4118	1304
L06822	1	-47,0238400	-23,6846904	3176	0,0315	3,3333	4304	3465	839
L06827	2	-47,0489137	-23,6619693	1064	0,188	6,6667	1452	1201	251
L06844	3	-47,0244677	-23,6677685	1244	0,2412	10,0	1611	1353	258
L06848	1	-46,9524019	-23,6184155	2415	0,0414	3,3333	3508	2766	742
