cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05188	1	-46,9121525	-23,6050240	107	0,9346	1,6129	161	117	44
L05191	2	-46,8390738	-23,5950788	3551	0,0563	3,2258	6683	4408	2275
L05193	2	-46,9261424	-23,6070736	4067	0,0492	3,2258	6352	4582	1770
L05194	3	-46,9070145	-23,5955904	2515	0,1193	4,8387	3655	2824	831
L05201	5	-46,9373874	-23,6195813	2909	0,1719	8,0645	3872	3147	725
L05202	3	-46,9085445	-23,6009928	3506	0,0856	4,8387	5278	3874	1404
L05203	4	-46,8756714	-23,6018150	2725	0,1468	6,4516	3943	3011	932
L05206	1	-46,8554244	-23,6027864	1269	0,0788	1,6129	2048	1510	538
L05207	1	-46,9150347	-23,5973565	1799	0,0556	1,6129	2489	1948	541
L05208	6	-46,9306414	-23,6087627	2899	0,207	9,6774	3987	3208	779
L05210	2	-46,9198313	-23,6074634	2393	0,0836	3,2258	3480	2634	846
L05215	1	-46,8556618	-23,6024939	1624	0,0616	1,6129	2478	1912	566
L05217	2	-46,9216569	-23,6128183	384	0,5208	3,2258	517	421	96
L05222	3	-46,9375178	-23,6194593	1750	0,1714	4,8387	2321	1905	416
L05223	2	-46,9040650	-23,5969460	1671	0,1197	3,2258	2565	1973	592
L05224	1	-46,9367869	-23,6335921	363	0,2755	1,6129	491	409	82
L05227	1	-46,9177956	-23,5980287	2472	0,0405	1,6129	3359	2685	674
L05230	1	-46,9388266	-23,6325647	1604	0,0623	1,6129	2173	1770	403
L05233	7	-46,9131087	-23,5994088	1424	0,4916	11,2903	1849	1527	322
L05237	1	-46,8804329	-23,5982960	757	0,1321	1,6129	1115	872	243
L06805	1	-46,9469244	-23,6117457	2659	0,0376	1,6129	3582	2921	661
L06807	1	-47,0233190	-23,6833700	1657	0,0604	1,6129	2162	1805	357
L06817	1	-47,0768680	-23,6576211	1478	0,0677	1,6129	2120	1667	453
L06823	1	-46,9386385	-23,6111606	2787	0,0359	1,6129	3755	3051	704
L06830	1	-47,0096790	-23,6683117	768	0,1302	1,6129	1189	897	292
L06837	1	-47,0742648	-23,6632352	1211	0,0826	1,6129	1705	1391	314
L06842	1	-47,0196462	-23,6873827	1628	0,0614	1,6129	2152	1798	354
L06844	1	-47,0244677	-23,6677685	1244	0,0804	1,6129	1611	1353	258
L06846	4	-46,9468990	-23,6080830	3415	0,1171	6,4516	4849	3822	1027
L06849	1	-47,0259082	-23,7026104	988	0,1012	1,6129	1285	1089	196
