cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05189	1	-46,9180778	-23,6092968	777	0,1287	0,2667	1045	846	199
L05190	2	-46,9217739	-23,6091505	729	0,2743	0,5333	1056	825	231
L05191	2	-46,8390738	-23,5950788	3551	0,0563	0,5333	6683	4408	2275
L05192	2	-46,8631937	-23,5945320	2019	0,0991	0,5333	3707	2560	1147
L05193	14	-46,9261424	-23,6070736	4067	0,3442	3,7333	6352	4582	1770
L05194	4	-46,9070145	-23,5955904	2515	0,159	1,0667	3655	2824	831
L05195	2	-46,8161498	-23,5910620	1418	0,141	0,5333	2272	1722	550
L05196	2	-46,9291070	-23,6200626	1129	0,1771	0,5333	1583	1261	322
L05197	2	-46,9107336	-23,6046372	2468	0,081	0,5333	3581	2725	856
L05198	7	-46,8200597	-23,5863506	1629	0,4297	1,8667	2424	1826	598
L05199	4	-46,9309921	-23,6118204	1584	0,2525	1,0667	2214	1746	468
L05200	8	-46,8802116	-23,5992447	1124	0,7117	2,1333	1656	1287	369
L05201	19	-46,9373874	-23,6195813	2909	0,6531	5,0667	3872	3147	725
L05202	13	-46,9085445	-23,6009928	3506	0,3708	3,4667	5278	3874	1404
L05203	12	-46,8756714	-23,6018150	2725	0,4404	3,2	3943	3011	932
L05205	5	-46,8919929	-23,6036479	1642	0,3045	1,3333	2471	1950	521
L05206	1	-46,8554244	-23,6027864	1269	0,0788	0,2667	2048	1510	538
L05207	14	-46,9150347	-23,5973565	1799	0,7782	3,7333	2489	1948	541
L05208	16	-46,9306414	-23,6087627	2899	0,5519	4,2667	3987	3208	779
L05210	2	-46,9198313	-23,6074634	2393	0,0836	0,5333	3480	2634	846
L05212	29	-46,9150877	-23,6871013	1525	1,9016	7,7333	2162	1675	487
L05214	50	-46,9181818	-23,5798883	4110	1,2165	13,3333	5674	4561	1113
L05215	4	-46,8556618	-23,6024939	1624	0,2463	1,0667	2478	1912	566
L05216	3	-46,9108961	-23,6051852	1809	0,1658	0,8	2617	2046	571
L05219	6	-46,9233205	-23,6060542	908	0,6608	1,6	1322	1041	281
L05222	8	-46,9375178	-23,6194593	1750	0,4571	2,1333	2321	1905	416
L05223	6	-46,9040650	-23,5969460	1671	0,3591	1,6	2565	1973	592
L05224	1	-46,9367869	-23,6335921	363	0,2755	0,2667	491	409	82
L05226	11	-46,9271695	-23,6229474	1271	0,8655	2,9333	1869	1501	368
L05227	12	-46,9177956	-23,5980287	2472	0,4854	3,2	3359	2685	674
L05230	1	-46,9388266	-23,6325647	1604	0,0623	0,2667	2173	1770	403
L05232	2	-46,8978353	-23,6007606	1573	0,1271	0,5333	2296	1798	498
L05233	2	-46,9131087	-23,5994088	1424	0,1404	0,5333	1849	1527	322
L05234	5	-46,9290833	-23,6080558	929	0,5382	1,3333	1330	1069	261
L05235	7	-46,9270985	-23,5855921	593	1,1804	1,8667	821	671	150
L05237	3	-46,8804329	-23,5982960	757	0,3963	0,8	1115	872	243
L06804	1	-47,0235557	-23,6761684	121	0,8264	0,2667	144	128	16
L06805	12	-46,9469244	-23,6117457	2659	0,4513	3,2	3582	2921	661
L06807	2	-47,0233190	-23,6833700	1657	0,1207	0,5333	2162	1805	357
L06809	3	-47,0205121	-23,6926132	1544	0,1943	0,8	2010	1649	361
L06814	20	-46,9586458	-23,6476279	1076	1,8587	5,3333	1491	1196	295
L06815	4	-46,9430703	-23,6073130	2858	0,14	1,0667	4186	3143	1043
L06820	5	-47,0221240	-23,6848819	3745	0,1335	1,3333	5422	4118	1304
L06821	1	-47,0475829	-23,7338256	1246	0,0803	0,2667	1538	1323	215
L06822	3	-47,0238400	-23,6846904	3176	0,0945	0,8	4304	3465	839
L06823	9	-46,9386385	-23,6111606	2787	0,3229	2,4	3755	3051	704
L06830	5	-47,0096790	-23,6683117	768	0,651	1,3333	1189	897	292
L06839	6	-46,9505730	-23,6253696	353	1,6997	1,6	551	449	102
L06842	2	-47,0196462	-23,6873827	1628	0,1229	0,5333	2152	1798	354
L06847	2	-46,9525623	-23,6179977	2333	0,0857	0,5333	3131	2552	579
L06848	7	-46,9524019	-23,6184155	2415	0,2899	1,8667	3508	2766	742
L06849	4	-47,0259082	-23,7026104	988	0,4049	1,0667	1285	1089	196
L06850	7	-46,9515404	-23,6362302	2330	0,3004	1,8667	3254	2607	647
