cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05189	4	-46,9180778	-23,6092968	777	0,5148	0,44	1045	846	199
L05190	9	-46,9217739	-23,6091505	729	1,2346	0,9901	1056	825	231
L05191	86	-46,8390738	-23,5950788	3551	2,4219	9,4609	6683	4408	2275
L05192	53	-46,8631937	-23,5945320	2019	2,6251	5,8306	3707	2560	1147
L05193	44	-46,9261424	-23,6070736	4067	1,0819	4,8405	6352	4582	1770
L05194	24	-46,9070145	-23,5955904	2515	0,9543	2,6403	3655	2824	831
L05195	26	-46,8161498	-23,5910620	1418	1,8336	2,8603	2272	1722	550
L05196	17	-46,9291070	-23,6200626	1129	1,5058	1,8702	1583	1261	322
L05197	19	-46,9107336	-23,6046372	2468	0,7699	2,0902	3581	2725	856
L05198	9	-46,8200597	-23,5863506	1629	0,5525	0,9901	2424	1826	598
L05199	6	-46,9309921	-23,6118204	1584	0,3788	0,6601	2214	1746	468
L05200	6	-46,8802116	-23,5992447	1124	0,5338	0,6601	1656	1287	369
L05201	6	-46,9373874	-23,6195813	2909	0,2063	0,6601	3872	3147	725
L05202	33	-46,9085445	-23,6009928	3506	0,9412	3,6304	5278	3874	1404
L05203	7	-46,8756714	-23,6018150	2725	0,2569	0,7701	3943	3011	932
L05204	18	-46,8462846	-23,5894198	1021	1,763	1,9802	1650	1220	430
L05205	26	-46,8919929	-23,6036479	1642	1,5834	2,8603	2471	1950	521
L05206	10	-46,8554244	-23,6027864	1269	0,788	1,1001	2048	1510	538
L05207	16	-46,9150347	-23,5973565	1799	0,8894	1,7602	2489	1948	541
L05208	19	-46,9306414	-23,6087627	2899	0,6554	2,0902	3987	3208	779
L05209	35	-46,8381782	-23,5942303	2362	1,4818	3,8504	4305	2749	1556
L05210	10	-46,9198313	-23,6074634	2393	0,4179	1,1001	3480	2634	846
L05213	16	-46,8361040	-23,6130260	479	3,3403	1,7602	768	584	184
L05214	12	-46,9181818	-23,5798883	4110	0,292	1,3201	5674	4561	1113
L05215	19	-46,8556618	-23,6024939	1624	1,17	2,0902	2478	1912	566
L05216	15	-46,9108961	-23,6051852	1809	0,8292	1,6502	2617	2046	571
L05217	2	-46,9216569	-23,6128183	384	0,5208	0,22	517	421	96
L05218	3	-46,8176283	-23,5858809	225	1,3333	0,33	346	257	89
L05219	7	-46,9233205	-23,6060542	908	0,7709	0,7701	1322	1041	281
L05220	1	-47,0408951	-23,6693666	536	0,1866	0,11	753	602	151
L05221	25	-46,8377399	-23,6141303	1597	1,5654	2,7503	2423	1827	596
L05222	6	-46,9375178	-23,6194593	1750	0,3429	0,6601	2321	1905	416
L05223	28	-46,9040650	-23,5969460	1671	1,6756	3,0803	2565	1973	592
L05224	3	-46,9367869	-23,6335921	363	0,8264	0,33	491	409	82
L05226	12	-46,9271695	-23,6229474	1271	0,9441	1,3201	1869	1501	368
L05227	14	-46,9177956	-23,5980287	2472	0,5663	1,5402	3359	2685	674
L05228	3	-46,9166704	-23,6133584	292	1,0274	0,33	387	328	59
L05229	3	-46,9211169	-23,5659834	1161	0,2584	0,33	1680	1386	294
L05230	6	-46,9388266	-23,6325647	1604	0,3741	0,6601	2173	1770	403
L05231	4	-46,9005997	-23,6044121	278	1,4388	0,44	386	317	69
L05232	9	-46,8978353	-23,6007606	1573	0,5722	0,9901	2296	1798	498
