cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05193	5	-46,9261424	-23,6070736	4067	0,1229	12,5	6352	4582	1770
L05199	6	-46,9309921	-23,6118204	1584	0,3788	15,0	2214	1746	468
L05201	2	-46,9373874	-23,6195813	2909	0,0688	5,0	3872	3147	725
L05203	1	-46,8756714	-23,6018150	2725	0,0367	2,5	3943	3011	932
L05205	1	-46,8919929	-23,6036479	1642	0,0609	2,5	2471	1950	521
L05206	1	-46,8554244	-23,6027864	1269	0,0788	2,5	2048	1510	538
L05208	3	-46,9306414	-23,6087627	2899	0,1035	7,5	3987	3208	779
L05209	2	-46,8381782	-23,5942303	2362	0,0847	5,0	4305	2749	1556
L05214	1	-46,9181818	-23,5798883	4110	0,0243	2,5	5674	4561	1113
L05217	3	-46,9216569	-23,6128183	384	0,7812	7,5	517	421	96
L05219	1	-46,9233205	-23,6060542	908	0,1101	2,5	1322	1041	281
L05222	2	-46,9375178	-23,6194593	1750	0,1143	5,0	2321	1905	416
L05223	2	-46,9040650	-23,5969460	1671	0,1197	5,0	2565	1973	592
L05232	4	-46,8978353	-23,6007606	1573	0,2543	10,0	2296	1798	498
L05234	1	-46,9290833	-23,6080558	929	0,1076	2,5	1330	1069	261
L06815	2	-46,9430703	-23,6073130	2858	0,07	5,0	4186	3143	1043
L06820	1	-47,0221240	-23,6848819	3745	0,0267	2,5	5422	4118	1304
L06848	2	-46,9524019	-23,6184155	2415	0,0828	5,0	3508	2766	742
