cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05108	1	-46,6249685	-23,6846490	1728	0,0579	0,3115	3159	2210	949
L05109	4	-46,6159230	-23,6925061	2011	0,1989	1,2461	3198	2380	818
L05110	6	-46,6216249	-23,6799417	2955	0,203	1,8692	5128	3561	1567
L05111	8	-46,6243109	-23,6933561	4388	0,1823	2,4922	7677	5248	2429
L05112	5	-46,6333447	-23,6904292	3313	0,1509	1,5576	5865	4216	1649
L05113	2	-46,6227770	-23,6985469	3282	0,0609	0,6231	5000	3796	1204
L05114	2	-46,6116582	-23,6828454	1557	0,1285	0,6231	2355	1757	598
L05115	2	-46,6168838	-23,6960228	3131	0,0639	0,6231	5217	3853	1364
L05116	5	-46,6171290	-23,6962645	3536	0,1414	1,5576	5626	4122	1504
L05117	2	-46,6311282	-23,6837562	607	0,3295	0,6231	1058	791	267
L05118	6	-46,6320310	-23,6859560	2863	0,2096	1,8692	5174	3552	1622
L05119	4	-46,6272972	-23,6928317	2608	0,1534	1,2461	4497	3137	1360
L05120	2	-46,6356000	-23,6901862	1479	0,1352	0,6231	2649	1906	743
L05121	3	-46,6250990	-23,6839920	3112	0,0964	0,9346	5504	3795	1709
L05122	1	-46,6126040	-23,6876440	2085	0,048	0,3115	3396	2407	989
L05123	3	-46,6304585	-23,6900317	2993	0,1002	0,9346	4938	3615	1323
L05124	4	-46,6190433	-23,7018118	3082	0,1298	1,2461	4848	3730	1118
L05125	2	-46,6158395	-23,6871793	675	0,2963	0,6231	1065	844	221
L05126	1	-46,6259919	-23,6964780	392	0,2551	0,3115	634	469	165
L05128	3	-46,6256268	-23,6929582	2248	0,1335	0,9346	3820	2715	1105
L05130	1	-46,6214198	-23,6791120	443	0,2257	0,3115	747	540	207
L05131	4	-46,6203340	-23,6858882	2328	0,1718	1,2461	3850	2729	1121
L07775	10	-46,6125440	-23,6717759	1854	0,5394	3,1153	3093	2308	785
L07776	2	-46,6200986	-23,6703512	836	0,2392	0,6231	1490	996	494
L07778	5	-46,6244353	-23,6727136	3124	0,1601	1,5576	5078	3783	1295
L07779	6	-46,5905133	-23,6995041	2309	0,2599	1,8692	3619	2617	1002
L07780	6	-46,6221334	-23,6685547	1808	0,3319	1,8692	2827	2166	661
L07781	1	-46,6007849	-23,6773329	1866	0,0536	0,3115	2838	2135	703
L07782	2	-46,5944736	-23,6966143	2011	0,0995	0,6231	3223	2439	784
L07783	5	-46,5976405	-23,6955433	3209	0,1558	1,5576	5017	3781	1236
L07784	5	-46,6031939	-23,6766739	2756	0,1814	1,5576	4285	3149	1136
L07785	4	-46,6014650	-23,6900150	2220	0,1802	1,2461	3276	2529	747
L07786	5	-46,5994872	-23,6951193	2435	0,2053	1,5576	3720	2774	946
L07787	7	-46,6117380	-23,6688580	2509	0,279	2,1807	4206	3066	1140
L07788	4	-46,5930181	-23,6868456	2438	0,1641	1,2461	3955	2841	1114
L07789	2	-46,5911538	-23,6923926	2836	0,0705	0,6231	4309	3303	1006
L07790	3	-46,5873500	-23,6866405	3362	0,0892	0,9346	5664	4044	1620
L07791	2	-46,6128260	-23,6748169	1204	0,1661	0,6231	1916	1428	488
L07792	1	-46,5968220	-23,7088310	1343	0,0745	0,3115	2043	1603	440
L07793	5	-46,6124405	-23,6750681	1678	0,298	1,5576	2698	1967	731
L07794	13	-46,5827451	-23,6746461	2939	0,4423	4,0498	4914	3544	1370
L07795	3	-46,5995750	-23,6634218	2482	0,1209	0,9346	4177	3136	1041
L07796	2	-46,5954587	-23,6849994	3766	0,0531	0,6231	6069	4468	1601
L07797	2	-46,5972178	-23,7092774	3304	0,0605	0,6231	5148	3897	1251
L07798	15	-46,6268120	-23,6686194	3142	0,4774	4,6729	4989	3647	1342
L07799	18	-46,6169090	-23,6642448	3700	0,4865	5,6075	5908	4357	1551
L07800	21	-46,6194463	-23,6651992	4005	0,5243	6,5421	6569	4730	1839
L07801	2	-46,6249868	-23,6632550	2301	0,0869	0,6231	3688	2752	936
L07802	8	-46,6045956	-23,6705036	3585	0,2232	2,4922	5522	4290	1232
L07803	6	-46,6022129	-23,6657034	2515	0,2386	1,8692	4283	2993	1290
L07804	5	-46,5993673	-23,6928915	3116	0,1605	1,5576	4712	3589	1123
L07806	4	-46,6005920	-23,6963157	1915	0,2089	1,2461	2904	2201	703
L07807	3	-46,5981564	-23,6861161	2002	0,1499	0,9346	3053	2373	680
L07808	4	-46,5911685	-23,6929942	1540	0,2597	1,2461	2402	1806	596
L07809	1	-46,5871327	-23,6892697	911	0,1098	0,3115	1417	1105	312
L07810	1	-46,6027995	-23,7096244	833	0,12	0,3115	1303	1020	283
L07811	3	-46,6179104	-23,6641643	1868	0,1606	0,9346	3002	2312	690
L07812	7	-46,5962871	-23,6971055	2745	0,255	2,1807	4286	3125	1161
L07813	2	-46,6003147	-23,6764343	2984	0,067	0,6231	4514	3501	1013
L07814	4	-46,5887985	-23,6901980	1944	0,2058	1,2461	2983	2315	668
L07815	10	-46,5867600	-23,6772439	1604	0,6234	3,1153	2606	1912	694
L07818	1	-46,5984231	-23,6984581	471	0,2123	0,3115	701	557	144
L07819	3	-46,6104762	-23,6792416	2577	0,1164	0,9346	4272	3240	1032
L10856	4	-46,6053600	-23,7004300	3614	0,1107	1,2461	5532	4258	1274
L10857	3	-46,6174318	-23,7221899	3769	0,0796	0,9346	5925	4462	1463
L10858	1	-46,6050162	-23,7090902	2728	0,0367	0,3115	4331	3317	1014
L10860	3	-46,6196920	-23,7300896	2935	0,1022	0,9346	4614	3494	1120
L10861	6	-46,6245734	-23,7231476	3998	0,1501	1,8692	6348	4623	1725
L10862	2	-46,6175645	-23,7156430	3982	0,0502	0,6231	6162	4594	1568
L10863	1	-46,6126313	-23,7043687	2842	0,0352	0,3115	4353	3310	1043
L10864	1	-46,6106475	-23,7096734	2244	0,0446	0,3115	3557	2713	844
L10866	1	-46,6128110	-23,7203920	2746	0,0364	0,3115	4364	3246	1118
L10867	1	-46,6252499	-23,7193323	3224	0,031	0,3115	5344	3879	1465
L10868	4	-46,6254136	-23,7177843	2084	0,1919	1,2461	3238	2508	730
L10869	1	-46,6138114	-23,7172607	1826	0,0548	0,3115	2636	2143	493
L10870	2	-46,6076890	-23,7005143	3742	0,0534	0,6231	5858	4409	1449
L10871	1	-46,6128676	-23,7201844	3160	0,0316	0,3115	4834	3701	1133
L10872	6	-46,6080567	-23,7123258	4651	0,129	1,8692	7237	5409	1828
