cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05109	3	-46,6159230	-23,6925061	2011	0,1492	3,4884	3198	2380	818
L05122	4	-46,6126040	-23,6876440	2085	0,1918	4,6512	3396	2407	989
L07779	3	-46,5905133	-23,6995041	2309	0,1299	3,4884	3619	2617	1002
L07782	1	-46,5944736	-23,6966143	2011	0,0497	1,1628	3223	2439	784
L07783	6	-46,5976405	-23,6955433	3209	0,187	6,9767	5017	3781	1236
L07785	2	-46,6014650	-23,6900150	2220	0,0901	2,3256	3276	2529	747
L07786	1	-46,5994872	-23,6951193	2435	0,0411	1,1628	3720	2774	946
L07788	1	-46,5930181	-23,6868456	2438	0,041	1,1628	3955	2841	1114
L07790	1	-46,5873500	-23,6866405	3362	0,0297	1,1628	5664	4044	1620
L07792	11	-46,5968220	-23,7088310	1343	0,8191	12,7907	2043	1603	440
L07796	1	-46,5954587	-23,6849994	3766	0,0266	1,1628	6069	4468	1601
L07797	14	-46,5972178	-23,7092774	3304	0,4237	16,2791	5148	3897	1251
L07799	1	-46,6169090	-23,6642448	3700	0,027	1,1628	5908	4357	1551
L07804	4	-46,5993673	-23,6928915	3116	0,1284	4,6512	4712	3589	1123
L07806	9	-46,6005920	-23,6963157	1915	0,47	10,4651	2904	2201	703
L07807	1	-46,5981564	-23,6861161	2002	0,05	1,1628	3053	2373	680
L07808	1	-46,5911685	-23,6929942	1540	0,0649	1,1628	2402	1806	596
L07810	5	-46,6027995	-23,7096244	833	0,6002	5,814	1303	1020	283
L07812	1	-46,5962871	-23,6971055	2745	0,0364	1,1628	4286	3125	1161
L07815	1	-46,5867600	-23,6772439	1604	0,0623	1,1628	2606	1912	694
L07818	1	-46,5984231	-23,6984581	471	0,2123	1,1628	701	557	144
L10856	1	-46,6053600	-23,7004300	3614	0,0277	1,1628	5532	4258	1274
L10857	1	-46,6174318	-23,7221899	3769	0,0265	1,1628	5925	4462	1463
L10858	1	-46,6050162	-23,7090902	2728	0,0367	1,1628	4331	3317	1014
L10862	2	-46,6175645	-23,7156430	3982	0,0502	2,3256	6162	4594	1568
L10863	2	-46,6126313	-23,7043687	2842	0,0704	2,3256	4353	3310	1043
L10868	1	-46,6254136	-23,7177843	2084	0,048	1,1628	3238	2508	730
L10869	3	-46,6138114	-23,7172607	1826	0,1643	3,4884	2636	2143	493
L10870	1	-46,6076890	-23,7005143	3742	0,0267	1,1628	5858	4409	1449
L10871	2	-46,6128676	-23,7201844	3160	0,0633	2,3256	4834	3701	1133
