cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05108	1	-46,6249685	-23,6846490	1728	0,0579	0,0683	3159	2210	949
L05109	2	-46,6159230	-23,6925061	2011	0,0995	0,1365	3198	2380	818
L05110	2	-46,6216249	-23,6799417	2955	0,0677	0,1365	5128	3561	1567
L05111	4	-46,6243109	-23,6933561	4388	0,0912	0,273	7677	5248	2429
L05113	4	-46,6227770	-23,6985469	3282	0,1219	0,273	5000	3796	1204
L05114	1	-46,6116582	-23,6828454	1557	0,0642	0,0683	2355	1757	598
L05115	1	-46,6168838	-23,6960228	3131	0,0319	0,0683	5217	3853	1364
L05117	1	-46,6311282	-23,6837562	607	0,1647	0,0683	1058	791	267
L05119	1	-46,6272972	-23,6928317	2608	0,0383	0,0683	4497	3137	1360
L05123	2	-46,6304585	-23,6900317	2993	0,0668	0,1365	4938	3615	1323
L05128	1	-46,6256268	-23,6929582	2248	0,0445	0,0683	3820	2715	1105
L05130	1	-46,6214198	-23,6791120	443	0,2257	0,0683	747	540	207
L05131	2	-46,6203340	-23,6858882	2328	0,0859	0,1365	3850	2729	1121
L07775	24	-46,6125440	-23,6717759	1854	1,2945	1,6382	3093	2308	785
L07776	2	-46,6200986	-23,6703512	836	0,2392	0,1365	1490	996	494
L07778	5	-46,6244353	-23,6727136	3124	0,1601	0,3413	5078	3783	1295
L07780	1	-46,6221334	-23,6685547	1808	0,0553	0,0683	2827	2166	661
L07781	24	-46,6007849	-23,6773329	1866	1,2862	1,6382	2838	2135	703
L07784	54	-46,6031939	-23,6766739	2756	1,9594	3,686	4285	3149	1136
L07785	1	-46,6014650	-23,6900150	2220	0,045	0,0683	3276	2529	747
L07787	41	-46,6117380	-23,6688580	2509	1,6341	2,7986	4206	3066	1140
L07788	1	-46,5930181	-23,6868456	2438	0,041	0,0683	3955	2841	1114
L07789	6	-46,5911538	-23,6923926	2836	0,2116	0,4096	4309	3303	1006
L07790	7	-46,5873500	-23,6866405	3362	0,2082	0,4778	5664	4044	1620
L07791	15	-46,6128260	-23,6748169	1204	1,2458	1,0239	1916	1428	488
L07793	17	-46,6124405	-23,6750681	1678	1,0131	1,1604	2698	1967	731
L07794	13	-46,5827451	-23,6746461	2939	0,4423	0,8874	4914	3544	1370
L07795	246	-46,5995750	-23,6634218	2482	9,9114	16,7918	4177	3136	1041
L07796	4	-46,5954587	-23,6849994	3766	0,1062	0,273	6069	4468	1601
L07797	1	-46,5972178	-23,7092774	3304	0,0303	0,0683	5148	3897	1251
L07798	5	-46,6268120	-23,6686194	3142	0,1591	0,3413	4989	3647	1342
L07799	9	-46,6169090	-23,6642448	3700	0,2432	0,6143	5908	4357	1551
L07800	12	-46,6194463	-23,6651992	4005	0,2996	0,8191	6569	4730	1839
L07801	6	-46,6249868	-23,6632550	2301	0,2608	0,4096	3688	2752	936
L07802	183	-46,6045956	-23,6705036	3585	5,1046	12,4915	5522	4290	1232
L07803	356	-46,6022129	-23,6657034	2515	14,1551	24,3003	4283	2993	1290
L07805	228	-46,6016164	-23,6693542	1678	13,5876	15,5631	2607	2012	595
L07808	3	-46,5911685	-23,6929942	1540	0,1948	0,2048	2402	1806	596
L07811	7	-46,6179104	-23,6641643	1868	0,3747	0,4778	3002	2312	690
L07813	55	-46,6003147	-23,6764343	2984	1,8432	3,7543	4514	3501	1013
L07814	2	-46,5887985	-23,6901980	1944	0,1029	0,1365	2983	2315	668
L07815	6	-46,5867600	-23,6772439	1604	0,3741	0,4096	2606	1912	694
L07816	64	-46,6078930	-23,6736400	2273	2,8157	4,3686	3581	2749	832
L07818	1	-46,5984231	-23,6984581	471	0,2123	0,0683	701	557	144
L07819	24	-46,6104762	-23,6792416	2577	0,9313	1,6382	4272	3240	1032
L10857	1	-46,6174318	-23,7221899	3769	0,0265	0,0683	5925	4462	1463
L10858	1	-46,6050162	-23,7090902	2728	0,0367	0,0683	4331	3317	1014
L10859	2	-46,6168838	-23,7054765	2349	0,0851	0,1365	3858	2794	1064
L10860	1	-46,6196920	-23,7300896	2935	0,0341	0,0683	4614	3494	1120
L10862	3	-46,6175645	-23,7156430	3982	0,0753	0,2048	6162	4594	1568
L10863	2	-46,6126313	-23,7043687	2842	0,0704	0,1365	4353	3310	1043
L10869	4	-46,6138114	-23,7172607	1826	0,2191	0,273	2636	2143	493
L10870	2	-46,6076890	-23,7005143	3742	0,0534	0,1365	5858	4409	1449
L10871	3	-46,6128676	-23,7201844	3160	0,0949	0,2048	4834	3701	1133
