cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05108	2	-46,6249685	-23,6846490	1728	0,1157	0,1465	3159	2210	949
L05109	2	-46,6159230	-23,6925061	2011	0,0995	0,1465	3198	2380	818
L05110	6	-46,6216249	-23,6799417	2955	0,203	0,4396	5128	3561	1567
L05111	12	-46,6243109	-23,6933561	4388	0,2735	0,8791	7677	5248	2429
L05112	12	-46,6333447	-23,6904292	3313	0,3622	0,8791	5865	4216	1649
L05113	20	-46,6227770	-23,6985469	3282	0,6094	1,4652	5000	3796	1204
L05114	1	-46,6116582	-23,6828454	1557	0,0642	0,0733	2355	1757	598
L05115	13	-46,6168838	-23,6960228	3131	0,4152	0,9524	5217	3853	1364
L05116	12	-46,6171290	-23,6962645	3536	0,3394	0,8791	5626	4122	1504
L05117	1	-46,6311282	-23,6837562	607	0,1647	0,0733	1058	791	267
L05118	7	-46,6320310	-23,6859560	2863	0,2445	0,5128	5174	3552	1622
L05119	4	-46,6272972	-23,6928317	2608	0,1534	0,293	4497	3137	1360
L05120	2	-46,6356000	-23,6901862	1479	0,1352	0,1465	2649	1906	743
L05121	13	-46,6250990	-23,6839920	3112	0,4177	0,9524	5504	3795	1709
L05122	3	-46,6126040	-23,6876440	2085	0,1439	0,2198	3396	2407	989
L05123	6	-46,6304585	-23,6900317	2993	0,2005	0,4396	4938	3615	1323
L05124	17	-46,6190433	-23,7018118	3082	0,5516	1,2454	4848	3730	1118
L05125	1	-46,6158395	-23,6871793	675	0,1481	0,0733	1065	844	221
L05128	4	-46,6256268	-23,6929582	2248	0,1779	0,293	3820	2715	1105
L05130	2	-46,6214198	-23,6791120	443	0,4515	0,1465	747	540	207
L05131	4	-46,6203340	-23,6858882	2328	0,1718	0,293	3850	2729	1121
L07775	3	-46,6125440	-23,6717759	1854	0,1618	0,2198	3093	2308	785
L07776	2	-46,6200986	-23,6703512	836	0,2392	0,1465	1490	996	494
L07777	1	-46,5962418	-23,6976962	463	0,216	0,0733	814	547	267
L07778	13	-46,6244353	-23,6727136	3124	0,4161	0,9524	5078	3783	1295
L07779	3	-46,5905133	-23,6995041	2309	0,1299	0,2198	3619	2617	1002
L07781	8	-46,6007849	-23,6773329	1866	0,4287	0,5861	2838	2135	703
L07782	2	-46,5944736	-23,6966143	2011	0,0995	0,1465	3223	2439	784
L07783	8	-46,5976405	-23,6955433	3209	0,2493	0,5861	5017	3781	1236
L07784	11	-46,6031939	-23,6766739	2756	0,3991	0,8059	4285	3149	1136
L07785	8	-46,6014650	-23,6900150	2220	0,3604	0,5861	3276	2529	747
L07786	6	-46,5994872	-23,6951193	2435	0,2464	0,4396	3720	2774	946
L07787	1	-46,6117380	-23,6688580	2509	0,0399	0,0733	4206	3066	1140
L07788	64	-46,5930181	-23,6868456	2438	2,6251	4,6886	3955	2841	1114
L07789	14	-46,5911538	-23,6923926	2836	0,4937	1,0256	4309	3303	1006
L07790	108	-46,5873500	-23,6866405	3362	3,2124	7,9121	5664	4044	1620
L07791	2	-46,6128260	-23,6748169	1204	0,1661	0,1465	1916	1428	488
L07792	2	-46,5968220	-23,7088310	1343	0,1489	0,1465	2043	1603	440
L07794	139	-46,5827451	-23,6746461	2939	4,7295	10,1832	4914	3544	1370
L07795	3	-46,5995750	-23,6634218	2482	0,1209	0,2198	4177	3136	1041
L07796	173	-46,5954587	-23,6849994	3766	4,5937	12,674	6069	4468	1601
L07797	6	-46,5972178	-23,7092774	3304	0,1816	0,4396	5148	3897	1251
L07798	6	-46,6268120	-23,6686194	3142	0,191	0,4396	4989	3647	1342
L07799	2	-46,6169090	-23,6642448	3700	0,0541	0,1465	5908	4357	1551
L07800	5	-46,6194463	-23,6651992	4005	0,1248	0,3663	6569	4730	1839
L07801	3	-46,6249868	-23,6632550	2301	0,1304	0,2198	3688	2752	936
L07802	21	-46,6045956	-23,6705036	3585	0,5858	1,5385	5522	4290	1232
L07803	4	-46,6022129	-23,6657034	2515	0,159	0,293	4283	2993	1290
L07804	11	-46,5993673	-23,6928915	3116	0,353	0,8059	4712	3589	1123
L07805	3	-46,6016164	-23,6693542	1678	0,1788	0,2198	2607	2012	595
L07806	2	-46,6005920	-23,6963157	1915	0,1044	0,1465	2904	2201	703
L07807	104	-46,5981564	-23,6861161	2002	5,1948	7,619	3053	2373	680
L07808	12	-46,5911685	-23,6929942	1540	0,7792	0,8791	2402	1806	596
L07809	23	-46,5871327	-23,6892697	911	2,5247	1,685	1417	1105	312
L07811	2	-46,6179104	-23,6641643	1868	0,1071	0,1465	3002	2312	690
L07812	6	-46,5962871	-23,6971055	2745	0,2186	0,4396	4286	3125	1161
L07813	11	-46,6003147	-23,6764343	2984	0,3686	0,8059	4514	3501	1013
L07814	70	-46,5887985	-23,6901980	1944	3,6008	5,1282	2983	2315	668
L07815	112	-46,5867600	-23,6772439	1604	6,9825	8,2051	2606	1912	694
L07816	8	-46,6078930	-23,6736400	2273	0,352	0,5861	3581	2749	832
L07818	2	-46,5984231	-23,6984581	471	0,4246	0,1465	701	557	144
L07819	9	-46,6104762	-23,6792416	2577	0,3492	0,6593	4272	3240	1032
L10856	15	-46,6053600	-23,7004300	3614	0,4151	1,0989	5532	4258	1274
L10857	9	-46,6174318	-23,7221899	3769	0,2388	0,6593	5925	4462	1463
L10858	10	-46,6050162	-23,7090902	2728	0,3666	0,7326	4331	3317	1014
L10859	18	-46,6168838	-23,7054765	2349	0,7663	1,3187	3858	2794	1064
L10860	4	-46,6196920	-23,7300896	2935	0,1363	0,293	4614	3494	1120
L10861	9	-46,6245734	-23,7231476	3998	0,2251	0,6593	6348	4623	1725
L10862	17	-46,6175645	-23,7156430	3982	0,4269	1,2454	6162	4594	1568
L10863	17	-46,6126313	-23,7043687	2842	0,5982	1,2454	4353	3310	1043
L10864	11	-46,6106475	-23,7096734	2244	0,4902	0,8059	3557	2713	844
L10865	5	-46,6162589	-23,7191890	2242	0,223	0,3663	3687	2776	911
L10866	17	-46,6128110	-23,7203920	2746	0,6191	1,2454	4364	3246	1118
L10867	2	-46,6252499	-23,7193323	3224	0,062	0,1465	5344	3879	1465
L10868	5	-46,6254136	-23,7177843	2084	0,2399	0,3663	3238	2508	730
L10869	9	-46,6138114	-23,7172607	1826	0,4929	0,6593	2636	2143	493
L10870	28	-46,6076890	-23,7005143	3742	0,7483	2,0513	5858	4409	1449
L10871	14	-46,6128676	-23,7201844	3160	0,443	1,0256	4834	3701	1133
L10872	26	-46,6080567	-23,7123258	4651	0,559	1,9048	7237	5409	1828
L10873	12	-46,6140233	-23,7040739	668	1,7964	0,8791	1040	789	251
