cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05108	2	-46,6249685	-23,6846490	1728	0,1157	0,9852	3159	2210	949
L05110	24	-46,6216249	-23,6799417	2955	0,8122	11,8227	5128	3561	1567
L05111	1	-46,6243109	-23,6933561	4388	0,0228	0,4926	7677	5248	2429
L05112	5	-46,6333447	-23,6904292	3313	0,1509	2,4631	5865	4216	1649
L05114	2	-46,6116582	-23,6828454	1557	0,1285	0,9852	2355	1757	598
L05115	2	-46,6168838	-23,6960228	3131	0,0639	0,9852	5217	3853	1364
L05116	1	-46,6171290	-23,6962645	3536	0,0283	0,4926	5626	4122	1504
L05117	4	-46,6311282	-23,6837562	607	0,659	1,9704	1058	791	267
L05118	8	-46,6320310	-23,6859560	2863	0,2794	3,9409	5174	3552	1622
L05119	2	-46,6272972	-23,6928317	2608	0,0767	0,9852	4497	3137	1360
L05121	6	-46,6250990	-23,6839920	3112	0,1928	2,9557	5504	3795	1709
L05123	2	-46,6304585	-23,6900317	2993	0,0668	0,9852	4938	3615	1323
L05124	1	-46,6190433	-23,7018118	3082	0,0324	0,4926	4848	3730	1118
L05125	3	-46,6158395	-23,6871793	675	0,4444	1,4778	1065	844	221
L05128	2	-46,6256268	-23,6929582	2248	0,089	0,9852	3820	2715	1105
L05130	3	-46,6214198	-23,6791120	443	0,6772	1,4778	747	540	207
L05131	1	-46,6203340	-23,6858882	2328	0,043	0,4926	3850	2729	1121
L07775	6	-46,6125440	-23,6717759	1854	0,3236	2,9557	3093	2308	785
L07776	4	-46,6200986	-23,6703512	836	0,4785	1,9704	1490	996	494
L07777	1	-46,5962418	-23,6976962	463	0,216	0,4926	814	547	267
L07778	24	-46,6244353	-23,6727136	3124	0,7682	11,8227	5078	3783	1295
L07779	1	-46,5905133	-23,6995041	2309	0,0433	0,4926	3619	2617	1002
L07780	6	-46,6221334	-23,6685547	1808	0,3319	2,9557	2827	2166	661
L07781	2	-46,6007849	-23,6773329	1866	0,1072	0,9852	2838	2135	703
L07782	2	-46,5944736	-23,6966143	2011	0,0995	0,9852	3223	2439	784
L07783	1	-46,5976405	-23,6955433	3209	0,0312	0,4926	5017	3781	1236
L07784	2	-46,6031939	-23,6766739	2756	0,0726	0,9852	4285	3149	1136
L07787	4	-46,6117380	-23,6688580	2509	0,1594	1,9704	4206	3066	1140
L07788	2	-46,5930181	-23,6868456	2438	0,082	0,9852	3955	2841	1114
L07789	14	-46,5911538	-23,6923926	2836	0,4937	6,8966	4309	3303	1006
L07790	1	-46,5873500	-23,6866405	3362	0,0297	0,4926	5664	4044	1620
L07791	1	-46,6128260	-23,6748169	1204	0,0831	0,4926	1916	1428	488
L07794	1	-46,5827451	-23,6746461	2939	0,034	0,4926	4914	3544	1370
L07795	4	-46,5995750	-23,6634218	2482	0,1612	1,9704	4177	3136	1041
L07796	2	-46,5954587	-23,6849994	3766	0,0531	0,9852	6069	4468	1601
L07798	12	-46,6268120	-23,6686194	3142	0,3819	5,9113	4989	3647	1342
L07799	2	-46,6169090	-23,6642448	3700	0,0541	0,9852	5908	4357	1551
L07800	7	-46,6194463	-23,6651992	4005	0,1748	3,4483	6569	4730	1839
L07801	3	-46,6249868	-23,6632550	2301	0,1304	1,4778	3688	2752	936
L07802	3	-46,6045956	-23,6705036	3585	0,0837	1,4778	5522	4290	1232
L07803	3	-46,6022129	-23,6657034	2515	0,1193	1,4778	4283	2993	1290
L07805	1	-46,6016164	-23,6693542	1678	0,0596	0,4926	2607	2012	595
L07807	1	-46,5981564	-23,6861161	2002	0,05	0,4926	3053	2373	680
L07808	2	-46,5911685	-23,6929942	1540	0,1299	0,9852	2402	1806	596
L07810	2	-46,6027995	-23,7096244	833	0,2401	0,9852	1303	1020	283
L07812	1	-46,5962871	-23,6971055	2745	0,0364	0,4926	4286	3125	1161
L07814	1	-46,5887985	-23,6901980	1944	0,0514	0,4926	2983	2315	668
L07816	1	-46,6078930	-23,6736400	2273	0,044	0,4926	3581	2749	832
L07817	1	-46,6227867	-23,6658129	323	0,3096	0,4926	531	384	147
L07819	1	-46,6104762	-23,6792416	2577	0,0388	0,4926	4272	3240	1032
L10856	2	-46,6053600	-23,7004300	3614	0,0553	0,9852	5532	4258	1274
L10859	1	-46,6168838	-23,7054765	2349	0,0426	0,4926	3858	2794	1064
L10860	1	-46,6196920	-23,7300896	2935	0,0341	0,4926	4614	3494	1120
L10861	1	-46,6245734	-23,7231476	3998	0,025	0,4926	6348	4623	1725
L10862	1	-46,6175645	-23,7156430	3982	0,0251	0,4926	6162	4594	1568
L10863	5	-46,6126313	-23,7043687	2842	0,1759	2,4631	4353	3310	1043
L10870	2	-46,6076890	-23,7005143	3742	0,0534	0,9852	5858	4409	1449
L10872	2	-46,6080567	-23,7123258	4651	0,043	0,9852	7237	5409	1828
