cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05108	2	-46,6249685	-23,6846490	1728	0,1157	1,5267	3159	2210	949
L05110	2	-46,6216249	-23,6799417	2955	0,0677	1,5267	5128	3561	1567
L05111	3	-46,6243109	-23,6933561	4388	0,0684	2,2901	7677	5248	2429
L05112	7	-46,6333447	-23,6904292	3313	0,2113	5,3435	5865	4216	1649
L05113	7	-46,6227770	-23,6985469	3282	0,2133	5,3435	5000	3796	1204
L05115	1	-46,6168838	-23,6960228	3131	0,0319	0,7634	5217	3853	1364
L05116	3	-46,6171290	-23,6962645	3536	0,0848	2,2901	5626	4122	1504
L05118	1	-46,6320310	-23,6859560	2863	0,0349	0,7634	5174	3552	1622
L05119	8	-46,6272972	-23,6928317	2608	0,3067	6,1069	4497	3137	1360
L05120	4	-46,6356000	-23,6901862	1479	0,2705	3,0534	2649	1906	743
L05121	2	-46,6250990	-23,6839920	3112	0,0643	1,5267	5504	3795	1709
L05123	4	-46,6304585	-23,6900317	2993	0,1336	3,0534	4938	3615	1323
L05124	1	-46,6190433	-23,7018118	3082	0,0324	0,7634	4848	3730	1118
L05125	2	-46,6158395	-23,6871793	675	0,2963	1,5267	1065	844	221
L05128	1	-46,6256268	-23,6929582	2248	0,0445	0,7634	3820	2715	1105
L05130	1	-46,6214198	-23,6791120	443	0,2257	0,7634	747	540	207
L05131	3	-46,6203340	-23,6858882	2328	0,1289	2,2901	3850	2729	1121
L07775	8	-46,6125440	-23,6717759	1854	0,4315	6,1069	3093	2308	785
L07776	2	-46,6200986	-23,6703512	836	0,2392	1,5267	1490	996	494
L07778	1	-46,6244353	-23,6727136	3124	0,032	0,7634	5078	3783	1295
L07779	2	-46,5905133	-23,6995041	2309	0,0866	1,5267	3619	2617	1002
L07780	1	-46,6221334	-23,6685547	1808	0,0553	0,7634	2827	2166	661
L07781	1	-46,6007849	-23,6773329	1866	0,0536	0,7634	2838	2135	703
L07782	1	-46,5944736	-23,6966143	2011	0,0497	0,7634	3223	2439	784
L07783	1	-46,5976405	-23,6955433	3209	0,0312	0,7634	5017	3781	1236
L07785	1	-46,6014650	-23,6900150	2220	0,045	0,7634	3276	2529	747
L07789	1	-46,5911538	-23,6923926	2836	0,0353	0,7634	4309	3303	1006
L07793	1	-46,6124405	-23,6750681	1678	0,0596	0,7634	2698	1967	731
L07795	3	-46,5995750	-23,6634218	2482	0,1209	2,2901	4177	3136	1041
L07796	1	-46,5954587	-23,6849994	3766	0,0266	0,7634	6069	4468	1601
L07798	3	-46,6268120	-23,6686194	3142	0,0955	2,2901	4989	3647	1342
L07799	7	-46,6169090	-23,6642448	3700	0,1892	5,3435	5908	4357	1551
L07800	1	-46,6194463	-23,6651992	4005	0,025	0,7634	6569	4730	1839
L07802	4	-46,6045956	-23,6705036	3585	0,1116	3,0534	5522	4290	1232
L07803	2	-46,6022129	-23,6657034	2515	0,0795	1,5267	4283	2993	1290
L07804	1	-46,5993673	-23,6928915	3116	0,0321	0,7634	4712	3589	1123
L07810	1	-46,6027995	-23,7096244	833	0,12	0,7634	1303	1020	283
L07811	2	-46,6179104	-23,6641643	1868	0,1071	1,5267	3002	2312	690
L07812	2	-46,5962871	-23,6971055	2745	0,0729	1,5267	4286	3125	1161
L07813	1	-46,6003147	-23,6764343	2984	0,0335	0,7634	4514	3501	1013
L07815	1	-46,5867600	-23,6772439	1604	0,0623	0,7634	2606	1912	694
L07816	2	-46,6078930	-23,6736400	2273	0,088	1,5267	3581	2749	832
L07819	2	-46,6104762	-23,6792416	2577	0,0776	1,5267	4272	3240	1032
L10856	4	-46,6053600	-23,7004300	3614	0,1107	3,0534	5532	4258	1274
L10857	7	-46,6174318	-23,7221899	3769	0,1857	5,3435	5925	4462	1463
L10860	1	-46,6196920	-23,7300896	2935	0,0341	0,7634	4614	3494	1120
L10861	2	-46,6245734	-23,7231476	3998	0,05	1,5267	6348	4623	1725
L10862	1	-46,6175645	-23,7156430	3982	0,0251	0,7634	6162	4594	1568
L10863	1	-46,6126313	-23,7043687	2842	0,0352	0,7634	4353	3310	1043
L10864	2	-46,6106475	-23,7096734	2244	0,0891	1,5267	3557	2713	844
L10867	2	-46,6252499	-23,7193323	3224	0,062	1,5267	5344	3879	1465
L10868	1	-46,6254136	-23,7177843	2084	0,048	0,7634	3238	2508	730
L10870	2	-46,6076890	-23,7005143	3742	0,0534	1,5267	5858	4409	1449
L10871	1	-46,6128676	-23,7201844	3160	0,0316	0,7634	4834	3701	1133
L10872	1	-46,6080567	-23,7123258	4651	0,0215	0,7634	7237	5409	1828
L10873	1	-46,6140233	-23,7040739	668	0,1497	0,7634	1040	789	251
