cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05110	1	-46,6216249	-23,6799417	2955	0,0338	2,5	5128	3561	1567
L07781	6	-46,6007849	-23,6773329	1866	0,3215	15,0	2838	2135	703
L07784	14	-46,6031939	-23,6766739	2756	0,508	35,0	4285	3149	1136
L07787	4	-46,6117380	-23,6688580	2509	0,1594	10,0	4206	3066	1140
L07788	1	-46,5930181	-23,6868456	2438	0,041	2,5	3955	2841	1114
L07789	2	-46,5911538	-23,6923926	2836	0,0705	5,0	4309	3303	1006
L07799	1	-46,6169090	-23,6642448	3700	0,027	2,5	5908	4357	1551
L07802	3	-46,6045956	-23,6705036	3585	0,0837	7,5	5522	4290	1232
L07803	1	-46,6022129	-23,6657034	2515	0,0398	2,5	4283	2993	1290
L07813	3	-46,6003147	-23,6764343	2984	0,1005	7,5	4514	3501	1013
L07819	2	-46,6104762	-23,6792416	2577	0,0776	5,0	4272	3240	1032
L10862	2	-46,6175645	-23,7156430	3982	0,0502	5,0	6162	4594	1568
