cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08013	2	-46,8184279	-23,6517056	1941	0,103	1,2422	2820	2177	643
L08014	2	-46,8262088	-23,6279983	2791	0,0717	1,2422	3889	3086	803
L08016	1	-46,8572485	-23,6419044	1245	0,0803	0,6211	1770	1380	390
L08017	3	-46,8997040	-23,6432158	1710	0,1754	1,8634	2539	1907	632
L08018	2	-46,8487206	-23,6553446	1720	0,1163	1,2422	2349	1856	493
L08019	11	-46,8485912	-23,6453295	2266	0,4854	6,8323	3288	2524	764
L08020	3	-46,8736085	-23,6784976	1740	0,1724	1,8634	2482	1909	573
L08021	1	-46,8503124	-23,6236498	1007	0,0993	0,6211	1513	1153	360
L08022	1	-46,8468148	-23,6723725	2229	0,0449	0,6211	3140	2508	632
L08023	2	-46,8424877	-23,6556493	1059	0,1889	1,2422	1471	1160	311
L08024	5	-46,8609293	-23,6489209	1930	0,2591	3,1056	2898	2195	703
L08025	10	-46,8178244	-23,6488430	3306	0,3025	6,2112	4610	3733	877
L08026	13	-46,8504836	-23,6538915	1769	0,7349	8,0745	2749	2004	745
L08027	3	-46,8239963	-23,6289539	1240	0,2419	1,8634	1866	1400	466
L08028	8	-46,8803086	-23,6288350	812	0,9852	4,9689	1261	973	288
L08030	4	-46,8569917	-23,6538808	1341	0,2983	2,4845	2066	1555	511
L08031	1	-46,8388459	-23,6366614	1294	0,0773	0,6211	1823	1425	398
L08032	1	-46,8114888	-23,6426171	3204	0,0312	0,6211	4497	3631	866
L08034	10	-46,8567668	-23,6535866	2696	0,3709	6,2112	4076	3043	1033
L08035	9	-46,8557912	-23,6789669	2511	0,3584	5,5901	3583	2803	780
L08037	1	-46,8076622	-23,6501591	2472	0,0405	0,6211	3476	2807	669
L08039	2	-46,8244094	-23,6293041	2377	0,0841	1,2422	3380	2646	734
L08040	5	-46,8629845	-23,6598454	1755	0,2849	3,1056	2497	1943	554
L08042	2	-46,8029413	-23,6465549	1707	0,1172	1,2422	2389	1904	485
L08043	1	-46,8144480	-23,6189368	1796	0,0557	0,6211	2443	1964	479
L08047	4	-46,8524294	-23,6405637	1858	0,2153	2,4845	2724	2069	655
L08048	1	-46,8192410	-23,6454460	3086	0,0324	0,6211	4357	3459	898
L09726	6	-46,8038130	-23,6799130	3234	0,1855	3,7267	4654	3697	957
L09728	9	-46,8150508	-23,6560005	3416	0,2635	5,5901	5004	3901	1103
L09729	1	-46,8075218	-23,6596193	1420	0,0704	0,6211	2052	1630	422
L09730	2	-46,7966100	-23,6603422	3709	0,0539	1,2422	5232	4149	1083
L09731	1	-46,8076525	-23,6733218	3708	0,027	0,6211	5344	4205	1139
L09732	2	-46,7976920	-23,6531800	4092	0,0489	1,2422	5773	4660	1113
L09733	3	-46,7954975	-23,6532021	2560	0,1172	1,8634	3813	2892	921
L09734	2	-46,8005910	-23,6694550	3322	0,0602	1,2422	4966	3926	1040
L09735	1	-46,8008130	-23,6705320	1271	0,0787	0,6211	1902	1470	432
L09737	2	-46,8162229	-23,6600075	2828	0,0707	1,2422	4223	3254	969
L09739	1	-46,8087236	-23,6590916	2564	0,039	0,6211	3639	2929	710
L09740	1	-46,8041479	-23,6575080	3699	0,027	0,6211	5492	4224	1268
L09741	1	-46,7948859	-23,6548973	746	0,134	0,6211	1086	858	228
L09742	1	-46,8037080	-23,6692959	1662	0,0602	0,6211	2384	1891	493
L09743	4	-46,7998450	-23,6642769	2326	0,172	2,4845	3417	2716	701
L09744	3	-46,8082652	-23,6568515	3520	0,0852	1,8634	4765	3919	846
L09745	3	-46,7990273	-23,6715894	2152	0,1394	1,8634	3051	2486	565
L09746	2	-46,8187290	-23,6600240	3538	0,0565	1,2422	4850	3945	905
L09747	4	-46,8001800	-23,6601018	3089	0,1295	2,4845	4332	3488	844
L09748	1	-46,8060867	-23,6656011	2302	0,0434	0,6211	3133	2615	518
L09749	3	-46,8144630	-23,6512836	2776	0,1081	1,8634	3877	3100	777
