cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08014	1	-46,8262088	-23,6279983	2791	0,0358	0,6803	3889	3086	803
L08015	2	-46,8077371	-23,6434693	2363	0,0846	1,3605	3433	2695	738
L08017	7	-46,8997040	-23,6432158	1710	0,4094	4,7619	2539	1907	632
L08018	3	-46,8487206	-23,6553446	1720	0,1744	2,0408	2349	1856	493
L08019	5	-46,8485912	-23,6453295	2266	0,2207	3,4014	3288	2524	764
L08021	1	-46,8503124	-23,6236498	1007	0,0993	0,6803	1513	1153	360
L08022	1	-46,8468148	-23,6723725	2229	0,0449	0,6803	3140	2508	632
L08024	13	-46,8609293	-23,6489209	1930	0,6736	8,8435	2898	2195	703
L08025	3	-46,8178244	-23,6488430	3306	0,0907	2,0408	4610	3733	877
L08026	10	-46,8504836	-23,6538915	1769	0,5653	6,8027	2749	2004	745
L08027	1	-46,8239963	-23,6289539	1240	0,0806	0,6803	1866	1400	466
L08028	5	-46,8803086	-23,6288350	812	0,6158	3,4014	1261	973	288
L08029	1	-46,8141467	-23,6292761	1454	0,0688	0,6803	2118	1678	440
L08030	12	-46,8569917	-23,6538808	1341	0,8949	8,1633	2066	1555	511
L08032	2	-46,8114888	-23,6426171	3204	0,0624	1,3605	4497	3631	866
L08034	20	-46,8567668	-23,6535866	2696	0,7418	13,6054	4076	3043	1033
L08035	1	-46,8557912	-23,6789669	2511	0,0398	0,6803	3583	2803	780
L08036	1	-46,8069720	-23,6498697	318	0,3145	0,6803	466	365	101
L08039	2	-46,8244094	-23,6293041	2377	0,0841	1,3605	3380	2646	734
L08040	12	-46,8629845	-23,6598454	1755	0,6838	8,1633	2497	1943	554
L08044	1	-46,8089022	-23,6436582	1111	0,09	0,6803	1613	1279	334
L08047	7	-46,8524294	-23,6405637	1858	0,3767	4,7619	2724	2069	655
L08048	5	-46,8192410	-23,6454460	3086	0,162	3,4014	4357	3459	898
L09724	1	-46,8157311	-23,6601408	457	0,2188	0,6803	712	508	204
L09727	5	-46,8034731	-23,6740895	2245	0,2227	3,4014	3338	2645	693
L09728	2	-46,8150508	-23,6560005	3416	0,0585	1,3605	5004	3901	1103
L09729	1	-46,8075218	-23,6596193	1420	0,0704	0,6803	2052	1630	422
L09730	1	-46,7966100	-23,6603422	3709	0,027	0,6803	5232	4149	1083
L09732	2	-46,7976920	-23,6531800	4092	0,0489	1,3605	5773	4660	1113
L09733	3	-46,7954975	-23,6532021	2560	0,1172	2,0408	3813	2892	921
L09736	1	-46,7997252	-23,6503650	3365	0,0297	0,6803	4730	3828	902
L09737	3	-46,8162229	-23,6600075	2828	0,1061	2,0408	4223	3254	969
L09738	2	-46,8034000	-23,6518660	1067	0,1874	1,3605	1487	1242	245
L09739	1	-46,8087236	-23,6590916	2564	0,039	0,6803	3639	2929	710
L09740	4	-46,8041479	-23,6575080	3699	0,1081	2,7211	5492	4224	1268
L09741	1	-46,7948859	-23,6548973	746	0,134	0,6803	1086	858	228
L09743	1	-46,7998450	-23,6642769	2326	0,043	0,6803	3417	2716	701
L09744	1	-46,8082652	-23,6568515	3520	0,0284	0,6803	4765	3919	846
L09745	1	-46,7990273	-23,6715894	2152	0,0465	0,6803	3051	2486	565
L09746	1	-46,8187290	-23,6600240	3538	0,0283	0,6803	4850	3945	905
