cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08013	2	-46,8184279	-23,6517056	1941	0,103	1,9802	2820	2177	643
L08015	1	-46,8077371	-23,6434693	2363	0,0423	0,9901	3433	2695	738
L08017	2	-46,8997040	-23,6432158	1710	0,117	1,9802	2539	1907	632
L08018	4	-46,8487206	-23,6553446	1720	0,2326	3,9604	2349	1856	493
L08020	1	-46,8736085	-23,6784976	1740	0,0575	0,9901	2482	1909	573
L08022	1	-46,8468148	-23,6723725	2229	0,0449	0,9901	3140	2508	632
L08024	3	-46,8609293	-23,6489209	1930	0,1554	2,9703	2898	2195	703
L08030	2	-46,8569917	-23,6538808	1341	0,1491	1,9802	2066	1555	511
L08031	1	-46,8388459	-23,6366614	1294	0,0773	0,9901	1823	1425	398
L08032	2	-46,8114888	-23,6426171	3204	0,0624	1,9802	4497	3631	866
L08034	1	-46,8567668	-23,6535866	2696	0,0371	0,9901	4076	3043	1033
L08035	1	-46,8557912	-23,6789669	2511	0,0398	0,9901	3583	2803	780
L08037	1	-46,8076622	-23,6501591	2472	0,0405	0,9901	3476	2807	669
L08039	1	-46,8244094	-23,6293041	2377	0,0421	0,9901	3380	2646	734
L08044	1	-46,8089022	-23,6436582	1111	0,09	0,9901	1613	1279	334
L08046	3	-46,8063115	-23,6500014	2245	0,1336	2,9703	3013	2488	525
L08048	3	-46,8192410	-23,6454460	3086	0,0972	2,9703	4357	3459	898
L09724	2	-46,8157311	-23,6601408	457	0,4376	1,9802	712	508	204
L09726	3	-46,8038130	-23,6799130	3234	0,0928	2,9703	4654	3697	957
L09727	1	-46,8034731	-23,6740895	2245	0,0445	0,9901	3338	2645	693
L09728	4	-46,8150508	-23,6560005	3416	0,1171	3,9604	5004	3901	1103
L09729	1	-46,8075218	-23,6596193	1420	0,0704	0,9901	2052	1630	422
L09730	2	-46,7966100	-23,6603422	3709	0,0539	1,9802	5232	4149	1083
L09731	5	-46,8076525	-23,6733218	3708	0,1348	4,9505	5344	4205	1139
L09732	14	-46,7976920	-23,6531800	4092	0,3421	13,8614	5773	4660	1113
L09733	4	-46,7954975	-23,6532021	2560	0,1562	3,9604	3813	2892	921
L09734	3	-46,8005910	-23,6694550	3322	0,0903	2,9703	4966	3926	1040
L09735	1	-46,8008130	-23,6705320	1271	0,0787	0,9901	1902	1470	432
L09736	1	-46,7997252	-23,6503650	3365	0,0297	0,9901	4730	3828	902
L09737	6	-46,8162229	-23,6600075	2828	0,2122	5,9406	4223	3254	969
L09739	3	-46,8087236	-23,6590916	2564	0,117	2,9703	3639	2929	710
L09740	6	-46,8041479	-23,6575080	3699	0,1622	5,9406	5492	4224	1268
L09741	1	-46,7948859	-23,6548973	746	0,134	0,9901	1086	858	228
L09743	2	-46,7998450	-23,6642769	2326	0,086	1,9802	3417	2716	701
L09744	1	-46,8082652	-23,6568515	3520	0,0284	0,9901	4765	3919	846
L09745	1	-46,7990273	-23,6715894	2152	0,0465	0,9901	3051	2486	565
L09746	4	-46,8187290	-23,6600240	3538	0,1131	3,9604	4850	3945	905
L09747	2	-46,8001800	-23,6601018	3089	0,0647	1,9802	4332	3488	844
L09748	1	-46,8060867	-23,6656011	2302	0,0434	0,9901	3133	2615	518
L09749	1	-46,8144630	-23,6512836	2776	0,036	0,9901	3877	3100	777
L09750	2	-46,8069030	-23,6835880	1432	0,1397	1,9802	2011	1669	342
