cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L08013	3	-46,8184279	-23,6517056	1941	0,1546	0,1984	2820	2177	643
L08014	24	-46,8262088	-23,6279983	2791	0,8599	1,5873	3889	3086	803
L08015	7	-46,8077371	-23,6434693	2363	0,2962	0,463	3433	2695	738
L08016	47	-46,8572485	-23,6419044	1245	3,7751	3,1085	1770	1380	390
L08017	78	-46,8997040	-23,6432158	1710	4,5614	5,1587	2539	1907	632
L08018	51	-46,8487206	-23,6553446	1720	2,9651	3,373	2349	1856	493
L08019	91	-46,8485912	-23,6453295	2266	4,0159	6,0185	3288	2524	764
L08020	19	-46,8736085	-23,6784976	1740	1,092	1,2566	2482	1909	573
L08021	55	-46,8503124	-23,6236498	1007	5,4618	3,6376	1513	1153	360
L08022	10	-46,8468148	-23,6723725	2229	0,4486	0,6614	3140	2508	632
L08023	18	-46,8424877	-23,6556493	1059	1,6997	1,1905	1471	1160	311
L08024	96	-46,8609293	-23,6489209	1930	4,9741	6,3492	2898	2195	703
L08025	18	-46,8178244	-23,6488430	3306	0,5445	1,1905	4610	3733	877
L08026	104	-46,8504836	-23,6538915	1769	5,879	6,8783	2749	2004	745
L08027	6	-46,8239963	-23,6289539	1240	0,4839	0,3968	1866	1400	466
L08028	13	-46,8803086	-23,6288350	812	1,601	0,8598	1261	973	288
L08029	7	-46,8141467	-23,6292761	1454	0,4814	0,463	2118	1678	440
L08030	93	-46,8569917	-23,6538808	1341	6,9351	6,1508	2066	1555	511
L08031	46	-46,8388459	-23,6366614	1294	3,5549	3,0423	1823	1425	398
L08032	1	-46,8114888	-23,6426171	3204	0,0312	0,0661	4497	3631	866
L08033	9	-46,8523818	-23,6693739	836	1,0766	0,5952	1156	906	250
L08034	304	-46,8567668	-23,6535866	2696	11,276	20,1058	4076	3043	1033
L08035	26	-46,8557912	-23,6789669	2511	1,0354	1,7196	3583	2803	780
L08036	1	-46,8069720	-23,6498697	318	0,3145	0,0661	466	365	101
L08037	1	-46,8076622	-23,6501591	2472	0,0405	0,0661	3476	2807	669
L08038	6	-46,8008761	-23,6461516	1743	0,3442	0,3968	2459	1977	482
L08039	19	-46,8244094	-23,6293041	2377	0,7993	1,2566	3380	2646	734
L08040	144	-46,8629845	-23,6598454	1755	8,2051	9,5238	2497	1943	554
L08041	3	-46,8043721	-23,6469718	460	0,6522	0,1984	664	540	124
L08042	2	-46,8029413	-23,6465549	1707	0,1172	0,1323	2389	1904	485
L08043	5	-46,8144480	-23,6189368	1796	0,2784	0,3307	2443	1964	479
L08044	4	-46,8089022	-23,6436582	1111	0,36	0,2646	1613	1279	334
L08045	10	-46,8526677	-23,6799987	1460	0,6849	0,6614	2113	1629	484
L08046	4	-46,8063115	-23,6500014	2245	0,1782	0,2646	3013	2488	525
L08047	59	-46,8524294	-23,6405637	1858	3,1755	3,9021	2724	2069	655
L08048	4	-46,8192410	-23,6454460	3086	0,1296	0,2646	4357	3459	898
L08049	6	-46,8307928	-23,6381532	465	1,2903	0,3968	703	542	161
L09727	5	-46,8034731	-23,6740895	2245	0,2227	0,3307	3338	2645	693
L09728	13	-46,8150508	-23,6560005	3416	0,3806	0,8598	5004	3901	1103
L09729	1	-46,8075218	-23,6596193	1420	0,0704	0,0661	2052	1630	422
L09730	10	-46,7966100	-23,6603422	3709	0,2696	0,6614	5232	4149	1083
L09731	2	-46,8076525	-23,6733218	3708	0,0539	0,1323	5344	4205	1139
L09732	3	-46,7976920	-23,6531800	4092	0,0733	0,1984	5773	4660	1113
L09734	1	-46,8005910	-23,6694550	3322	0,0301	0,0661	4966	3926	1040
L09736	3	-46,7997252	-23,6503650	3365	0,0892	0,1984	4730	3828	902
L09737	4	-46,8162229	-23,6600075	2828	0,1414	0,2646	4223	3254	969
L09738	2	-46,8034000	-23,6518660	1067	0,1874	0,1323	1487	1242	245
L09739	4	-46,8087236	-23,6590916	2564	0,156	0,2646	3639	2929	710
L09740	2	-46,8041479	-23,6575080	3699	0,0541	0,1323	5492	4224	1268
L09741	3	-46,7948859	-23,6548973	746	0,4021	0,1984	1086	858	228
L09742	2	-46,8037080	-23,6692959	1662	0,1203	0,1323	2384	1891	493
L09743	3	-46,7998450	-23,6642769	2326	0,129	0,1984	3417	2716	701
L09744	8	-46,8082652	-23,6568515	3520	0,2273	0,5291	4765	3919	846
L09745	4	-46,7990273	-23,6715894	2152	0,1859	0,2646	3051	2486	565
L09746	18	-46,8187290	-23,6600240	3538	0,5088	1,1905	4850	3945	905
L09747	8	-46,8001800	-23,6601018	3089	0,259	0,5291	4332	3488	844
L09748	7	-46,8060867	-23,6656011	2302	0,3041	0,463	3133	2615	518
L09749	15	-46,8144630	-23,6512836	2776	0,5403	0,9921	3877	3100	777
